label,effective_dims
MT,5.831256285840693
V1,6.829332523548828
ACC,7.749482346131436
PCC,7.898566117030439
M1,9.615217222780412
vmPFC,9.95744095036053
EC,16.03879896356932
vSTR,17.56221774514363
