area,label,rdm_r
schaefer_1,1,0.18108441585121154
schaefer_2,2,0.0709934425144042
schaefer_3,3,0.06664947646686147
schaefer_4,4,0.0715296673419934
schaefer_5,5,0.17691614111511228
schaefer_6,6,0.21596768277386286
schaefer_7,7,-0.04186362670079582
schaefer_8,8,0.3313248036473297
schaefer_9,9,0.2673144056988137
schaefer_10,10,0.08566705947083722
schaefer_11,11,0.2768925061410051
schaefer_12,12,0.3002918012824227
schaefer_13,13,0.007400287866513992
schaefer_14,14,0.34867516081667743
schaefer_15,15,0.37716133690775167
schaefer_16,16,0.08466175388711816
schaefer_17,17,0.21661193449128094
schaefer_18,18,0.3078393184767506
schaefer_19,19,0.3775560437417257
schaefer_20,20,0.11744995286706437
schaefer_21,21,0.27936437936569436
schaefer_22,22,0.17573486380399989
schaefer_23,23,0.3431612974898529
schaefer_24,24,0.3730149566000747
schaefer_25,25,0.20920713951947664
schaefer_26,26,0.19651308029864742
schaefer_27,27,0.40567984494397996
schaefer_28,28,0.2544024399811844
schaefer_29,29,0.38025654768746125
schaefer_30,30,0.16216556308532584
schaefer_31,31,0.5010456913544346
schaefer_32,32,-0.013593080147121007
schaefer_33,33,0.07598754773975466
schaefer_34,34,0.03126220510614288
schaefer_35,35,0.06543370313442574
schaefer_36,36,-0.06469554976033183
schaefer_37,37,0.015563502359658527
schaefer_38,38,0.044831241013400816
schaefer_39,39,-0.06107060336588229
schaefer_40,40,-0.024702063354412992
schaefer_41,41,0.03135103717864746
schaefer_42,42,-0.024068320014663528
schaefer_43,43,0.0053356047158729285
schaefer_44,44,-0.008963804385320412
schaefer_45,45,0.03815071837038385
schaefer_46,46,-0.033731710452031466
schaefer_47,47,0.16178783233341631
schaefer_48,48,0.014852156742023198
schaefer_49,49,0.1548292893500404
schaefer_50,50,0.03926845837627669
schaefer_51,51,0.04997471324791895
schaefer_52,52,0.07809620786904457
schaefer_53,53,0.06917333729492318
schaefer_54,54,0.08306585424978158
schaefer_55,55,0.14084330457137692
schaefer_56,56,0.08965864448354886
schaefer_57,57,0.1631043913764043
schaefer_58,58,0.11928167966211832
schaefer_59,59,0.09946661778486225
schaefer_60,60,0.11733480583122281
schaefer_61,61,0.13029791309422756
schaefer_62,62,0.15309737041461802
schaefer_63,63,0.11837182321453898
schaefer_64,64,0.2582985630510108
schaefer_65,65,0.1465105947184443
schaefer_66,66,0.20145479404414057
schaefer_67,67,0.13265815764300493
schaefer_68,68,0.07858271780202211
schaefer_69,69,0.01637271622759093
schaefer_70,70,0.1260461986091312
schaefer_71,71,0.12710260532956424
schaefer_72,72,0.12578792354800716
schaefer_73,73,0.16497819592509638
schaefer_74,74,0.016501305923454616
schaefer_75,75,0.29285976669511665
schaefer_76,76,-0.0024386569946615124
schaefer_77,77,0.14515966332777522
schaefer_78,78,0.24361760510959127
schaefer_79,79,0.15599986223829698
schaefer_80,80,0.16621947799216746
schaefer_81,81,0.4299730886826384
schaefer_82,82,0.2796282003425844
schaefer_83,83,0.20216105085761016
schaefer_84,84,0.1125157372318625
schaefer_85,85,0.17572443286890377
schaefer_86,86,0.1939600603791822
schaefer_87,87,0.28567667707140465
schaefer_88,88,0.17400768680661138
schaefer_89,89,0.2425645748471645
schaefer_90,90,0.12200241388089003
schaefer_91,91,0.13000260466742528
schaefer_92,92,0.14406874231052838
schaefer_93,93,0.2001476243119498
schaefer_94,94,0.06230982221336323
schaefer_95,95,0.12184164425095777
schaefer_96,96,0.08195070832295612
schaefer_97,97,-0.10868496342834918
schaefer_98,98,0.1314993758521039
schaefer_99,99,-0.019662675507394128
schaefer_100,100,-0.008279841640001964
schaefer_101,101,0.0950146011891079
schaefer_102,102,0.16074703604425494
schaefer_103,103,0.08779047869523719
schaefer_104,104,0.06858218197617293
schaefer_105,105,0.10922545889638584
schaefer_106,106,0.05774898577170108
schaefer_107,107,0.11812077807998367
schaefer_108,108,0.18401581212241627
schaefer_109,109,0.08299295143440383
schaefer_110,110,0.3074051605130246
schaefer_111,111,0.1212927839489327
schaefer_112,112,0.14649867592045404
schaefer_113,113,0.08017061618264343
schaefer_114,114,0.05815364722959432
schaefer_115,115,0.2904550692984006
schaefer_116,116,0.017764585689967728
schaefer_117,117,-0.021834366170304747
schaefer_118,118,-0.014518589348844443
schaefer_119,119,-0.0701196656749139
