label,effective_dims,area
129,2.331316461004548,schaefer_129
278,2.3814472748698066,schaefer_278
131,2.3981180926182986,schaefer_131
165,2.3991573307857657,schaefer_165
45,2.4175540966709907,schaefer_45
333,2.487028847165575,schaefer_333
332,2.502920127741704,schaefer_332
337,2.536752588747425,schaefer_337
336,2.5389698589943115,schaefer_336
128,2.542555227227169,schaefer_128
127,2.5692333926668347,schaefer_127
130,2.619783623440713,schaefer_130
78,2.63967346850585,schaefer_78
208,2.6397074947039734,schaefer_208
223,2.6681124214770717,schaefer_223
393,2.695579508550072,schaefer_393
95,2.7422108667720018,schaefer_95
280,2.765962181000693,schaefer_280
164,2.7668556557307604,schaefer_164
199,2.7669751888900675,schaefer_199
53,2.7845397514787,schaefer_53
300,2.812961251407382,schaefer_300
194,2.813614191613987,schaefer_194
210,2.838903630006361,schaefer_210
335,2.844622496318313,schaefer_335
334,2.846461273262512,schaefer_334
75,2.854000393308408,schaefer_75
263,2.857815776096873,schaefer_263
281,2.8662808561565747,schaefer_281
366,2.876560768680634,schaefer_366
213,2.911698712555879,schaefer_213
73,2.929612043550108,schaefer_73
19,2.9341945869206545,schaefer_19
14,2.955416880391554,schaefer_14
162,2.980518900932888,schaefer_162
356,3.0020210136522136,schaefer_356
163,3.0033490653311032,schaefer_163
145,3.0365568713797613,schaefer_145
249,3.0643466576460443,schaefer_249
83,3.066743239571199,schaefer_83
132,3.071340417001005,schaefer_132
12,3.0728406855653,schaefer_12
365,3.0760733963792672,schaefer_365
193,3.0890611755748183,schaefer_193
24,3.104822937513029,schaefer_24
144,3.106108000225205,schaefer_144
285,3.1426341107814606,schaefer_285
84,3.1467379206996364,schaefer_84
264,3.152793812922134,schaefer_264
76,3.157336672503633,schaefer_76
77,3.167038055316148,schaefer_77
9,3.177498636997405,schaefer_9
62,3.1786139373722126,schaefer_62
276,3.182908448483308,schaefer_276
28,3.213325560272049,schaefer_28
66,3.2151423114008657,schaefer_66
82,3.253868221518432,schaefer_82
275,3.277527079879522,schaefer_275
288,3.2992382479649365,schaefer_288
68,3.334137126349212,schaefer_68
