area,label,rdm_r
schaefer_1,1,0.1805055036998449
schaefer_2,2,0.10866843685168082
schaefer_3,3,0.0875111190913011
schaefer_4,4,0.1132610965969686
schaefer_5,5,0.21302385451504313
schaefer_6,6,0.2624448776159016
schaefer_7,7,-0.03981853106502198
schaefer_8,8,0.35886375264863335
schaefer_9,9,0.35409874171020433
schaefer_10,10,0.09000558919679483
schaefer_11,11,0.3330367840328434
schaefer_12,12,0.3966657837777864
schaefer_13,13,-0.011427196643452405
schaefer_14,14,0.43006950405858635
schaefer_15,15,0.5558192066478906
schaefer_16,16,0.10606784429535068
schaefer_17,17,0.2524913078602196
schaefer_18,18,0.3875688915639249
schaefer_19,19,0.4821358266065939
schaefer_20,20,0.09313728965152734
schaefer_21,21,0.31962693853903523
schaefer_22,22,0.17289953919490356
schaefer_23,23,0.33714727386167714
schaefer_24,24,0.46787162292781603
schaefer_25,25,0.2639829227674586
schaefer_26,26,0.23958922130885002
schaefer_27,27,0.3889774600524166
schaefer_28,28,0.2916870649547575
schaefer_29,29,0.35609588991173696
schaefer_30,30,0.2576154885561244
schaefer_31,31,0.5147803089733799
schaefer_32,32,0.06414364418702216
schaefer_33,33,0.14494927893703397
schaefer_34,34,0.07522091406743622
schaefer_35,35,0.15858597580643385
schaefer_36,36,-0.03143818437964222
schaefer_37,37,0.04393200825699459
schaefer_38,38,0.11978952415111166
schaefer_39,39,-0.04146532445112799
schaefer_40,40,0.03646371146436837
schaefer_41,41,0.12528878713033811
schaefer_42,42,0.09637627736253362
schaefer_43,43,0.0023564205956334793
schaefer_44,44,0.052380417481916484
schaefer_45,45,0.0246490162120179
schaefer_46,46,0.044788230321843286
schaefer_47,47,0.22365162010842773
schaefer_48,48,-0.0016946737521276
schaefer_49,49,0.217817618731684
schaefer_50,50,0.06526500259818077
schaefer_51,51,0.07096073789793647
schaefer_52,52,0.06921512268730799
schaefer_53,53,0.04526721804697639
schaefer_54,54,0.15975058368077757
schaefer_55,55,0.1644781578469696
schaefer_56,56,0.15874750283477654
schaefer_57,57,0.18364607257142898
schaefer_58,58,0.12776185466572898
schaefer_59,59,0.06623856484054799
schaefer_60,60,0.12736660754278747
schaefer_61,61,0.13293164325095613
schaefer_62,62,0.18484201713796494
