rois,rmse
"['schaefer_23' 'schaefer_238' 'schaefer_25' 'schaefer_256' 'schaefer_267'
 'schaefer_305' 'schaefer_323' 'schaefer_341']",0.061809948764039335
"['schaefer_108' 'schaefer_123' 'schaefer_262' 'schaefer_267'
 'schaefer_285' 'schaefer_30' 'schaefer_316' 'schaefer_382']",0.08434148383794143
"['schaefer_113' 'schaefer_176' 'schaefer_238' 'schaefer_25' 'schaefer_268'
 'schaefer_285' 'schaefer_374' 'schaefer_80']",0.07552799930907708
"['schaefer_164' 'schaefer_24' 'schaefer_266' 'schaefer_280' 'schaefer_281'
 'schaefer_292' 'schaefer_346' 'schaefer_47']",0.08727216833985466
"['schaefer_10' 'schaefer_117' 'schaefer_133' 'schaefer_18' 'schaefer_23'
 'schaefer_254' 'schaefer_38' 'schaefer_410']",0.07978700452182133
"['schaefer_174' 'schaefer_218' 'schaefer_235' 'schaefer_246'
 'schaefer_261' 'schaefer_336' 'schaefer_385' 'schaefer_7']",0.08352497806727141
"['schaefer_106' 'schaefer_11' 'schaefer_201' 'schaefer_223' 'schaefer_24'
 'schaefer_343' 'schaefer_80' 'schaefer_92']",0.08478724664257237
"['schaefer_298' 'schaefer_307' 'schaefer_332' 'schaefer_34' 'schaefer_404'
 'schaefer_42' 'schaefer_51' 'schaefer_93']",0.09312368766867206
"['schaefer_162' 'schaefer_184' 'schaefer_226' 'schaefer_23' 'schaefer_318'
 'schaefer_53' 'schaefer_83']",0.08199510251048105
"['schaefer_131' 'schaefer_205' 'schaefer_245' 'schaefer_277'
 'schaefer_284' 'schaefer_406' 'schaefer_408' 'schaefer_84']",0.0844763242403756
"['schaefer_102' 'schaefer_132' 'schaefer_252' 'schaefer_298'
 'schaefer_304' 'schaefer_346' 'schaefer_382' 'schaefer_92']",0.08347355864233308
"['schaefer_149' 'schaefer_180' 'schaefer_225' 'schaefer_247'
 'schaefer_280' 'schaefer_41' 'schaefer_44' 'schaefer_77']",0.08752437605937027
"['schaefer_126' 'schaefer_168' 'schaefer_206' 'schaefer_231'
 'schaefer_314' 'schaefer_333' 'schaefer_37' 'schaefer_61']",0.08413350061182351
"['schaefer_110' 'schaefer_171' 'schaefer_2' 'schaefer_203' 'schaefer_29'
 'schaefer_304' 'schaefer_351' 'schaefer_368']",0.08325283325965137
"['schaefer_160' 'schaefer_179' 'schaefer_307' 'schaefer_310'
 'schaefer_322' 'schaefer_326' 'schaefer_408' 'schaefer_82']",0.08860961883038845
"['schaefer_142' 'schaefer_154' 'schaefer_156' 'schaefer_242'
 'schaefer_328' 'schaefer_364' 'schaefer_384' 'schaefer_403']",0.06310707463620926
"['schaefer_119' 'schaefer_124' 'schaefer_153' 'schaefer_263'
 'schaefer_309' 'schaefer_399' 'schaefer_406' 'schaefer_82']",0.07499780674206558
"['schaefer_165' 'schaefer_25' 'schaefer_285' 'schaefer_323' 'schaefer_376'
 'schaefer_380' 'schaefer_56' 'schaefer_74']",0.07364144841019753
"['schaefer_147' 'schaefer_153' 'schaefer_172' 'schaefer_206'
 'schaefer_215' 'schaefer_324' 'schaefer_365' 'schaefer_419']",0.08650852675467201
"['schaefer_172' 'schaefer_20' 'schaefer_301' 'schaefer_321' 'schaefer_37'
 'schaefer_370' 'schaefer_401' 'schaefer_82']",0.0712991175669646
"['schaefer_109' 'schaefer_113' 'schaefer_175' 'schaefer_292'
 'schaefer_307' 'schaefer_41' 'schaefer_84' 'schaefer_99']",0.08028383543396336
"['schaefer_10' 'schaefer_223' 'schaefer_235' 'schaefer_3' 'schaefer_313'
 'schaefer_54' 'schaefer_68' 'schaefer_84']",0.07878558990418323
"['schaefer_135' 'schaefer_181' 'schaefer_19' 'schaefer_27' 'schaefer_365'
 'schaefer_43' 'schaefer_6' 'schaefer_63']",0.08370961743548845
"['schaefer_180' 'schaefer_182' 'schaefer_282' 'schaefer_320'
 'schaefer_328' 'schaefer_414' 'schaefer_47' 'schaefer_95']",0.08654018056562236
"['schaefer_106' 'schaefer_225' 'schaefer_230' 'schaefer_240'
 'schaefer_272' 'schaefer_363' 'schaefer_81' 'schaefer_87']",0.08509809203715303
"['schaefer_101' 'schaefer_118' 'schaefer_176' 'schaefer_252'
 'schaefer_271' 'schaefer_331' 'schaefer_406']",0.0845362376427631
"['schaefer_115' 'schaefer_170' 'schaefer_255' 'schaefer_281'
 'schaefer_311' 'schaefer_68' 'schaefer_81']",0.08331601660199928
"['schaefer_100' 'schaefer_16' 'schaefer_215' 'schaefer_243' 'schaefer_262'
 'schaefer_283' 'schaefer_319' 'schaefer_380']",0.08528884580322835
"['schaefer_295' 'schaefer_347' 'schaefer_408' 'schaefer_61' 'schaefer_74'
 'schaefer_79' 'schaefer_89']",0.07976828348609166
"['schaefer_104' 'schaefer_185' 'schaefer_214' 'schaefer_218'
 'schaefer_246' 'schaefer_259' 'schaefer_34' 'schaefer_62']",0.08469068106596608
"['schaefer_140' 'schaefer_183' 'schaefer_208' 'schaefer_240'
 'schaefer_250' 'schaefer_27' 'schaefer_60' 'schaefer_82']",0.08821544971353408
"['schaefer_199' 'schaefer_244' 'schaefer_245' 'schaefer_262'
 'schaefer_356' 'schaefer_408' 'schaefer_5' 'schaefer_93']",0.0878219678023671
"['schaefer_12' 'schaefer_125' 'schaefer_219' 'schaefer_284' 'schaefer_379'
 'schaefer_393' 'schaefer_4' 'schaefer_56']",0.08360300570791303
"['schaefer_113' 'schaefer_153' 'schaefer_173' 'schaefer_182'
 'schaefer_185' 'schaefer_21' 'schaefer_281' 'schaefer_85']",0.08194826062363181
"['schaefer_171' 'schaefer_282' 'schaefer_3' 'schaefer_303' 'schaefer_318'
 'schaefer_355' 'schaefer_377' 'schaefer_44']",0.08448892867945493
"['schaefer_117' 'schaefer_2' 'schaefer_212' 'schaefer_230' 'schaefer_242'
 'schaefer_245' 'schaefer_379' 'schaefer_417']",0.08514518959691446
"['schaefer_109' 'schaefer_117' 'schaefer_184' 'schaefer_283'
 'schaefer_331' 'schaefer_343' 'schaefer_44' 'schaefer_6']",0.07887892654167689
"['schaefer_147' 'schaefer_250' 'schaefer_251' 'schaefer_258'
 'schaefer_266' 'schaefer_30' 'schaefer_333' 'schaefer_98']",0.08247742898191855
"['schaefer_146' 'schaefer_160' 'schaefer_22' 'schaefer_244' 'schaefer_256'
 'schaefer_307' 'schaefer_371' 'schaefer_403']",0.06738741087313638
"['schaefer_118' 'schaefer_266' 'schaefer_274' 'schaefer_302'
 'schaefer_358' 'schaefer_63' 'schaefer_65' 'schaefer_93']",0.0801592678241398
"['schaefer_136' 'schaefer_189' 'schaefer_238' 'schaefer_335'
 'schaefer_414' 'schaefer_50' 'schaefer_57' 'schaefer_61']",0.0851544384705575
"['schaefer_139' 'schaefer_163' 'schaefer_170' 'schaefer_176'
 'schaefer_248' 'schaefer_250' 'schaefer_264' 'schaefer_391']",0.08277083908962232
"['schaefer_161' 'schaefer_162' 'schaefer_187' 'schaefer_213'
 'schaefer_296' 'schaefer_324' 'schaefer_387' 'schaefer_409']",0.08465635515748142
"['schaefer_110' 'schaefer_283' 'schaefer_327' 'schaefer_397'
 'schaefer_411' 'schaefer_42' 'schaefer_84']",0.08387867341426829
"['schaefer_113' 'schaefer_150' 'schaefer_300' 'schaefer_312'
 'schaefer_335' 'schaefer_401' 'schaefer_71' 'schaefer_77']",0.08291367657557049
"['schaefer_271' 'schaefer_280' 'schaefer_288' 'schaefer_291'
 'schaefer_361' 'schaefer_365' 'schaefer_57' 'schaefer_61']",0.08156916269093957
"['schaefer_103' 'schaefer_153' 'schaefer_18' 'schaefer_256' 'schaefer_278'
 'schaefer_28' 'schaefer_329' 'schaefer_51']",0.08138458228799023
"['schaefer_1' 'schaefer_117' 'schaefer_173' 'schaefer_202' 'schaefer_21'
 'schaefer_312' 'schaefer_81']",0.08310993196187245
"['schaefer_131' 'schaefer_166' 'schaefer_184' 'schaefer_298'
 'schaefer_300' 'schaefer_399' 'schaefer_8' 'schaefer_89']",0.08190747454623358
"['schaefer_105' 'schaefer_146' 'schaefer_157' 'schaefer_259'
 'schaefer_264' 'schaefer_295' 'schaefer_50' 'schaefer_83']",0.08632693978950146
"['schaefer_158' 'schaefer_203' 'schaefer_299' 'schaefer_30' 'schaefer_390'
 'schaefer_64' 'schaefer_76']",0.08953153771619923
"['schaefer_153' 'schaefer_276' 'schaefer_331' 'schaefer_345'
 'schaefer_362' 'schaefer_38' 'schaefer_403' 'schaefer_50']",0.06229192046887691
"['schaefer_111' 'schaefer_116' 'schaefer_117' 'schaefer_121'
 'schaefer_337' 'schaefer_369' 'schaefer_388' 'schaefer_412']",0.07575928507350412
"['schaefer_116' 'schaefer_18' 'schaefer_212' 'schaefer_239' 'schaefer_299'
 'schaefer_322' 'schaefer_392' 'schaefer_79']",0.08276008018534632
"['schaefer_124' 'schaefer_153' 'schaefer_163' 'schaefer_19' 'schaefer_255'
 'schaefer_324' 'schaefer_361' 'schaefer_91']",0.08593493707750778
"['schaefer_168' 'schaefer_191' 'schaefer_296' 'schaefer_338'
 'schaefer_390' 'schaefer_399' 'schaefer_408' 'schaefer_78']",0.08216506504759197
"['schaefer_15' 'schaefer_160' 'schaefer_183' 'schaefer_287' 'schaefer_361'
 'schaefer_79' 'schaefer_93' 'schaefer_98']",0.08476230991146562
"['schaefer_121' 'schaefer_129' 'schaefer_169' 'schaefer_231'
 'schaefer_335' 'schaefer_354' 'schaefer_369' 'schaefer_68']",0.07446318409524263
"['schaefer_191' 'schaefer_213' 'schaefer_258' 'schaefer_297'
 'schaefer_306' 'schaefer_322' 'schaefer_56' 'schaefer_70']",0.08557363240093312
"['schaefer_11' 'schaefer_113' 'schaefer_172' 'schaefer_175' 'schaefer_259'
 'schaefer_282' 'schaefer_320' 'schaefer_385']",0.08562479033786603
"['schaefer_118' 'schaefer_140' 'schaefer_196' 'schaefer_197'
 'schaefer_205' 'schaefer_221' 'schaefer_370' 'schaefer_383']",0.08324922847489963
"['schaefer_112' 'schaefer_157' 'schaefer_22' 'schaefer_247' 'schaefer_260'
 'schaefer_365' 'schaefer_402']",0.08625722696301302
"['schaefer_100' 'schaefer_110' 'schaefer_112' 'schaefer_143'
 'schaefer_325' 'schaefer_368' 'schaefer_5' 'schaefer_77']",0.08625212248175206
"['schaefer_142' 'schaefer_212' 'schaefer_221' 'schaefer_265'
 'schaefer_271' 'schaefer_285' 'schaefer_318' 'schaefer_42']",0.08347906622669996
"['schaefer_107' 'schaefer_250' 'schaefer_254' 'schaefer_257'
 'schaefer_389' 'schaefer_391' 'schaefer_400' 'schaefer_71']",0.08177713183997457
"['schaefer_133' 'schaefer_139' 'schaefer_251' 'schaefer_27' 'schaefer_394'
 'schaefer_399' 'schaefer_413' 'schaefer_90']",0.08584031519016777
"['schaefer_127' 'schaefer_138' 'schaefer_151' 'schaefer_170'
 'schaefer_201' 'schaefer_278' 'schaefer_48' 'schaefer_84']",0.08298888279161622
"['schaefer_128' 'schaefer_170' 'schaefer_299' 'schaefer_316'
 'schaefer_322' 'schaefer_396' 'schaefer_402' 'schaefer_48']",0.08573295597286788
"['schaefer_201' 'schaefer_217' 'schaefer_274' 'schaefer_283'
 'schaefer_316' 'schaefer_392' 'schaefer_62' 'schaefer_65']",0.08432259242592947
"['schaefer_185' 'schaefer_191' 'schaefer_258' 'schaefer_27' 'schaefer_290'
 'schaefer_312' 'schaefer_315' 'schaefer_4']",0.08179657968493476
"['schaefer_109' 'schaefer_116' 'schaefer_120' 'schaefer_213'
 'schaefer_296' 'schaefer_299' 'schaefer_46']",0.08266940315359399
"['schaefer_138' 'schaefer_177' 'schaefer_190' 'schaefer_231'
 'schaefer_304' 'schaefer_328' 'schaefer_368' 'schaefer_7']",0.08194997252097971
"['schaefer_100' 'schaefer_17' 'schaefer_204' 'schaefer_205' 'schaefer_212'
 'schaefer_338' 'schaefer_34' 'schaefer_91']",0.08313037701716733
"['schaefer_129' 'schaefer_142' 'schaefer_203' 'schaefer_243'
 'schaefer_318' 'schaefer_419' 'schaefer_57' 'schaefer_91']",0.083400631079183
"['schaefer_102' 'schaefer_316' 'schaefer_339' 'schaefer_385'
 'schaefer_416' 'schaefer_68' 'schaefer_77' 'schaefer_97']",0.07541808189138517
"['schaefer_130' 'schaefer_196' 'schaefer_248' 'schaefer_3' 'schaefer_304'
 'schaefer_32' 'schaefer_349']",0.08244321119178297
"['schaefer_121' 'schaefer_145' 'schaefer_236' 'schaefer_240'
 'schaefer_282' 'schaefer_318' 'schaefer_353' 'schaefer_39']",0.08822422737377882
"['schaefer_106' 'schaefer_118' 'schaefer_147' 'schaefer_187'
 'schaefer_289' 'schaefer_318' 'schaefer_360' 'schaefer_379']",0.08382584955120245
"['schaefer_170' 'schaefer_203' 'schaefer_281' 'schaefer_291'
 'schaefer_363' 'schaefer_42' 'schaefer_55' 'schaefer_8']",0.0814815446035893
"['schaefer_107' 'schaefer_139' 'schaefer_258' 'schaefer_319'
 'schaefer_379' 'schaefer_401' 'schaefer_418']",0.06265501774115108
"['schaefer_115' 'schaefer_181' 'schaefer_186' 'schaefer_212'
 'schaefer_235' 'schaefer_31' 'schaefer_35' 'schaefer_43']",0.08442002370615365
"['schaefer_134' 'schaefer_159' 'schaefer_262' 'schaefer_281'
 'schaefer_290' 'schaefer_293' 'schaefer_37' 'schaefer_47']",0.08228569840307717
"['schaefer_112' 'schaefer_132' 'schaefer_149' 'schaefer_309'
 'schaefer_322' 'schaefer_337' 'schaefer_34' 'schaefer_407']",0.08275952891363865
"['schaefer_168' 'schaefer_176' 'schaefer_189' 'schaefer_200'
 'schaefer_231' 'schaefer_278' 'schaefer_387' 'schaefer_79']",0.08136437169262567
"['schaefer_10' 'schaefer_116' 'schaefer_244' 'schaefer_28' 'schaefer_294'
 'schaefer_365' 'schaefer_61' 'schaefer_99']",0.07492026946946267
"['schaefer_144' 'schaefer_240' 'schaefer_244' 'schaefer_250'
 'schaefer_333' 'schaefer_345' 'schaefer_48' 'schaefer_85']",0.08525458231220012
"['schaefer_132' 'schaefer_175' 'schaefer_243' 'schaefer_277'
 'schaefer_314' 'schaefer_336' 'schaefer_357' 'schaefer_377']",0.08323778576685412
"['schaefer_100' 'schaefer_12' 'schaefer_140' 'schaefer_363' 'schaefer_394'
 'schaefer_405' 'schaefer_50' 'schaefer_61']",0.08147699379359295
"['schaefer_10' 'schaefer_105' 'schaefer_124' 'schaefer_134' 'schaefer_223'
 'schaefer_355' 'schaefer_365']",0.0809022453090615
"['schaefer_125' 'schaefer_128' 'schaefer_132' 'schaefer_153'
 'schaefer_210' 'schaefer_245' 'schaefer_268' 'schaefer_86']",0.08802016937012817
"['schaefer_136' 'schaefer_139' 'schaefer_200' 'schaefer_216'
 'schaefer_290' 'schaefer_337' 'schaefer_55' 'schaefer_66']",0.08529089458063677
"['schaefer_137' 'schaefer_147' 'schaefer_192' 'schaefer_243'
 'schaefer_270' 'schaefer_281' 'schaefer_325' 'schaefer_346']",0.0884524673401236
"['schaefer_14' 'schaefer_175' 'schaefer_268' 'schaefer_327' 'schaefer_350'
 'schaefer_366' 'schaefer_384' 'schaefer_45']",0.08241417483319545
"['schaefer_103' 'schaefer_269' 'schaefer_282' 'schaefer_313'
 'schaefer_331' 'schaefer_356' 'schaefer_43' 'schaefer_48']",0.0844225590230994
"['schaefer_112' 'schaefer_126' 'schaefer_161' 'schaefer_163'
 'schaefer_181' 'schaefer_255' 'schaefer_52' 'schaefer_60']",0.08509121960508201
"['schaefer_113' 'schaefer_155' 'schaefer_210' 'schaefer_274'
 'schaefer_328' 'schaefer_341' 'schaefer_416' 'schaefer_45']",0.08249257863596438
"['schaefer_109' 'schaefer_183' 'schaefer_26' 'schaefer_271' 'schaefer_277'
 'schaefer_364' 'schaefer_392' 'schaefer_60']",0.08815938599414702
"['schaefer_131' 'schaefer_134' 'schaefer_19' 'schaefer_199' 'schaefer_229'
 'schaefer_296' 'schaefer_407']",0.08234851551871988
"['schaefer_110' 'schaefer_172' 'schaefer_182' 'schaefer_185'
 'schaefer_203' 'schaefer_332' 'schaefer_341' 'schaefer_408']",0.08507155795962527
"['schaefer_158' 'schaefer_238' 'schaefer_254' 'schaefer_260'
 'schaefer_264' 'schaefer_36' 'schaefer_389' 'schaefer_97']",0.08201950061220539
"['schaefer_137' 'schaefer_155' 'schaefer_163' 'schaefer_195'
 'schaefer_204' 'schaefer_270' 'schaefer_36' 'schaefer_369']",0.09011599403811928
"['schaefer_142' 'schaefer_188' 'schaefer_298' 'schaefer_326'
 'schaefer_357' 'schaefer_417' 'schaefer_54' 'schaefer_56']",0.08436282514678206
"['schaefer_172' 'schaefer_189' 'schaefer_218' 'schaefer_320' 'schaefer_39'
 'schaefer_390' 'schaefer_405' 'schaefer_45']",0.08277699055526824
"['schaefer_1' 'schaefer_192' 'schaefer_258' 'schaefer_261' 'schaefer_347'
 'schaefer_380' 'schaefer_47' 'schaefer_82']",0.08783561038151724
"['schaefer_12' 'schaefer_161' 'schaefer_183' 'schaefer_233' 'schaefer_360'
 'schaefer_383' 'schaefer_55' 'schaefer_67']",0.0825661094725028
"['schaefer_115' 'schaefer_158' 'schaefer_160' 'schaefer_244' 'schaefer_26'
 'schaefer_354' 'schaefer_406']",0.08911614333042774
"['schaefer_127' 'schaefer_219' 'schaefer_27' 'schaefer_276' 'schaefer_284'
 'schaefer_348' 'schaefer_349' 'schaefer_58']",0.08103335049405908
"['schaefer_187' 'schaefer_287' 'schaefer_297' 'schaefer_298'
 'schaefer_379' 'schaefer_38' 'schaefer_400' 'schaefer_51']",0.08266806542787665
"['schaefer_150' 'schaefer_194' 'schaefer_254' 'schaefer_293'
 'schaefer_382' 'schaefer_401' 'schaefer_52' 'schaefer_56']",0.08159138883224255
"['schaefer_217' 'schaefer_257' 'schaefer_278' 'schaefer_282' 'schaefer_39'
 'schaefer_405' 'schaefer_93' 'schaefer_99']",0.0733663958051474
"['schaefer_105' 'schaefer_148' 'schaefer_234' 'schaefer_255'
 'schaefer_321' 'schaefer_335' 'schaefer_350' 'schaefer_67']",0.08442163765766564
"['schaefer_163' 'schaefer_181' 'schaefer_210' 'schaefer_349'
 'schaefer_387' 'schaefer_405' 'schaefer_90']",0.08387658574231827
"['schaefer_111' 'schaefer_211' 'schaefer_231' 'schaefer_317' 'schaefer_32'
 'schaefer_338' 'schaefer_6' 'schaefer_74']",0.08416621659767451
"['schaefer_174' 'schaefer_180' 'schaefer_195' 'schaefer_210'
 'schaefer_231' 'schaefer_256' 'schaefer_283' 'schaefer_412']",0.08562137754055733
"['schaefer_146' 'schaefer_215' 'schaefer_3' 'schaefer_364' 'schaefer_387'
 'schaefer_413' 'schaefer_61' 'schaefer_78']",0.08276607974036308
"['schaefer_153' 'schaefer_179' 'schaefer_222' 'schaefer_261'
 'schaefer_339' 'schaefer_378' 'schaefer_417' 'schaefer_55']",0.08136437169262567
"['schaefer_14' 'schaefer_166' 'schaefer_20' 'schaefer_231' 'schaefer_366'
 'schaefer_388' 'schaefer_407' 'schaefer_96']",0.08326732407308081
"['schaefer_165' 'schaefer_228' 'schaefer_237' 'schaefer_263'
 'schaefer_272' 'schaefer_291' 'schaefer_371' 'schaefer_400']",0.08846167083927822
"['schaefer_131' 'schaefer_154' 'schaefer_168' 'schaefer_233'
 'schaefer_282' 'schaefer_320' 'schaefer_390' 'schaefer_7']",0.0824560337240134
"['schaefer_199' 'schaefer_227' 'schaefer_266' 'schaefer_270'
 'schaefer_331' 'schaefer_371' 'schaefer_83' 'schaefer_84']",0.08163390777672827
