area,label,rdm_r
schaefer_1,1,0.018271101977033986
schaefer_2,2,-0.025825314564170292
schaefer_3,3,0.03272201380832477
schaefer_4,4,0.01745600246700738
schaefer_5,5,0.11757164496302318
schaefer_6,6,0.19168288773133704
schaefer_7,7,-0.04749337465935909
schaefer_8,8,0.2505986390992561
schaefer_9,9,0.29004550081860986
schaefer_10,10,0.034388002403555565
schaefer_11,11,0.14957463825558653
schaefer_12,12,0.20344498503280486
schaefer_13,13,0.0407865908135902
schaefer_14,14,0.1381384678881663
schaefer_15,15,0.3332913356002192
schaefer_16,16,0.04276544853407125
schaefer_17,17,0.08404302286060014
schaefer_18,18,0.21502326255960166
schaefer_19,19,0.26869796495181025
schaefer_20,20,0.014403307922780183
schaefer_21,21,0.1147193745595924
schaefer_22,22,0.08692207609960798
schaefer_23,23,0.19025107512878348
schaefer_24,24,0.2922103569747935
schaefer_25,25,0.0023925366775540834
schaefer_26,26,0.0958170671503368
schaefer_27,27,0.2511772433611577
schaefer_28,28,0.1020205210647196
schaefer_29,29,0.16944698769633304
schaefer_30,30,0.07272804369898003
schaefer_31,31,0.40178573014689634
schaefer_32,32,0.09933339413567148
schaefer_33,33,0.10273103847065923
schaefer_34,34,0.07501473047794456
schaefer_35,35,0.1183566870332775
schaefer_36,36,0.049465305513091716
schaefer_37,37,0.12009083343054161
schaefer_38,38,0.1528007102278352
schaefer_39,39,0.13130837692385391
schaefer_40,40,0.1096587600543514
schaefer_41,41,0.11919484044864813
schaefer_42,42,0.1732070429856575
schaefer_43,43,0.1502039058923016
schaefer_44,44,0.15900769002861784
schaefer_45,45,0.0455739646334482
schaefer_46,46,0.22024117417545216
schaefer_47,47,0.2153248822910183
schaefer_48,48,0.11971947533122781
schaefer_49,49,0.15293918498329526
schaefer_50,50,0.15297935353423875
schaefer_51,51,0.1059677535805554
schaefer_52,52,0.16133853681179985
schaefer_53,53,0.01953880567544179
schaefer_54,54,0.11427736797846344
schaefer_55,55,-0.04523775395990892
schaefer_56,56,0.08093477336166167
schaefer_57,57,0.11167729298350201
schaefer_58,58,0.16406006909074078
schaefer_59,59,0.10553633751234891
schaefer_60,60,0.14549255199856043
schaefer_61,61,0.28343875013875197
schaefer_62,62,0.12014161808092842
schaefer_63,63,0.09716775145377406
schaefer_64,64,0.09531017254693946
schaefer_65,65,0.1781277303146396
schaefer_66,66,0.029878740126186267
schaefer_67,67,0.11074687764712803
schaefer_68,68,0.10070545958306552
schaefer_69,69,0.1645065024881931
schaefer_70,70,0.13996023085586567
schaefer_71,71,0.10934986629101148
schaefer_72,72,0.10266478757666056
schaefer_73,73,0.016549026483265967
schaefer_74,74,0.16277544976808664
schaefer_75,75,0.13697310166144697
schaefer_76,76,0.035350942763812586
schaefer_77,77,0.2146819756507826
schaefer_78,78,0.19344962995767956
schaefer_79,79,0.1858371556471592
schaefer_80,80,0.20638270659772398
schaefer_81,81,0.3916486616777262
schaefer_82,82,0.3717580039358892
schaefer_83,83,0.42051070167905713
schaefer_84,84,0.30590251334040014
schaefer_85,85,0.24918361345736192
schaefer_86,86,0.2769419392163023
schaefer_87,87,0.3125292109498655
schaefer_88,88,0.3058155004342512
schaefer_89,89,0.2707195517049209
schaefer_90,90,0.09179942507581414
schaefer_91,91,0.21565244915534992
schaefer_92,92,0.15239776560448406
schaefer_93,93,0.13290907193607618
schaefer_94,94,0.1960346600659772
schaefer_95,95,0.16218175960298706
schaefer_96,96,0.14239764581674336
schaefer_97,97,-0.007503996517154527
schaefer_98,98,0.009708990798647552
schaefer_99,99,0.15790414826485838
schaefer_100,100,0.14742466006230284
schaefer_101,101,0.11795376225348889
schaefer_102,102,0.17277009270654445
schaefer_103,103,0.06010825320603707
schaefer_104,104,0.04851928883520352
schaefer_105,105,0.06687463008893696
schaefer_106,106,0.1831797441094735
schaefer_107,107,0.07308770637126621
schaefer_108,108,0.06316463015681298
schaefer_109,109,0.15415037087341993
schaefer_110,110,0.15039322991273646
schaefer_111,111,0.178944477177075
schaefer_112,112,0.18635423960983424
schaefer_113,113,0.22833752235132979
schaefer_114,114,-0.03451870738084513
schaefer_115,115,0.10040935474353464
schaefer_116,116,7.799746566556339e-05
schaefer_117,117,-0.016708065623715095
schaefer_118,118,0.15573291112515836
schaefer_119,119,0.020344817286728795
schaefer_120,120,0.058533879042183566
schaefer_121,121,0.061837354154000296
schaefer_122,122,0.08308496461549045
schaefer_123,123,-0.02107408760947016
schaefer_124,124,-0.02651052571024207
schaefer_125,125,0.06170053965369141
schaefer_126,126,-0.1313298435933808
schaefer_127,127,0.12545477452464326
schaefer_128,128,0.043764486558438974
schaefer_129,129,0.03315562936673093
schaefer_130,130,0.1409397870422451
schaefer_131,131,0.06935456582678882
schaefer_132,132,0.08920549740319193
schaefer_133,133,0.16726140625967995
schaefer_134,134,0.144382348301087
schaefer_135,135,0.14150211130865228
schaefer_136,136,0.02981667167557835
schaefer_137,137,0.12080893718984477
schaefer_138,138,0.16409593807928924
schaefer_139,139,0.1867160337348447
schaefer_140,140,0.19421396900666948
schaefer_141,141,0.2135624632320018
schaefer_142,142,0.22100946616628414
schaefer_143,143,0.0017559106513612421
schaefer_144,144,0.17589629223084904
schaefer_145,145,0.23373952883080878
schaefer_146,146,-0.009100067748723012
schaefer_147,147,0.04089800873771964
schaefer_148,148,0.242563558981065
schaefer_149,149,-0.10433788281541995
schaefer_150,150,-0.030203325447834134
schaefer_151,151,0.10436209863467633
schaefer_152,152,-0.029885280393267356
schaefer_153,153,0.06429521962991311
schaefer_154,154,0.004629050621101743
schaefer_155,155,-0.022802111861870863
schaefer_156,156,-0.02629255210846187
schaefer_157,157,0.23284081328559708
schaefer_158,158,0.108283969473743
schaefer_159,159,0.09779737049220862
schaefer_160,160,0.06344777924496907
schaefer_161,161,0.0812793334813223
schaefer_162,162,-0.10649038528621704
schaefer_163,163,-9.653736505213078e-05
schaefer_164,164,0.009555586317196602
schaefer_165,165,0.04428058318935232
schaefer_166,166,0.013683834638161805
schaefer_167,167,0.07776367381009139
schaefer_168,168,0.0760935556099962
schaefer_169,169,0.07606061094369154
schaefer_170,170,-0.05655320684253704
schaefer_171,171,0.10749849482582113
schaefer_172,172,-0.060198843619345584
schaefer_173,173,0.04172841198102085
schaefer_174,174,0.08897693641872603
