area,label,rdm_r
schaefer_1,1,0.045333995612696264
schaefer_2,2,-0.05723888968830382
schaefer_3,3,0.07311418946564457
schaefer_4,4,0.1251621106009011
schaefer_5,5,0.24808792983309624
schaefer_6,6,0.24385024512456366
schaefer_7,7,-0.010378302368090824
schaefer_8,8,0.372197997112939
schaefer_9,9,0.4438376054046911
schaefer_10,10,0.16002439099361437
schaefer_11,11,0.25042856192185575
schaefer_12,12,0.38654061680074775
schaefer_13,13,0.06711743298597027
schaefer_14,14,0.27283194584303677
schaefer_15,15,0.5742684471476854
schaefer_16,16,0.08079864582910459
schaefer_17,17,0.12066917079291391
schaefer_18,18,0.3563423823983118
schaefer_19,19,0.4964450829110915
schaefer_20,20,0.05437555760321666
schaefer_21,21,0.18640821906738886
schaefer_22,22,0.14250051032579591
schaefer_23,23,0.2560855340333117
schaefer_24,24,0.43196839884310434
schaefer_25,25,0.10161113644849941
schaefer_26,26,0.1776325483387562
schaefer_27,27,0.2847815778990308
schaefer_28,28,0.13995441801279715
schaefer_29,29,0.21159540426154858
schaefer_30,30,0.08543637416360761
schaefer_31,31,0.47739144092258434
schaefer_32,32,0.1607427604122694
schaefer_33,33,0.18667243728013033
schaefer_34,34,0.1073740763738143
schaefer_35,35,0.17476579883178098
schaefer_36,36,0.02905508873840048
schaefer_37,37,0.23113246781983737
schaefer_38,38,0.21671588303798886
schaefer_39,39,0.17445767370303972
schaefer_40,40,0.17432555204787398
schaefer_41,41,0.1306406386421722
schaefer_42,42,0.17423865054364385
schaefer_43,43,0.21540144733511063
schaefer_44,44,0.18839294262741188
schaefer_45,45,0.12553564059715555
schaefer_46,46,0.2774843366926678
schaefer_47,47,0.3226639171548647
schaefer_48,48,0.14486807043141356
schaefer_49,49,0.15630669917974058
schaefer_50,50,0.23601097124633058
schaefer_51,51,0.13103794513743222
schaefer_52,52,0.15685417544080288
schaefer_53,53,0.0960602678396853
schaefer_54,54,0.1542269559388459
schaefer_55,55,-0.03267767291935107
schaefer_56,56,0.10784821520166141
schaefer_57,57,0.11587648760528675
schaefer_58,58,0.1593388491845406
schaefer_59,59,0.13449944996593546
schaefer_60,60,0.1386651348403195
schaefer_61,61,0.3198000222543772
schaefer_62,62,0.09865221148218865
schaefer_63,63,0.20184422959689136
schaefer_64,64,0.17938440772234654
schaefer_65,65,0.21731552263739093
schaefer_66,66,0.11563313653171418
schaefer_67,67,0.17547133324529043
schaefer_68,68,0.1509129151999512
schaefer_69,69,0.16660987665629304
schaefer_70,70,0.24089073183635643
schaefer_71,71,0.17681298624293929
schaefer_72,72,0.1435900020840129
schaefer_73,73,0.11160973515402652
schaefer_74,74,0.3118516258320167
schaefer_75,75,0.24569230610874232
schaefer_76,76,0.04133139810852871
schaefer_77,77,0.2784096192126631
schaefer_78,78,0.3171144561407014
schaefer_79,79,0.1969117448805224
schaefer_80,80,0.27269102154719493
schaefer_81,81,0.5319307769458006
schaefer_82,82,0.4932494688523974
schaefer_83,83,0.4729007638498515
schaefer_84,84,0.27775271831985926
schaefer_85,85,0.3233298292942113
schaefer_86,86,0.46369772394898245
schaefer_87,87,0.4159577674042626
schaefer_88,88,0.44265931584795587
schaefer_89,89,0.38386636476298347
schaefer_90,90,0.21302721922297344
schaefer_91,91,0.2856115045295827
schaefer_92,92,0.16413908096455498
schaefer_93,93,0.2935054491364893
schaefer_94,94,0.3150585529738168
schaefer_95,95,0.35198171929542693
schaefer_96,96,0.23869253441003505
schaefer_97,97,0.020400553131067586
schaefer_98,98,0.06692773769003595
schaefer_99,99,0.26968232683575255
schaefer_100,100,0.15598382433970068
schaefer_101,101,0.22863281126996512
schaefer_102,102,0.2264124855833525
schaefer_103,103,0.18540297911258355
schaefer_104,104,0.0684574784727045
schaefer_105,105,0.24862987984701082
schaefer_106,106,0.2248906493345543
schaefer_107,107,0.1227039077582474
schaefer_108,108,0.10781523151461654
schaefer_109,109,0.1887143566264213
schaefer_110,110,0.21369443189976967
schaefer_111,111,0.26306881149067923
schaefer_112,112,0.2374566940233204
schaefer_113,113,0.2705177587252598
schaefer_114,114,-0.016581489654892652
schaefer_115,115,0.15668507748090874
schaefer_116,116,0.024338236522862634
schaefer_117,117,-0.06352433755879207
schaefer_118,118,0.18280280522610237
