label,effective_dims
MT,6.372989511643438
V1,8.422919631935894
PCC,8.694064283637182
ACC,8.726286699984163
M1,10.17001444469403
vmPFC,10.218642047533852
EC,16.399687785240978
vSTR,17.22023387443621
