area,effective_dims,label
schaefer_388,7.135456191429718,388
schaefer_64,7.139994843378872,64
schaefer_305,7.142569895644776,305
schaefer_149,7.202872114360237,149
schaefer_310,7.269663066207332,310
schaefer_343,7.28257961586512,343
schaefer_146,7.321145926224565,146
schaefer_260,7.330674097506671,260
schaefer_22,7.357533644133961,22
schaefer_90,7.366122327152903,90
schaefer_341,7.379399910965923,341
schaefer_134,7.398774974485153,134
schaefer_382,7.414217551637362,382
schaefer_324,7.418073775983783,324
schaefer_340,7.439115936408044,340
schaefer_151,7.457745696129709,151
schaefer_159,7.506681103291749,159
schaefer_49,7.571853221824901,49
schaefer_155,7.574993990872392,155
schaefer_118,7.592467787250365,118
schaefer_34,7.661875044076231,34
schaefer_101,7.704372706180533,101
schaefer_224,7.710972062743777,224
schaefer_33,7.7445150958464595,33
schaefer_207,7.769420896279068,207
schaefer_102,7.778953600431341,102
schaefer_104,7.831923912773,104
schaefer_236,7.848724706992916,236
schaefer_312,7.887111120266638,312
schaefer_174,7.902817567186965,174
schaefer_360,7.94786863344815,360
schaefer_220,7.951389395784568,220
schaefer_152,7.962670479430749,152
schaefer_338,8.014368095722494,338
schaefer_240,8.0603923988886,240
schaefer_7,8.074818009355042,7
schaefer_308,8.079623041249583,308
schaefer_307,8.104980876162477,307
schaefer_384,8.105161545403476,384
schaefer_392,8.13876162970409,392
schaefer_166,8.160679407365828,166
schaefer_368,8.162361118259408,368
schaefer_375,8.163315864062552,375
schaefer_157,8.175600583728524,157
schaefer_108,8.19469837386957,108
schaefer_233,8.25263098280343,233
schaefer_326,8.272513357766513,326
schaefer_16,8.273235913087914,16
schaefer_156,8.277465882600051,156
schaefer_374,8.346120443378817,374
schaefer_70,8.348136559887955,70
schaefer_203,8.387503143042707,203
schaefer_177,8.423446809089265,177
schaefer_372,8.522512339484658,372
schaefer_302,8.620417639213192,302
schaefer_107,8.645003800445089,107
schaefer_304,8.696573947460596,304
schaefer_306,8.762659187472163,306
schaefer_320,8.81163689481001,320
schaefer_329,8.8128563452956,329
schaefer_10,8.907159518997975,10
schaefer_69,8.956458604736586,69
schaefer_212,9.0445384646611,212
schaefer_232,9.051144063897054,232
schaefer_367,9.085111727077882,367
schaefer_271,9.361019867063842,271
schaefer_3,9.4048917211904,3
schaefer_115,9.421023677614553,115
schaefer_214,9.435307008884532,214
schaefer_98,9.561093974130882,98
schaefer_311,9.619814532688723,311
schaefer_369,9.636371117366366,369
schaefer_119,9.638719377995862,119
schaefer_153,9.649458332445764,153
schaefer_35,9.717747635489928,35
schaefer_323,9.727677840709209,323
schaefer_234,9.820788503904897,234
schaefer_121,9.854989026565212,121
schaefer_32,9.936984365041331,32
schaefer_319,9.993678777268492,319
schaefer_100,10.005229177373906,100
schaefer_117,10.02830851401428,117
schaefer_381,10.086660846259171,381
schaefer_122,10.107100448935478,122
schaefer_124,10.122457444482563,124
schaefer_126,10.165688374924407,126
schaefer_123,10.166596028745522,123
schaefer_370,10.212824093760435,370
schaefer_120,10.223858620542153,120
schaefer_4,10.25559584802124,4
schaefer_169,10.280919670719896,169
schaefer_231,10.35736697786247,231
schaefer_327,10.443633750018776,327
schaefer_125,10.569813907053632,125
schaefer_97,10.751339572077638,97
schaefer_1,10.78004913134076,1
schaefer_114,11.204031666153268,114
schaefer_331,11.22348456919603,331
schaefer_205,11.30482406974879,205
schaefer_328,11.4170618022156,328
schaefer_330,11.518888924008454,330
schaefer_379,11.528017084751715,379
schaefer_201,11.537083481243688,201
schaefer_401,11.562467166672109,401
schaefer_402,11.893857281487657,402
schaefer_321,12.0583948391426,321
schaefer_2,12.218585734523554,2
schaefer_202,12.245591622099292,202
schaefer_116,12.466834384022448,116
schaefer_325,13.016259678029206,325
schaefer_403,16.42954680800821,403
schaefer_406,16.48500225940047,406
schaefer_404,16.77014089425696,404
schaefer_407,16.806206060082925,407
schaefer_416,18.897065871013208,416
schaefer_417,19.523962053893708,417
schaefer_415,19.60504560342582,415
schaefer_414,20.11257647273777,414
schaefer_409,20.64240926200614,409
schaefer_412,20.64301530168876,412
schaefer_408,20.74081918696662,408
schaefer_413,21.145729576627883,413
schaefer_410,21.406840590414816,410
schaefer_411,21.549573841377,411
schaefer_405,23.28877196553238,405
schaefer_418,23.48481875023329,418
schaefer_419,23.52732002677611,419
