run1,run2,run3,run4
0.0,0.0,0.0,0.0
0.0899979,0.0258803,0.017604,0.0749732
0.044616,0.0,0.0914825,0.103992
0.0517357,0.0930495,0.0920721,0.0746959
0.0562256,0.0788042,0.006497,0.0376319
0.0472627,0.105436,0.015149,0.048082
0.0608993,0.0180864,0.0628588,0.0236837
0.0257093,0.0165171,0.0645601,0.0488866
0.0462755,0.076576,0.002605,0.0754188
0.0410308,0.0471766,0.0651995,0.0346697
0.023215,0.0142722,0.0202627,0.08061
0.00651786,0.0373259,0.057152,0.0787555
0.0698865,0.0959179,0.002047,0.0516957
0.0264038,0.0977373,0.0567231,0.00609943
0.0253585,0.0418837,0.065371,0.0829307
0.0328825,0.0330913,0.118011,0.0438211
0.0878776,0.0341883,0.0104026,0.029425
0.0743634,0.0403363,0.132875,0.00425848
0.0269426,0.0749211,0.00472654,0.0960116
0.01654,0.0199723,0.0549411,0.0167812
0.0337345,0.0359717,0.0428171,0.085186
0.0455202,0.0377777,0.0490276,0.0243222
0.0114375,0.0703631,0.0885101,0.106704
0.00861948,0.00593471,0.129219,0.00772619
0.038226,0.0564638,0.00321178,0.107286
0.0351841,0.00629736,0.0327432,0.00612457
0.0263016,0.0592633,0.0428099,0.0258459
0.0319575,0.065593,0.0216936,0.0792049
0.0569492,0.0239539,0.0404728,0.0962386
0.0692405,0.0619095,0.0738087,0.00800527
0.0623766,0.00810839,0.0773023,0.093451
0.0774316,0.0667768,0.08182,0.015084
0.0381974,0.0376151,0.0978083,0.0845061
0.0416056,0.0650964,0.0510219,0.00683376
0.0152925,0.0243382,0.0563345,0.085637
0.0168637,0.0814054,0.0433494,0.0114446
0.0165329,0.033116,0.0644954,0.079746
0.0195799,0.0575054,0.0517361,0.0183289
0.0413638,0.041272,0.088269,0.0330393
0.0444534,0.0196531,0.0491889,0.0915913
0.0595952,0.0918569,0.0422901,0.0854702
0.0168376,0.0319553,0.0743797,0.0325794
0.0207296,0.0771497,0.0165873,0.0223743
0.0139582,0.0457768,0.0449936,0.107389
0.0752481,0.051769,0.067025,0.0632233
0.0163292,0.0297927,0.0618288,0.0289207
0.013691,0.0658038,0.0253571,0.0709527
0.0671632,0.05738,0.0621713,0.0401891
0.0137299,0.00908976,0.0785868,0.0690378
0.0583281,0.0815005,0.116914,0.045001
0.00809827,0.0258158,0.0140098,0.0832876
0.0351606,0.0826316,0.0297535,0.0275024
0.00504958,0.0466687,0.10289,0.0956597
0.021201,0.0872286,0.042502,0.0329442
0.0287844,0.0292444,0.0841665,0.0340601
0.0259419,0.120682,0.0439723,0.0322646
0.0801704,0.0336583,0.0481132,0.0613584
0.0368739,0.0668512,0.0871927,0.0609427
0.0782833,0.0137024,0.0772611,0.0812879
0.0156393,0.0966344,0.0700812,0.104739
0.0101682,0.018812,0.0122025,0.0241188
0.0272947,0.0548123,0.0503631,0.0638999
0.0226695,0.0290376,0.0222244,0.0711643
0.0174325,0.0865747,0.0577123,0.0583072
0.0649997,0.0279588,0.00766914,0.048461
0.0199729,0.064826,0.0671607,0.0703418
0.000955,0.0686453,0.0552174,0.102682
0.0230172,0.100019,0.0678608,0.0961206
0.0178338,0.0314748,0.033864,0.0392521
0.0130786,0.0764952,0.0501101,0.0596238
0.0232602,0.0220441,0.0306613,0.0543898
0.0131116,0.111101,0.0953097,0.139483
0.0347838,0.0421616,0.0433522,0.0375177
0.0561546,0.0514748,0.0474089,0.092107
0.0287625,0.0334371,0.0286043,0.0478843
0.0141665,0.0682525,0.101846,0.114406
0.0373131,0.042301,0.0622821,0.0668025
0.065645,0.0671621,0.0663991,0.135017
0.0383599,0.0380269,0.056476,0.0546236
0.00632886,0.0351266,0.0848243,0.0699602
0.045833,0.0377838,0.0719798,0.0546376
0.0604541,0.0926544,0.0429031,0.0795008
0.0206075,0.0862877,0.0363469,0.0987275
0.0067738,0.0268035,0.0643964,0.0563314
0.0435356,0.0445437,0.0266599,0.0445454
0.012821,0.0620798,0.0770629,0.093226
0.0362644,0.0708287,0.0168843,0.0871147
0.0136717,0.0517642,0.0623235,0.0952776
0.0448913,0.0117545,0.0544332,0.0665239
0.0435471,0.0467523,0.0704238,0.083093
0.0261991,0.0343492,0.0323104,0.0991039
0.0316959,0.0498235,0.0709882,0.0388156
0.0359081,0.0607836,0.051583,0.0513518
0.0339772,0.065914,0.0416612,0.0543972
0.0195021,0.0639842,0.0162604,0.111999
0.0196327,0.0377731,0.0412158,0.031176
0.0396025,0.0461867,0.0602141,0.103648
0.0289627,0.0326675,0.0613792,0.0457366
0.0548143,0.0489196,0.0275065,0.0886815
0.0286553,0.0284324,0.0602515,0.0351405
0.0362951,0.0658311,0.0689911,0.074867
0.0265687,0.0609716,0.1027,0.0634085
0.0588828,0.109774,0.0280609,0.0906328
0.00506467,0.0145676,0.0477806,0.048527
0.0153876,0.0783109,0.0237063,0.0965137
0.0377854,0.0840887,0.124827,0.0344346
0.0433732,0.0321944,0.0406696,0.0812233
0.00987268,0.0383907,0.0642486,0.0242043
0.0150677,0.0713533,0.0199239,0.112809
0.0257404,0.0952673,0.0790766,0.0606312
0.0335849,0.0702756,0.0353767,0.0708754
0.0462049,0.0648719,0.0679962,0.0496739
0.0123627,0.0854655,0.0589586,0.0484497
0.0514982,0.0607873,0.0464969,0.0805944
0.0487675,0.00721622,0.0287576,0.103975
0.00945035,0.0480085,0.0602561,0.0344575
0.0218149,0.0701102,0.0184107,0.0246493
0.047818,0.0660372,0.0633463,0.0876853
0.0480728,0.0464375,0.0160695,0.0248285
0.0256068,0.0234581,0.058787,0.113205
0.0170666,0.0878057,0.0296708,0.0391824
0.0352019,0.090338,0.0679844,0.0886522
0.0433807,0.0143098,0.0250844,0.0685802
0.0383894,0.0652338,0.0905859,0.0550797
0.0111102,0.0589042,0.0804402,0.0514933
0.0544523,0.114573,0.0383202,0.107738
0.0339558,0.0267749,0.0752698,0.0992884
0.034862,0.0801758,0.0789419,0.0635137
0.0132715,0.0436942,0.0978932,0.0391213
0.0429525,0.0678135,0.0278209,0.100122
0.0268137,0.0511479,0.0358768,0.0676008
0.0607297,0.0648088,0.0659237,0.0681396
0.0214109,0.0852164,0.0465111,0.0585292
0.0437673,0.0233271,0.0487012,0.080959
0.0523506,0.0732964,0.0302255,0.087481
0.00684047,0.0561669,0.0855162,0.0647903
0.0298329,0.095404,0.0503273,0.0902248
0.0108096,0.0548034,0.0563278,0.0518111
0.0320464,0.0608092,0.0281764,0.0916872
0.0259825,0.0505135,0.0894143,0.0504267
0.0443992,0.0746184,0.0687929,0.101832
0.0254967,0.015904,0.051384,0.0897335
0.0447945,0.0381231,0.0465068,0.0572042
0.0202305,0.0689192,0.0764319,0.0584122
0.00298501,0.0520116,0.06965,0.109876
0.0468556,0.0667687,0.023346,0.0367544
0.0690755,0.0208569,0.027311,0.0990412
0.00406776,0.0637581,0.0541302,0.0508552
0.0514941,0.0653056,0.0298563,0.11778
0.0342988,0.100862,0.0781061,0.0909891
0.0231981,0.0209968,0.0342253,0.0424174
0.0342709,0.0787568,0.0744459,0.044839
0.0494217,0.0330067,0.0225671,0.046025
0.0633997,0.0834586,0.0717799,0.109117
0.050496,0.0247758,0.0303111,0.0552642
0.0553108,0.0465832,0.0423641,0.0807506
0.0397299,0.0277759,0.0312151,0.0394181
0.0188635,0.0870079,0.0706746,0.104932
0.0269,0.073653,0.0199593,0.0273911
0.0366462,0.091131,0.0824487,0.140223
0.0263105,0.0496753,0.0672673,0.0361802
0.0606083,0.0566071,0.0539502,0.0994582
0.00877429,0.0312481,0.0256257,0.0336301
0.0455082,0.0824186,0.0627339,0.0913352
0.0315192,0.0300402,0.0374861,0.0366221
0.0687453,0.069846,0.0952249,0.0703916
0.0045691,0.045539,0.0268543,0.0500675
0.0134286,0.0280039,0.043651,0.0431653
0.044715,0.0182843,0.0368581,0.0743879
0.0312803,0.0531373,0.0957152,0.121105
0.0426545,0.0170825,0.02098,0.0483916
0.0495303,0.0994727,0.0584256,0.016643
0.0665767,0.0339515,0.0399363,0.0647122
0.0733433,0.0766077,0.0964868,0.0462427
0.030182,0.0301756,0.0308929,0.0873076
0.0207254,0.0973802,0.100411,0.054999
0.052688,0.0884597,0.0314059,0.102896
0.0158544,0.0575401,0.066092,0.0926097
0.0771897,0.0636608,0.0288397,0.0710293
0.02896,0.0883585,0.0707761,0.067723
0.0442756,0.116649,0.0474749,0.061406
0.0468933,0.0331759,0.0578203,0.0816564
0.0293802,0.0557444,0.0520472,0.0400263
0.0492048,0.0633164,0.00954197,0.0954982
0.00905909,0.0956175,0.0739012,0.0538371
0.0485537,0.0225543,0.0891963,0.113738
0.020955,0.0330714,0.0782022,0.0620922
0.0495032,0.0711579,0.0753904,0.0922902
0.041297,0.0786491,0.0548322,0.0645663
0.085106,0.048028,0.0539172,0.086595
0.0711319,0.07052,0.0500563,0.0749493
0.0356444,0.0568666,0.0559968,0.0766449
0.0297366,0.1026,0.065942,0.0479816
0.0391355,0.0404828,0.0783263,0.067209
0.0624363,0.0941487,0.0806473,0.0869481
0.0114253,0.0418191,0.0603633,0.101672
0.0725808,0.087092,0.0641691,0.0508788
0.0282214,0.0389847,0.0777575,0.129957
0.0383454,0.0953877,0.0526039,0.0629551
0.0407678,0.0516542,0.0269895,0.102387
0.044314,0.0660931,0.0722683,0.0630028
0.0464805,0.0500978,0.0205835,0.10583
0.0365476,0.0546155,0.0923691,0.0645939
0.026867,0.0850737,0.0295262,0.0981656
0.0331325,0.00797709,0.110788,0.0673046
0.0373615,0.0398601,0.0368674,0.0671368
0.0276592,0.0817026,0.0747571,0.0621296
0.0518648,0.0830727,0.0591523,0.115911
0.0165804,0.0396001,0.0758794,0.0931519
0.014518,0.0666802,0.100764,0.0725525
0.0726948,0.050792,0.0412492,0.0515123
0.0173946,0.0843278,0.110098,0.0747694
0.0512781,0.0300678,0.0513977,0.0386547
0.0234103,0.0383423,0.104076,0.107765
0.0404749,0.0340085,0.0257279,0.0923488
0.0272978,0.0894409,0.0659816,0.0653607
0.0440329,0.0319015,0.034243,0.0645673
0.039289,0.0801086,0.118194,0.170347
0.0390954,0.0592395,0.044811,0.134691
0.0110139,0.0656174,0.106968,0.0758573
0.0251821,0.0521066,0.0404917,0.0431543
0.0755333,0.0385106,0.0809471,0.1091
0.0260171,0.0856924,0.044467,0.0556699
0.0557309,0.0575534,0.11027,0.11119
0.0548804,0.0241708,0.0334951,0.0769161
0.0510445,0.105767,0.050229,0.0455821
0.0408216,0.0403436,0.0364522,0.105435
0.0515128,0.0897189,0.0514862,0.243541
0.00909788,0.0557437,0.0477786,0.0597703
0.0551773,0.0599122,0.0893331,0.0721934
0.0355546,0.0512988,0.0377391,0.0709955
0.0445317,0.0876884,0.0864944,0.0583884
0.0696654,0.0761805,0.0498322,0.0640876
0.0258244,0.0623559,0.107085,0.0644671
0.0299063,0.0285523,0.0291535,0.0765337
0.0249148,0.0721807,0.0672089,0.0748789
0.0406807,0.089319,0.0545068,0.0402749
0.0222872,0.0366722,0.0969425,0.0722783
0.0629934,0.0997323,0.0279951,0.0760697
0.046614,0.0618725,0.0851014,0.041259
0.0375469,0.08066,0.0573174,0.0526092
0.0351328,0.0453014,0.0337104,0.0384982
0.0613235,0.0616373,0.123552,0.0406124
0.0794508,0.0995385,0.0372847,0.0505891
0.0186921,0.0319909,0.0502013,0.0691462
0.0628541,0.117811,0.0976474,0.149562
0.0313275,0.0500084,0.0443371,0.0703583
0.0348922,0.105237,0.05878,0.0397529
0.0324801,0.0242372,0.0250659,0.0488569
0.0422952,0.0929257,0.0750181,0.0818038
0.020163,0.095681,0.0517773,0.076127
0.0632893,0.027595,0.109759,0.0738292
0.0332704,0.0316012,0.0252969,0.0880372
0.0435075,0.0798718,0.0683086,0.0834766
0.0439633,0.0607091,0.071167,0.0503166
0.0431213,0.0597114,0.0848433,0.244954
0.0420892,0.0532799,0.0289494,0.0484306
0.0786913,0.0760731,0.0684373,0.0689193
0.0722869,0.0701234,0.0648212,0.136217
0.0215942,0.0648454,0.0685607,0.0187741
0.0435037,0.0530078,0.0446079,0.0604403
0.0497563,0.113434,0.0204284,0.052263
0.0857647,0.0676407,0.0659491,0.0841518
0.0522891,0.0813704,0.0358821,0.0311372
0.0588659,0.0543906,0.0720277,0.0438851
0.0557686,0.0600078,0.0183247,0.0625286
0.0381786,0.101992,0.0587422,0.12766
0.034442,0.0229282,0.102131,0.0524127
0.0645636,0.0857563,0.0400135,0.0680352
0.0678608,0.0503055,0.0330825,0.078625
0.0307241,0.0765817,0.0991631,0.10186
0.0435858,0.0401772,0.0534373,0.0395669
0.052828,0.104846,0.0506526,0.0693029
0.0622499,0.0323768,0.0355121,0.0621071
0.0258419,0.0760778,0.0718112,0.0988745
0.0432562,0.0387151,0.0710755,0.0517584
0.0118512,0.0870885,0.123401,0.0339633
0.0705341,0.0281404,0.0182289,0.0982395
0.0306737,0.0851993,0.0279874,0.0893589
0.0611389,0.030811,0.0856013,0.047089
0.0821024,0.0933716,0.0590567,0.0555703
0.0382485,0.0291222,0.0643098,0.0643827
0.0744549,0.0924857,0.052587,0.0226401
0.0179231,0.0267693,0.0817569,0.112074
0.0983704,0.0878874,0.0617589,0.0241635
0.0372537,0.0748152,0.0573537,0.0930395
0.0500774,0.040669,0.0508789,0.0356926
0.0146689,0.0572455,0.0970939,0.0704004
0.0774722,0.0638654,0.0520819,0.0850305
0.0160458,0.103688,0.108109,0.0737488
0.0650574,0.0263545,0.0459219,0.106847
0.0205502,0.0701165,0.0911301,0.0748868
0.0756043,0.0234083,0.0480502,0.0332097
0.0481207,0.0967177,0.116782,0.100615
0.0541148,0.0236598,0.0492639,0.0761176
0.0754024,0.0817333,0.0357167,0.0732107
0.0100128,0.0368877,0.0546002,0.0681424
0.0873841,0.0932669,0.128641,0.0908484
0.0205909,0.0224748,0.0279027,0.104241
0.082611,0.0927226,0.061274,0.0559014
0.0273085,0.0723715,0.0857847,0.0626688
0.0306922,0.0613844,0.0825587,0.0772326
0.0410543,0.0679283,0.0685587,0.0892697
0.0927078,0.0733964,0.0583851,0.0656897
0.0450974,0.100347,0.134625,0.0794436
0.0751493,0.045858,0.0652686,0.078404
0.0421441,0.0962094,0.112039,0.109943
0.0677424,0.029964,0.0439243,0.125115
0.0424901,0.0954472,0.0526578,0.107547
0.0392824,0.055631,0.0900191,0.04377
0.049278,0.0708051,0.105566,0.042758
0.0742322,0.0461729,0.0130258,0.0571382
0.0207294,0.0832351,0.0230831,0.0876875
0.0565701,0.0323891,0.0758752,0.0604321
0.023181,0.0893459,0.0911984,0.104618
0.0632507,0.0959184,0.149956,0.0709358
0.0257035,0.0171495,0.0428786,0.0968477
0.0535841,0.0979011,0.0525381,0.0910234
0.0144678,0.0340845,0.0746132,0.0862122
0.0835319,0.0669407,0.133946,0.055354
0.0372294,0.0633883,0.0431603,0.141252
0.0304019,0.0915206,0.267312,0.0889067
0.0479417,0.0620655,0.0901869,0.0723664
0.0631066,0.11719,0.0890982,0.0615356
0.0405451,0.0668013,0.0773509,0.135091
0.0599825,0.0730838,0.0595886,0.115159
0.0462801,0.0428285,0.0787452,0.0843967
0.0847134,0.0870059,0.0513759,0.0678065
0.0318024,0.04672,0.0475506,0.0647847
0.0373241,0.0395578,0.0217249,0.113151
0.0343228,0.0495556,0.0285979,0.0268836
0.0853023,0.116484,0.0368632,0.0926531
0.0432486,0.0159184,0.0741618,0.0332517
0.0573696,0.0424765,0.0294862,0.0740083
0.0380452,0.0904079,0.0674282,0.0431634
0.0522735,0.103539,0.052095,0.117378
0.0336698,0.0621375,0.0535817,0.0811373
0.0345083,0.0439144,0.0392866,0.0781714
0.037724,0.0659245,0.0392727,0.0573739
0.0887794,0.0568407,0.118115,0.131069
0.0307384,0.0959667,0.10127,0.0802418
0.0544548,0.0228928,0.0629278,0.0763448
0.0340031,0.0867584,0.0332291,0.0614877
0.0377874,0.0424947,0.0853058,0.0735607
0.0313636,0.070248,0.0687737,0.0649967
0.0384737,0.0328675,0.059056,0.140775
0.0742003,0.076265,0.0898783,0.0195958
0.0573012,0.0921272,0.114203,0.100848
0.0397224,0.0456635,0.108858,0.0430562
0.033318,0.047509,0.0392598,0.0768667
0.0998027,0.067725,0.130164,0.119
0.0419358,0.0385751,0.0995675,0.120805
0.0373855,0.100282,0.130977,0.140391
0.0217614,0.0646703,0.0699404,0.0546176
0.0781009,0.0790314,0.168618,0.0593209
0.0216529,0.0633487,0.191237,0.0953707
0.0336389,0.0355927,0.10107,0.0938449
0.0555594,0.0372756,0.059109,0.0678275
0.0482912,0.105339,0.08333,0.0506877
0.0248246,0.0930887,0.0419604,0.141098
0.0506112,0.0665486,0.0635704,0.0854929
0.0237998,0.0357951,0.0911003,0.0856433
0.067015,0.0855734,0.0594027,0.0562021
0.0194608,0.104465,0.129694,0.0784357
0.0152402,0.0321585,0.059553,0.102653
0.0590816,0.0207467,0.133532,0.0666388
0.0675844,0.0829916,0.0655319,0.0448259
