run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0644003,0.0636161,0.0932116,0.0326126,0.0367577
0.0249742,0.0381288,0.118029,0.176641,0.141322
0.123097,0.0490453,0.1475,0.0205714,0.147294
0.0295065,0.134879,0.116972,0.185661,0.194951
0.134264,0.0836892,0.126101,0.0313201,0.0857713
0.0373934,0.126576,0.0804371,0.152374,0.0228465
0.109817,0.0400135,0.157709,0.0426456,0.198851
0.0961408,0.124236,0.148414,0.19492,0.0733879
0.0685396,0.0895812,0.0932003,0.0791379,0.132205
0.0516778,0.0716359,0.107225,0.196863,0.0600997
0.106033,0.0588564,0.124263,0.0436607,0.198873
0.114427,0.153096,0.103208,0.175719,0.0544002
0.0463993,0.0936614,0.115034,0.0366935,0.196251
0.0650957,0.0873894,0.0374495,0.0520685,0.0257271
0.127792,0.0154071,0.15017,0.170068,0.0544513
0.114258,0.138079,0.0617544,0.0270504,0.16841
0.0949502,0.0667282,0.178366,0.208822,0.128741
0.0296112,0.16382,0.0771609,0.0314147,0.0828148
0.125713,0.0605926,0.0803441,0.114405,0.0241613
0.0261007,0.0116847,0.146313,0.160648,0.161923
0.108538,0.129723,0.0373913,0.111387,0.0277284
0.0274371,0.0237117,0.114697,0.174223,0.167956
0.126143,0.126633,0.0470833,0.0429569,0.0215434
0.0517728,0.0160451,0.096178,0.203162,0.097602
0.0928901,0.0301572,0.124647,0.0376171,0.144976
0.0104259,0.15552,0.122975,0.172051,0.190976
0.0201754,0.122837,0.103839,0.016073,0.0640598
0.124415,0.0487967,0.0964665,0.129264,0.0698651
0.0344271,0.0213203,0.18964,0.147889,0.156551
0.107054,0.149692,0.0588715,0.148732,0.126138
0.0289121,0.105602,0.144517,0.124128,0.0959746
0.030305,0.0742481,0.0933568,0.0297391,0.0470377
0.14333,0.0297564,0.0330388,0.141203,0.155097
0.063591,0.132899,0.0339384,0.119049,0.180165
0.102687,0.0364003,0.129805,0.175772,0.130776
0.016761,0.130869,0.0686496,0.063989,0.130752
0.125463,0.0254584,0.155232,0.0611686,0.233561
0.0329577,0.05066,0.0765997,0.194913,0.0597955
0.101728,0.112205,0.0813639,0.0431776,0.0657942
0.0226753,0.15656,0.035527,0.202226,0.0657636
