run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0520756,0.053115,0.0281584,0.093615,0.0232618
0.0355096,0.0473227,0.019617,0.0324246,0.0342356
0.0790745,0.102328,0.0513852,0.103037,0.0472128
0.0539279,0.0309687,0.0487716,0.0489622,0.195288
0.0279139,0.081567,0.00936909,0.021456,0.166895
0.054447,0.0582092,0.0174852,0.0674822,0.0267224
0.0761835,0.0568925,0.0193148,0.0206879,0.0315036
0.0114595,0.123031,0.0165439,0.0438272,0.0516033
0.064987,0.0710271,0.0155381,0.0831379,0.0357283
0.0516799,0.0663524,0.0141599,0.119956,0.0342256
0.0402501,0.0941246,0.0137746,0.0362782,0.0880481
0.0798547,0.0250732,0.0373704,0.0378498,0.100899
0.0639481,0.124744,0.0247299,0.054691,0.0432161
0.018934,0.0406061,0.0301023,0.086081,0.0307372
0.103962,0.07967,0.0679653,0.0177118,0.0740865
0.0492422,0.0938,0.0500307,0.0402048,0.0642015
0.0446083,0.0258572,0.023896,0.0589496,0.0357498
0.0718792,0.0391474,0.0798048,0.0842976,0.0771355
0.0186424,0.0182678,0.0726007,0.0745521,0.028507
0.0864405,0.0964456,0.00590353,0.0796752,0.0081589
0.063361,0.02054,0.0396463,0.090098,0.0140172
0.0345553,0.0771413,0.0160087,0.014502,0.0184477
0.0754502,0.071804,0.0556996,0.0280813,0.0224388
0.0473013,0.0703163,0.0197282,0.119248,0.0641905
0.0486901,0.114918,0.0787267,0.150176,0.0342021
0.0799761,0.0330587,0.0280624,0.008989,0.0598732
0.0339758,0.117914,0.0634522,0.0447012,0.0215908
0.0546259,0.074014,0.0632665,0.0214996,0.0473457
0.0198443,0.0648778,0.0296714,0.0567541,0.0548205
0.0684408,0.0932712,0.0707254,0.0631706,0.0132164
0.0393176,0.0836549,0.0527557,0.0992526,0.0510478
0.0592865,0.057517,0.0135375,0.0324911,0.0397647
0.0879619,0.044025,0.0226141,0.090715,0.0389629
0.0195525,0.0396504,0.0375487,0.0446332,0.0392966
0.0643407,0.0222353,0.0656744,0.0714701,0.0254856
0.0322249,0.0249374,0.055796,0.0591821,0.0448137
0.0441421,0.0394985,0.0101802,0.0548825,0.0239705
0.0861257,0.050235,0.0442894,0.0241278,0.0773145
0.088195,0.0568676,0.0265109,0.13679,0.0330343
0.0537953,0.0133982,0.0939399,0.018607,0.0689364
0.125095,0.0667768,0.060705,0.0193318,0.0552557
0.0563796,0.0517507,0.0309475,0.11039,0.020774
0.0859813,0.0592174,0.0232908,0.0430486,0.0515928
0.106332,0.0464767,0.018523,0.0696923,0.0403405
