run1,run2,run3,run4
0.0,0.0,0.0,0.0
0.0529386,0.0149618,0.0199757,0.025671
0.023306,0.0137476,0.0180255,0.0810456
0.0658032,0.16887,0.0137992,0.0230898
0.0697297,0.080798,0.00650839,0.186719
0.0573655,0.0225492,0.0836826,0.201604
0.0462581,0.0776452,0.0553957,0.0501485
0.00582809,0.0201148,0.126089,0.0573538
0.0808904,0.12815,0.0206881,0.0954076
0.0347442,0.090184,0.0292182,0.020915
0.0812494,0.0645977,0.0307215,0.00512055
0.0761559,0.0993203,0.0918401,0.0100781
0.0137795,0.150997,0.0542568,0.00879442
0.0344872,0.0186801,0.04018,0.0173013
0.020093,0.100339,0.0963514,0.0190627
0.0625795,0.0753293,0.127345,0.149983
0.0234943,0.170536,0.0482764,0.140568
0.0520987,0.0177847,0.0350138,0.172858
0.0431512,0.0277372,0.0618027,0.116956
0.0784904,0.187134,0.145962,0.0454138
0.0322902,0.114685,0.0453694,0.0628297
0.0556181,0.0804491,0.0832797,0.134784
0.0167536,0.0288819,0.0877246,0.193204
0.0583047,0.0321254,0.166359,0.0467817
0.0171827,0.0873486,0.0350948,0.0169932
0.0299165,0.100871,0.0935361,0.142596
0.0530379,0.0359331,0.0102316,0.213569
0.0391947,0.00257584,0.153311,0.0138415
0.0146027,0.013434,0.0571858,0.036572
0.0725919,0.0154799,0.043874,0.0920158
0.0318707,0.015104,0.106983,0.0492938
0.0469629,0.00249976,0.154275,0.178049
0.0217379,0.0473212,0.0190033,0.0598369
0.0428899,0.084586,0.0477358,0.0428999
0.018931,0.184932,0.091803,0.13298
0.0918556,0.018731,0.0536045,0.0633158
0.0443021,0.033182,0.173138,0.168258
0.0514719,0.0264499,0.0445583,0.0945852
0.00355856,0.0298846,0.0619673,0.0667288
0.0831921,0.0101916,0.080918,0.0481815
0.0401249,0.0928558,0.132636,0.118945
0.0481929,0.0274266,0.0193932,0.0957225
0.0365008,0.16791,0.0451709,0.105259
0.0516939,0.0365562,0.0848401,0.108418
0.0359018,0.031428,0.149104,0.110106
0.0610843,0.169898,0.0418684,0.0658336
0.00867632,0.154212,0.0308165,0.0657539
0.0778047,0.097549,0.0878208,0.0963456
0.026606,0.0750231,0.109579,0.19155
0.0343154,0.0504356,0.0612712,0.0265675
0.052661,0.170311,0.0504265,0.0403848
0.0754426,0.190554,0.0374324,0.0480485
0.0208253,0.0853394,0.0695141,0.124928
0.0225107,0.0382846,0.148669,0.150569
0.0261771,0.13728,0.0382627,0.0875839
0.0208416,0.133378,0.0480529,0.0692316
0.0111961,0.0315895,0.0301904,0.0672363
0.00489695,0.0788646,0.0908568,0.0249703
0.0100659,0.108273,0.0459283,0.0995798
0.0137761,0.0894555,0.029796,0.0711639
0.189448,0.0748147,0.0594695,0.14826
0.259929,0.0293571,0.0212903,0.108544
0.192305,0.0135323,0.0217549,0.0268441
0.0573615,0.0327775,0.117775,0.0144418
0.0335344,0.0248686,0.132853,0.132484
0.0227975,0.0504361,0.0949089,0.187144
0.0281062,0.108935,0.157616,0.0763335
0.00542605,0.169225,0.089591,0.0747332
0.0211771,0.0265362,0.230604,0.0729545
0.0192651,0.0326893,0.0874096,0.100838
0.0951893,0.0367457,0.157154,0.143582
0.107205,0.00938322,0.0761773,0.0180837
0.0360868,0.00741845,0.1282,0.0570333
0.0330502,0.0408542,0.0674805,0.12656
0.150069,0.0810369,0.0208628,0.169283
0.0420622,0.206238,0.062742,0.0850085
0.174804,0.0102481,0.139261,0.0670427
0.0398439,0.0672297,0.134725,0.14191
0.116932,0.162086,0.197404,0.0237302
0.0753774,0.12017,0.157682,0.209539
0.217473,0.0546504,0.185535,0.0882681
0.0324129,0.072138,0.159851,0.0485987
0.0848721,0.0440904,0.110977,0.125171
