run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0678271,0.0890319,0.120726,0.10875,0.0406444
0.124108,0.0829821,0.0889472,0.0954646,0.112731
0.0868894,0.142875,0.203818,0.147853,0.134796
0.11881,0.139246,0.140667,0.0931746,0.231019
0.131281,0.0888128,0.148146,0.196167,0.0357654
0.0857523,0.0713994,0.158265,0.0280746,0.0730469
0.137059,0.10574,0.0394768,0.0860209,0.1183
0.025471,0.0897074,0.226867,0.0609666,0.0749295
0.0833162,0.0318071,0.160971,0.211983,0.0638221
0.049967,0.139611,0.148482,0.06587,0.122111
0.108006,0.112539,0.138004,0.218477,0.0523853
0.0668192,0.0807291,0.142823,0.115386,0.189907
0.0862192,0.125742,0.293915,0.180154,0.0281593
0.0606255,0.0858354,0.448394,0.135777,0.137034
0.120518,0.202692,0.982603,0.178853,0.0710232
0.108882,0.0420313,0.587196,0.040078,0.159322
0.0698379,0.133182,0.363561,0.26545,0.0683569
0.152505,0.0937267,0.0952107,0.0915657,0.129634
0.0221873,0.197595,0.19495,0.179728,0.0289043
0.142492,0.0464366,0.0642414,0.0472671,0.152194
0.0909236,0.142378,0.194423,0.22851,0.0566572
0.0885963,0.0691153,0.120381,0.0633845,0.124359
0.0967566,0.0965766,0.16762,0.150735,0.0661001
0.0357109,0.0959956,0.181567,0.0906603,0.202789
0.122593,0.0862612,0.0576599,0.142999,0.062773
0.0814511,0.280597,0.178252,0.228832,0.251095
0.0746285,0.0427753,0.0752582,0.0230433,0.37533
0.14459,0.0580019,0.142214,0.250839,0.0733658
0.0254793,0.151806,0.141596,0.0430755,0.0667838
0.113507,0.0310554,0.112068,0.212018,0.098381
0.0343011,0.226191,0.217732,0.20563,0.208523
0.147837,0.125368,0.0492222,0.447811,0.147651
0.0802002,0.180864,0.17156,0.152161,0.0695439
0.1012,0.234574,0.0391447,0.149328,0.107556
0.0732637,0.0579223,0.213227,0.301501,0.0915334
0.111857,0.18558,0.0636899,0.984298,0.120192
0.0949725,0.103438,0.153345,0.506565,0.145502
0.0648012,0.241738,0.060338,0.592392,0.0816784
0.120513,0.0464856,0.14436,0.115173,0.210795
0.0361079,0.152162,0.110098,0.0719807,0.029197
0.116312,0.0450971,0.103077,0.210184,0.240546
0.0236937,0.1322,0.275458,0.175405,0.109952
0.101242,0.134499,0.0312524,0.155194,0.100417
0.0840713,0.058467,0.162422,0.377719,0.123862
0.0680473,0.235659,0.12566,0.264757,0.203272
0.149765,0.0953356,0.190373,0.340392,0.0788629
0.0169267,0.188615,0.0220623,0.192256,0.0652419
0.150059,0.189289,0.138618,0.232911,0.035487
0.0781647,0.0818151,0.074519,0.364137,0.0435801
0.128682,0.148101,0.189068,0.239815,0.0666551
0.0928091,0.156066,0.0315399,0.215241,0.157452
0.104703,0.164441,0.118086,0.197734,0.0569075
0.142206,0.11028,0.0974038,0.0727509,0.129404
0.0418193,0.101325,0.079337,0.162035,0.0937228
0.105559,0.119746,0.120148,0.066523,0.0467099
0.0263733,0.163209,0.0797233,0.203928,0.127754
0.116331,0.0524683,0.138001,0.076538,0.0806929
0.0729393,0.190501,0.0130742,0.178442,0.0746349
0.0868428,0.0786062,0.144644,0.119149,0.0765032
0.147936,0.209062,0.0788987,0.169309,0.105323
0.0278326,0.126407,0.109514,0.229986,0.155697
0.119883,0.180117,0.110464,0.0499488,0.0788999
0.101382,0.209434,0.0802411,0.169656,0.16713
0.168652,0.0391558,0.21542,0.0253352,0.0301158
0.10069,0.217903,0.0574011,0.165598,0.232073
0.0379421,0.0409105,0.18834,0.0818492,0.0553403
0.107815,0.240498,0.120704,0.204257,0.129848
0.11265,0.106863,0.116672,0.1572,0.399561
0.146084,0.1631,0.0780906,0.185951,0.181836
0.0509637,0.164548,0.12778,0.0880649,0.104825
0.0616602,0.141401,0.102476,0.153006,0.0565706
0.0685387,0.132047,0.0615669,0.056793,0.117174
0.110931,0.124335,0.220922,0.110959,0.0965089
0.0313301,0.363507,0.0776902,0.127358,0.0776267
0.135445,0.170897,0.273126,0.0962644,0.0864343
0.0827507,0.234259,0.0948564,0.22437,0.0309138
0.1188,0.0720851,0.0992152,0.0348861,0.169965
0.0556844,0.206222,0.0824074,0.160988,0.0508298
0.147675,0.0602076,0.196603,0.0938732,0.135839
0.117955,0.147301,0.0382165,0.222447,0.132093
0.0666815,0.192142,0.155902,0.0374555,0.373478
0.139857,0.114303,0.0818898,0.227187,0.167756
0.0945469,0.21787,0.199058,0.0525915,0.610098
0.188257,0.108464,0.0564041,0.233259,0.0850191
0.0213637,0.216232,0.185697,0.0431705,0.272889
0.0832586,0.0431315,0.0740788,0.145664,0.529869
0.0525314,0.146303,0.151883,0.138933,0.370699
0.104291,0.12007,0.0649569,0.197485,0.252434
0.0293023,0.233958,0.200369,0.0524173,0.162391
0.079517,0.0660037,0.200077,0.170327,0.181701
0.0715788,0.239143,0.145425,0.080762,0.194133
0.0860213,0.134913,0.105133,0.292374,0.18885
0.100864,0.209496,0.164887,0.0413924,0.142567
0.137631,0.0582896,0.188592,0.157523,0.183375
0.180773,0.0384825,0.0718653,0.0938086,0.148266
0.129757,0.0703931,0.144284,0.192681,0.105549
