run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0152517,0.0026118,0.0160981,0.0,0.0110216
0.0159034,0.0267961,0.0416931,0.0426877,0.0209061
0.00527355,0.0194625,0.00992525,0.0653883,0.019288
0.0903829,0.0610105,0.037809,0.0695049,0.0841672
0.0121575,0.0300399,0.0379198,0.0223034,0.010946
0.078424,0.0588277,0.0346022,0.0214041,0.0388481
0.0102696,0.00760646,0.0393511,0.0594599,0.0356417
0.00966508,0.0438207,0.0883889,0.0997849,0.0568249
0.0567488,0.0511907,0.045293,0.014857,0.0871358
0.0687333,0.0301837,0.0729589,0.0340917,0.00943404
0.0161115,0.0478892,0.0548959,0.0666644,0.0585174
0.00587059,0.00887461,0.0758687,0.0861272,0.0747531
0.0756566,0.0790352,0.0340052,0.00489629,0.0268038
0.0197351,0.0222327,0.0728683,0.0354899,0.0352964
0.105633,0.0208146,0.0226898,0.0610555,0.0428709
0.0279663,0.0593291,0.0846426,0.0580044,0.0290298
0.0371664,0.0418501,0.0253743,0.0349017,0.0256824
0.0746088,0.0142808,0.0316718,0.0274459,0.0183218
0.0188969,0.0127124,0.0479359,0.0632227,0.074293
0.0579198,0.0664096,0.0557533,0.0154345,0.0159464
0.0225477,0.0550191,0.0149567,0.0665859,0.0739877
0.0862398,0.107152,0.0250039,0.0135525,0.0649779
0.0438426,0.0291613,0.0252409,0.082973,0.0304623
0.106529,0.0680661,0.0650514,0.0549755,0.135224
0.0173148,0.0199894,0.0566528,0.0443714,0.0362163
0.0264347,0.0872991,0.0430632,0.0202138,0.0354503
0.0981013,0.0110624,0.0760045,0.0798693,0.0613628
0.0829198,0.0674231,0.0629899,0.0940216,0.00144012
0.0101804,0.0238963,0.046181,0.0168724,0.0492495
0.029051,0.0727472,0.0209892,0.0606443,0.0306721
0.0827409,0.0238942,0.129185,0.0645782,0.0529864
0.0448998,0.016584,0.0529583,0.108384,0.0290588
0.0780642,0.0764883,0.0621266,0.0218924,0.0366241
0.00635887,0.0706503,0.0272645,0.0418726,0.0474857
0.0993197,0.0457276,0.0288206,0.0643879,0.0589858
0.0508264,0.0276183,0.0490911,0.0997974,0.0581809
0.089429,0.0769889,0.0671362,0.0377547,0.116695
0.00783084,0.0297393,0.036554,0.052235,0.0986867
0.10517,0.0904955,0.0961779,0.101976,0.0456582
0.037002,0.0206413,0.0558122,0.0234768,0.0553088
0.0447728,0.0358504,0.0666075,0.0370756,0.0531236
0.0104118,0.0457244,0.0385671,0.0621079,0.0930388
0.0940987,0.0747174,0.051361,0.0311333,0.01297
0.0212855,0.0628522,0.101491,0.101332,0.0290627
0.0648381,0.0275849,0.0376861,0.00711188,0.0730635
0.0197889,0.0927842,0.0343024,0.051365,0.0411692
0.0125754,0.0344815,0.0844281,0.0646995,0.0379057
0.0759549,0.0968056,0.0269291,0.0817313,0.0180351
0.0349547,0.0324161,0.0471417,0.0363166,0.0636786
0.0417458,0.0414667,0.0243813,0.0335299,0.0564862
0.0351473,0.0669431,0.0423604,0.0853957,0.0320016
0.00556541,0.056329,0.0703623,0.0452244,0.0206689
0.0670837,0.0702937,0.0765798,0.075351,0.0136347
0.0462737,0.0773005,0.0619865,0.0379729,0.0601429
0.0762631,0.0485912,0.0467589,0.0696022,0.0377815
0.0302034,0.120174,0.00675675,0.0634896,0.0581938
0.0321808,0.0310521,0.0514314,0.0485767,0.0314328
0.0411337,0.0563122,0.0456394,0.0196765,0.0652098
0.113202,0.0581017,0.0538068,0.0708811,0.0116699
0.0209315,0.117029,0.0382965,0.0526643,0.0373633
0.0109547,0.0270974,0.0290338,0.0267577,0.0337274
0.128663,0.0875788,0.0354082,0.0737367,0.0327446
0.0111647,0.0205956,0.00904441,0.0205374,0.00843766
0.0774398,0.0984688,0.0308752,0.0367987,0.0472184
0.0124311,0.022844,0.0525018,0.0574537,0.000291371
0.0385001,0.0542389,0.0599654,0.0100338,0.025768
0.0552121,0.0622161,0.0153991,0.0796832,0.0587912
0.0257412,0.0862209,0.0102888,0.0385352,0.0787146
0.0854169,0.0267499,0.078046,0.0747206,0.0238714
0.034664,0.0861387,0.0150199,0.0282094,0.0424488
0.0527671,0.0248548,0.0658697,0.0630235,0.030216
0.0674979,0.108167,0.0383091,0.0527791,0.131481
0.0498921,0.0407744,0.0308414,0.0159079,0.0917793
0.0603044,0.0914065,0.00765132,0.0751122,0.0452402
0.0327371,0.100442,0.0354445,0.0536251,0.0879459
0.0293689,0.037705,0.00661685,0.0355598,0.0546957
0.0619228,0.0232012,0.0199721,0.0388359,0.01804
0.0190203,0.0476724,0.022852,0.037101,0.0490047
0.0809047,0.0629847,0.0341944,0.0216009,0.0345257
0.0219879,0.0433647,0.0478742,0.0381642,0.0771279
0.0197924,0.0537168,0.0080802,0.0515258,0.0451498
0.0499023,0.0397585,0.0150286,0.0375558,0.0990186
0.0623864,0.0822066,0.053359,0.0643555,0.0558821
0.0507682,0.0268155,0.0268326,0.0322976,0.0601029
0.0620644,0.065818,0.0425444,0.0878315,0.0591672
0.0474492,0.0572216,0.0476096,0.0382114,0.0441625
0.149205,0.026896,0.0291758,0.103827,0.075427
0.169932,0.101422,0.0785695,0.0451217,0.0457358
0.0676252,0.0252959,0.0249442,0.0462367,0.0725811
0.0258557,0.0608185,0.0531304,0.0252649,0.0542097
0.0225398,0.023946,0.0344141,0.0465714,0.0657668
0.0647394,0.0702207,0.0479977,0.0369762,0.0167807
0.041765,0.0329322,0.0181962,0.0462364,0.0842917
0.0697911,0.0895883,0.0236304,0.0120299,0.0275486
0.0323385,0.0141009,0.0184637,0.0716684,0.0710684
0.089447,0.0846783,0.0172893,0.0230574,0.024176
0.0115549,0.00853209,0.0467725,0.0371605,0.0564744
0.0915277,0.0507711,0.00713591,0.0359068,0.0486671
0.0147731,0.0377543,0.0341188,0.0725706,0.101054
0.0605174,0.0813186,0.038149,0.00361157,0.0174382
