run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0,0.024421,0.056895,0.047807,0.038562
0.0,0.037369,0.019215,0.014124,0.031915
0.0665736,0.018124,0.048544,0.0611655,0.0640086
0.237871,0.016843,0.0433285,0.0463919,0.0424438
0.250984,0.001016,0.0955092,0.114582,0.0720275
0.0631302,0.009159,0.0371178,0.108645,0.10411
0.0257624,0.015599,0.0661751,0.0444582,0.140369
0.14279,0.047328,0.00997277,0.0352773,0.0263453
0.155678,0.006352,0.133916,0.0222135,0.0393631
0.0210464,0.0362371,0.10168,0.0242274,0.0967127
0.0612398,0.0177653,0.0548613,0.149365,0.0142061
0.0162417,0.007879,0.0660721,0.15361,0.059001
0.0551116,0.004539,0.041003,0.0600807,0.0484946
0.0899001,0.006659,0.0792945,0.121885,0.0453737
0.0385036,0.014077,0.0269256,0.0572466,0.0761754
0.103732,0.024437,0.0324399,0.0909337,0.0392494
0.0269951,0.0125824,0.10508,0.07135,0.0475418
0.106525,0.0295388,0.04439,0.0851834,0.0705703
0.0966905,0.0169972,0.0338599,0.0251334,0.0945215
0.0231153,0.004676,0.0653873,0.0553553,0.0503156
0.0811097,0.014911,0.120232,0.071294,0.0411668
0.0473947,0.00035,0.160981,0.0988854,0.100228
0.0643304,0.014561,0.0414616,0.0262978,0.104665
0.0672847,0.0,0.114549,0.079785,0.0215004
0.0160366,0.00913,0.0947009,0.0947659,0.0487081
0.102822,0.00913,0.157179,0.0363175,0.0202099
0.0845319,0.013398,0.0243486,0.034797,0.0612308
0.10956,0.0144777,0.141363,0.076415,0.024586
0.0707749,0.005486,0.0287347,0.0179727,0.0784267
0.033855,0.006468,0.11734,0.067482,0.0298365
0.0675628,0.006468,0.0556987,0.0727941,0.0540391
0.0713662,0.0,0.0452972,0.0990606,0.0227761
0.105317,0.0,0.0446488,0.0109935,0.0913233
0.045627,0.0,0.00771598,0.0277316,0.0951393
0.02844,0.0,0.0406152,0.0504104,0.0511281
0.0151865,0.0,0.0640491,0.0992087,0.0233582
0.0442632,0.01,0.0709071,0.0316435,0.0994551
0.0119333,0.0434678,0.0540587,0.114309,0.0557058
0.0454628,0.100169,0.0809331,0.0787895,0.119889
0.0486676,0.0648751,0.0229675,0.0115577,0.043015
0.0119389,0.0786693,0.0839287,0.0369717,0.0653509
0.0596397,0.0276543,0.0353543,0.0212952,0.00559925
0.0593393,0.0601406,0.1374,0.116046,0.0331968
0.00680627,0.0723963,0.0214017,0.0761856,0.0430953
0.0238133,0.0259075,0.113692,0.0530275,0.00821499
0.0412948,0.11326,0.0493662,0.0114157,0.0373329
0.048832,0.0835663,0.0855056,0.116149,0.00820876
0.0148321,0.0154794,0.0383883,0.0619292,0.0359263
0.0971558,0.037511,0.0868087,0.0541094,0.0226282
0.0514679,0.0362376,0.0330373,0.0161701,0.039859
0.0844388,0.0278981,0.0791479,0.1061,0.0166372
0.00916907,0.0501841,0.0940337,0.0971142,0.0594079
0.105381,0.0389257,0.104148,0.0707863,0.014945
0.0963039,0.00608812,0.0130188,0.0530067,0.059552
0.0208722,0.0753347,0.141923,0.106738,0.0471791
0.0207898,0.0439946,0.0352163,0.106489,0.0575
0.00787215,0.0846943,0.119276,0.0139733,0.0154118
0.00745843,0.0820407,0.0733046,0.100598,0.0532751
0.0788527,0.000256,0.129207,0.0990761,0.0703295
0.0718589,0.0177865,0.0374614,0.0503448,0.0180397
0.00618055,0.0171274,0.117107,0.0516042,0.0578303
0.0569804,0.00982471,0.0329619,0.074202,0.017511
0.0719903,0.00904144,0.10407,0.0777839,0.0745885
0.126473,0.0832231,0.0509637,0.030579,0.0256304
0.0761142,0.0822022,0.0679049,0.0422122,0.0709471
0.0530449,0.0224475,0.0160905,0.0867875,0.0267091
0.0897951,0.0181279,0.0657199,0.0623313,0.0698487
0.0261255,0.0350902,0.0378497,0.0636629,0.0400966
0.0747748,0.0653125,0.0617845,0.0243678,0.0909943
0.128733,0.0513149,0.0523678,0.0452351,0.0397845
0.0366524,0.0819336,0.0729107,0.0147448,0.0694878
0.0140789,0.033698,0.0286947,0.0627456,0.0400025
0.0415151,0.0338102,0.120059,0.0241047,0.0483736
0.0863766,0.0285741,0.028475,0.10366,0.0974171
0.0336562,0.038208,0.0585791,0.0185841,0.0368558
0.0841022,0.0262151,0.0473217,0.0763363,0.0563101
0.0917093,0.0514998,0.0833428,0.029732,0.0247546
0.0262616,0.0217468,0.0201599,0.0938035,0.0421349
0.0870396,0.0199375,0.0748678,0.0481075,0.0175483
0.0240784,0.0701121,0.0918873,0.0758452,0.0629963
0.0252933,0.0128293,0.132627,0.0205384,0.0159614
0.074806,0.0244576,0.0129306,0.083961,0.0622695
0.0184415,0.0595445,0.0282917,0.010144,0.0146397
0.111799,0.0169943,0.0800515,0.0966631,0.0806378
0.0499788,0.0247255,0.0220344,0.0388064,0.0318327
0.0113852,0.0113842,0.0977799,0.120292,0.0312433
0.0681315,0.0190979,0.0395375,0.0923406,0.00738273
0.0547991,0.00627754,0.141728,0.0291426,0.0610957
0.0058013,0.0343052,0.0535767,0.030975,0.0616765
0.099864,0.0183353,0.102354,0.0332759,0.0220057
0.0284816,0.0249914,0.0266128,0.100374,0.0462008
0.0654916,0.0344137,0.132451,0.115344,0.0427031
0.107097,0.0186693,0.0580311,0.00723702,0.0919764
0.137323,0.0336784,0.0598783,0.0580553,0.021145
0.0442314,0.0346806,0.0471006,0.016691,0.0669615
