run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.001061,0.0484854,0.0369293,0.0347832,0.016996
0.02541,0.0456605,0.00850605,0.0084654,0.0363489
0.0500831,0.0932701,0.042158,0.0273404,0.0902078
0.0258409,0.135634,0.0471051,0.0126588,0.0837632
0.043549,0.20203,0.0155271,0.007284,0.041719
0.0480895,0.19005,0.0553909,0.058158,0.0222728
0.0653134,0.0335571,0.0408368,0.0486396,0.0957977
0.0306925,0.0209024,0.101396,0.0668103,0.0392132
0.0196543,0.0355248,0.0247285,0.0329214,0.0655769
0.0316728,0.0382405,0.0301261,0.0224588,0.0488294
0.0338897,0.023429,0.0206117,0.0741452,0.144984
0.0301808,0.0373156,0.0348736,0.0517047,0.125552
0.0760753,0.031572,0.0254949,0.0254383,0.168908
0.053826,0.0488604,0.0232092,0.0386445,0.039678
0.0414931,0.059582,0.0648961,0.0210641,0.127018
0.0297595,0.0339686,0.0533218,0.0305023,0.0504477
0.0723616,0.0552717,0.0429609,0.051441,0.039494
0.0560227,0.0247485,0.0318028,0.0371007,0.0291544
0.0219013,0.0532045,0.043852,0.0585129,0.0486997
0.0534177,0.0260854,0.0192427,0.0335637,0.041583
0.034702,0.0373802,0.0385494,0.0405674,0.0665781
0.0352337,0.0258268,0.0345093,0.0597635,0.056093
0.0162327,0.067176,0.0594418,0.0326359,0.043171
0.0333557,0.0515435,0.0327447,0.0405828,0.0264062
0.0483942,0.079051,0.0426104,0.0183596,0.0571519
0.0442465,0.0599615,0.0446959,0.0259441,0.0227928
0.0403324,0.0373936,0.0590702,0.0234819,0.0709789
0.0718855,0.04115,0.0322217,0.0309375,0.0312226
0.0828288,0.017342,0.0374726,0.0410891,0.0483199
0.0369582,0.0647008,0.0210237,0.0406987,0.0581606
0.0950421,0.0271584,0.0336282,0.0220218,0.0620947
0.0848828,0.0295229,0.0315546,0.033032,0.0435257
0.0390421,0.0614769,0.0370077,0.0245124,0.0682552
0.0481662,0.0561221,0.0203704,0.03834,0.0329675
0.0379537,0.0659906,0.0340244,0.0392863,0.0311449
0.0183808,0.0309282,0.02282,0.0289665,0.0679852
0.0439937,0.077028,0.0384727,0.0320161,0.0344092
0.108813,0.0384974,0.0381526,0.0293301,0.0512543
0.0607505,0.0900905,0.0305004,0.0319713,0.0548375
0.106391,0.0225966,0.0331802,0.0301833,0.0436286
0.0377768,0.0823166,0.027401,0.0395617,0.0286592
0.0718113,0.0258149,0.0246686,0.0264495,0.0719187
0.0673626,0.0641348,0.0273655,0.0448103,0.0374526
0.0380262,0.0211206,0.039035,0.0397969,0.0743691
0.0660327,0.0419347,0.0141716,0.0356854,0.0386911
0.0521706,0.0267442,0.0248229,0.02316,0.0336536
0.0288993,0.0225392,0.0299882,0.0265159,0.0355401
0.0564191,0.0293421,0.0195087,0.0405864,0.0332899
0.10502,0.0491976,0.0182098,0.0413776,0.0375145
0.0957955,0.0644519,0.0150632,0.0341316,0.0329902
0.0476679,0.0343623,0.0403882,0.0303576,0.0472683
0.0774422,0.0517244,0.020251,0.0302293,0.0506464
0.0714294,0.0359058,0.0179449,0.0205029,0.0318376
0.0691124,0.0568731,0.0213166,0.038121,0.0633512
0.0488372,0.0270583,0.0299452,0.0438913,0.0278536
0.0290752,0.0876181,0.0308252,0.04566,0.0700395
0.0747193,0.0690327,0.014908,0.0327619,0.0319496
0.0554394,0.0616281,0.0139098,0.0326192,0.0326681
0.0436316,0.0352846,0.0329862,0.0340573,0.0330693
0.0475199,0.0973101,0.0491425,0.0418136,0.0443817
0.057008,0.0707877,0.0225397,0.0315787,0.0647941
0.0108336,0.0420528,0.0251712,0.0183988,0.025976
0.045987,0.0192969,0.036479,0.0310984,0.0459437
0.0462157,0.0390868,0.0389553,0.0177576,0.0445074
0.0556122,0.0323945,0.0254549,0.0391978,0.0567837
0.0354082,0.0606736,0.0244277,0.0268978,0.032939
0.0845809,0.0133668,0.0332075,0.0441851,0.0161564
0.0391782,0.0296907,0.0357103,0.0418285,0.0894014
0.0345246,0.0340483,0.0293514,0.0422923,0.0296754
0.036134,0.0395644,0.0227932,0.0350526,0.0463904
0.0708577,0.0222538,0.0286767,0.0670711,0.0309483
0.0561509,0.0242259,0.055142,0.0331928,0.0487996
0.0435041,0.0300808,0.0134824,0.0579319,0.0300484
0.0271817,0.0249787,0.0410614,0.0307354,0.0726177
0.0797277,0.0245588,0.0177323,0.0388745,0.0279355
0.0728212,0.0151294,0.040106,0.0174484,0.0855523
0.0211708,0.0507468,0.0426203,0.0405515,0.0321753
0.0490826,0.0322179,0.0382649,0.0283553,0.0754993
0.0295913,0.024886,0.0388904,0.041695,0.0120312
0.0515845,0.0430345,0.0211423,0.0325113,0.0825889
0.038311,0.0514003,0.0163884,0.053657,0.0151919
0.0746916,0.0531719,0.0217861,0.0397414,0.0797558
0.0514304,0.0184663,0.016074,0.0411696,0.00571068
0.0395818,0.0213451,0.0199141,0.0292525,0.0514589
0.0695343,0.0393695,0.0258525,0.0405796,0.0823146
0.0641009,0.0301209,0.017803,0.0261198,0.0907849
0.0326929,0.0255797,0.0263216,0.0470936,0.0299377
0.0299409,0.0203105,0.0287082,0.0296443,0.0395743
0.0521491,0.0377893,0.0300055,0.0372105,0.0197092
0.0319537,0.0462804,0.0185832,0.107552,0.0736495
0.0579689,0.0648756,0.0176874,0.0274628,0.0241026
0.0322569,0.0690835,0.0290433,0.0583933,0.0679138
0.0513942,0.0627884,0.0164751,0.0317338,0.0421088
0.0728299,0.045524,0.0345291,0.0548107,0.0653516
0.0410314,0.048602,0.015798,0.0568985,0.02679
0.0131879,0.0584114,0.0308829,0.0462803,0.0664653
0.0525892,0.0589986,0.0215084,0.0553474,0.0662444
0.0514564,0.0544637,0.031321,0.0410412,0.0621384
0.0410612,0.0473813,0.0199311,0.0217951,0.0212368
0.0326968,0.0442459,0.0327847,0.0514693,0.0937397
0.0465539,0.0377879,0.014167,0.0484225,0.0385368
0.0614362,0.0614918,0.0163911,0.0483079,0.0596832
0.0642918,0.0474584,0.0249503,0.0665666,0.0107868
0.0341985,0.0745803,0.0307693,0.0405555,0.0936419
0.101187,0.0584792,0.0261798,0.074141,0.0622131
0.100779,0.0316738,0.0224942,0.0506686,0.0377802
0.042389,0.0357594,0.022212,0.0674751,0.0516254
0.054717,0.0708995,0.0178525,0.0504814,0.0518056
0.0433803,0.061422,0.0271069,0.0398033,0.0589591
0.0581212,0.0194319,0.0111656,0.0293577,0.0282115
0.0244985,0.0694818,0.0374086,0.0415827,0.0551604
0.0534288,0.0354568,0.0216854,0.0249531,0.0359308
0.0446157,0.0617277,0.0168893,0.0753856,0.0792708
0.0372098,0.0548414,0.0156947,0.0392934,0.0338337
0.0195793,0.077012,0.0251761,0.046127,0.010832
0.0439177,0.0425257,0.0429664,0.0394377,0.0964531
0.0367854,0.0351731,0.0299968,0.0436823,0.0285234
0.0598556,0.0341727,0.022958,0.0388518,0.0252155
0.0463058,0.0635324,0.0247386,0.0795724,0.0502181
0.0570752,0.0222705,0.0344272,0.081811,0.0348497
0.0428363,0.0550102,0.0406405,0.0328211,0.0977491
0.0368743,0.0222153,0.0289213,0.0598997,0.0340316
0.0224894,0.0631181,0.0147599,0.0275443,0.0462975
0.0385155,0.0581847,0.0197214,0.0434819,0.0557329
0.0236041,0.0217333,0.0214118,0.0378956,0.0646193
0.0167925,0.0241426,0.0294406,0.0649423,0.0399764
0.0518003,0.0241679,0.0319804,0.0281699,0.0779325
0.0516815,0.0184777,0.0312243,0.0818587,0.0638591
0.0489121,0.0474492,0.0331818,0.032665,0.0423839
0.0127039,0.012504,0.0225952,0.0345047,0.0580668
0.0303949,0.0362259,0.0219518,0.0415494,0.0509842
0.0396424,0.0282438,0.0213475,0.0387186,0.0584418
0.0528148,0.0362429,0.0275752,0.0330783,0.0373937
0.0278218,0.0264469,0.0244984,0.0547051,0.0759798
0.0510974,0.0456792,0.0284357,0.0537251,0.0278499
0.0503571,0.0437349,0.0224164,0.030555,0.0633062
0.0471662,0.0508636,0.0321052,0.0401171,0.0282645
0.0234778,0.0241663,0.0184268,0.040581,0.0753952
0.0476065,0.0652559,0.0233117,0.023242,0.141162
0.0386532,0.050395,0.0336512,0.0472869,0.0269862
0.0240244,0.0418988,0.0300003,0.0401155,0.0735482
0.0370515,0.0314348,0.019262,0.0283239,0.0606932
0.0593031,0.0849307,0.019128,0.0495094,0.031392
0.0396585,0.0467019,0.023269,0.0341685,0.0619151
0.0236814,0.0407736,0.0223332,0.0476383,0.0454333
0.0413345,0.0241125,0.0187852,0.0460909,0.0654073
0.0659339,0.0665548,0.0271214,0.0659439,0.051332
0.0500823,0.0446007,0.039456,0.0330099,0.0796075
0.0638162,0.0455448,0.0184,0.0600682,0.0350884
0.0465296,0.0284029,0.012397,0.0256855,0.0657987
0.0246388,0.11145,0.0260535,0.0262678,0.0187134
0.0656785,0.06274,0.039865,0.0516129,0.0382251
0.0498955,0.0481001,0.0287503,0.0514961,0.0473637
0.0639216,0.0233898,0.0341951,0.0226162,0.100771
0.0489011,0.0610706,0.0164374,0.0443811,0.0239113
