run1,run2,run3,run4,run5
0.0,0.0,0.0,0.0,0.0
0.0447688,0.0633606,0.156563,0.0693474,0.0805212
0.0449186,0.0694844,0.144361,0.0820881,0.0459103
0.0459467,0.0703821,0.114488,0.114317,0.0652577
0.0182388,0.153187,0.0712888,0.0397323,0.0829842
0.0682968,0.0842804,0.0626596,0.107856,0.016793
0.0629637,0.0891459,0.0884717,0.0819509,0.0248323
0.0545629,0.0736449,0.0150505,0.107132,0.0757305
0.0458583,0.0439056,0.0351508,0.0892749,0.0563054
0.0638828,0.0158924,0.0192572,0.0997341,0.0828573
0.0634854,0.0262457,0.0436229,0.0581529,0.0830126
0.0344017,0.0402816,0.0545757,0.135731,0.0543484
0.0510989,0.0397299,0.0530021,0.0429049,0.0586095
0.0499134,0.0390508,0.0158453,0.0582959,0.0535483
0.0408985,0.0160838,0.0261875,0.0995593,0.0311978
0.0657808,0.0280172,0.0819926,0.0538961,0.0772928
0.364867,0.033954,0.191274,0.0729909,0.037027
0.0314679,0.0514496,0.0389707,0.101821,0.0364372
0.134885,0.0549537,0.135841,0.0761019,0.0399302
0.172611,0.0235136,0.039002,0.0178896,0.0331919
0.0169231,0.0101855,0.0723018,0.0742205,0.0297211
0.00788395,0.0473076,0.0234138,0.0763098,0.0418951
0.0535814,0.0469804,0.06954,0.0587763,0.0449815
0.0369826,0.0383283,0.0345511,0.0793962,0.0524661
0.0305576,0.0139009,0.0533773,0.0404868,0.0781117
0.0312934,0.0151322,0.0576131,0.0718325,0.0334647
0.0382947,0.0359388,0.025475,0.0719728,0.0681362
0.0279972,0.030561,0.0440248,0.033634,0.0186612
0.0145045,0.0171222,0.0844937,0.0866753,0.0439832
0.0488918,0.070251,0.0576701,0.0849802,0.0515389
0.0965208,0.0321424,0.0268775,0.143828,0.0400758
0.0654884,0.0228527,0.0581444,0.0667044,0.0322071
0.0303805,0.0503815,0.0494438,0.0406683,0.0285085
0.0620735,0.0073344,0.0729798,0.0529647,0.0441322
0.136534,0.12051,0.0480411,0.0663034,0.0376847
0.113899,0.0865369,0.0511641,0.0825238,0.0226842
0.106999,0.0538608,0.0299616,0.0773951,0.0418199
0.0877832,0.0484216,0.0591888,0.0780164,0.0812712
0.0256295,0.0442205,0.0616594,0.0361241,0.0369505
0.0899886,0.0183663,0.0658621,0.112551,0.0631944
0.0198821,0.0340563,0.0555433,0.0712218,0.0573673
0.0383545,0.0169457,0.0719671,0.0781328,0.0826735
0.0965925,0.0375421,0.0856074,0.0589223,0.0591201
0.0567099,0.0195232,0.0989431,0.0766683,0.034078
0.0986584,0.0449466,0.0601755,0.092441,0.0278814
0.0954959,0.0484096,0.0770343,0.0808583,0.0641659
0.0421721,0.0286981,0.0877054,0.051593,0.0462591
0.0598652,0.0174933,0.0716355,0.101967,0.0711473
0.0245333,0.0488411,0.0927723,0.0567917,0.0339667
0.0587234,0.0599282,0.0402414,0.0813274,0.0606556
0.0327105,0.0363165,0.0793949,0.0770739,0.0600924
0.090387,0.0527891,0.0429735,0.0770886,0.0689678
0.0388938,0.0303893,0.088653,0.0387028,0.0576001
0.0775108,0.0361323,0.0205753,0.0629605,0.0738222
0.0423132,0.0376729,0.0716212,0.102097,0.178002
0.0181284,0.078932,0.0631161,0.141297,0.0859518
0.0877903,0.0682279,0.0686156,0.0546184,0.0849149
0.0666699,0.0918753,0.0700516,0.144506,0.14895
0.113639,0.108446,0.0409227,0.0338164,0.0578087
0.124032,0.0335369,0.0558954,0.0768855,0.0761459
0.0587898,0.0354566,0.0480439,0.0511405,0.0669014
0.0324278,0.0997636,0.027107,0.0645219,0.11018
0.024771,0.0343757,0.0680512,0.0532968,0.106977
0.0922115,0.060082,0.0490713,0.073901,0.0323328
0.0474876,0.0486679,0.0722646,0.079747,0.0785146
0.0517711,0.0750046,0.0545868,0.222165,0.106399
0.0675722,0.0486576,0.0880859,0.100584,0.069609
0.0345974,0.0724996,0.0609021,0.153803,0.0818198
0.0737478,0.0547362,0.057562,0.0966735,0.106084
0.0322557,0.075518,0.0546049,0.0438572,0.126154
0.0902252,0.0653175,0.206464,0.0823347,0.0435299
0.0587259,0.0681268,0.0890318,0.112173,0.0587686
0.0626827,0.0686455,0.0521234,0.0524809,0.0806614
0.0777914,0.120508,0.120121,0.0965946,0.0532232
0.0286715,0.0678402,0.0523816,0.0803596,0.057145
0.0748189,0.0903232,0.0995337,0.104321,0.0806504
0.042757,0.0660769,0.0482126,0.0450989,0.0863192
0.0222366,0.0283125,0.0621252,0.0713207,0.058861
0.045922,0.0509248,0.0774231,0.0737731,0.0630184
0.0641979,0.0720911,0.0588162,0.064277,0.0397077
0.0273377,0.0621019,0.0422009,0.0699485,0.0588767
0.109473,0.0371246,0.0532885,0.0904704,0.0247634
0.0410987,0.0701464,0.0710981,0.0394545,0.0847465
0.0734506,0.0319576,0.0542041,0.0838377,0.0845439
0.0842452,0.0580293,0.0696148,0.0947613,0.0634513
0.0523096,0.0461421,0.0498166,0.0408263,0.0500996
0.0654992,0.0900833,0.0475181,0.0429556,0.0633293
0.0888434,0.0326874,0.0597019,0.0770822,0.083242
0.04134,0.0515007,0.142162,0.0914936,0.0752317
0.0878115,0.0543772,0.0716293,0.0771928,0.06865
0.0522576,0.0437052,0.0263828,0.0758881,0.215052
0.0281055,0.0678597,0.0805308,0.0971842,0.16203
0.0571144,0.0434771,0.0337244,0.0982442,0.823615
0.0849729,0.0641984,0.0456695,0.0609381,0.812306
0.244507,0.0248137,0.0607104,0.126912,0.179641
0.039737,0.0767653,0.0406489,0.068217,0.0822175
0.151257,0.0474317,0.0621631,0.0810598,0.0536881
0.0400574,0.0647286,0.0458137,0.0919872,0.100929
0.0872154,0.0549359,0.0770878,0.0920107,0.0618558
0.0333034,0.0704856,0.689259,0.0925615,0.0365533
0.0252719,0.0755561,0.377827,0.0692672,0.0447171
0.0631038,0.123973,0.160257,0.0630471,0.10181
0.0332044,0.0742568,0.147948,0.0571123,0.0764551
0.111809,0.0566009,0.0494623,0.0803156,0.0150934
0.0395882,0.0943261,0.0597151,0.0763012,0.093825
0.060127,0.105135,0.0383511,0.0777633,0.0674051
0.0775793,0.217599,0.0616114,0.0629751,0.10643
0.0381515,0.120083,0.0330552,0.136269,0.0783327
0.0836687,0.953609,0.0693598,0.0839071,0.0835557
0.0908538,0.24347,0.0807752,0.06192,0.0667698
0.122955,0.284141,0.071519,0.0814351,0.0414115
0.0669023,0.104815,0.0640769,0.377994,0.0446569
0.116,0.123098,0.0726506,0.302123,0.080826
0.112618,0.0443631,0.0500583,0.789466,0.0437443
0.0801609,0.089173,0.0690263,0.672924,0.0838948
0.0211144,0.095684,0.0360959,0.211383,0.052615
0.0692766,0.0832264,0.0756203,0.251187,0.116494
0.0163337,0.0974622,0.082804,0.204018,0.100622
0.0344269,0.0708266,0.074218,0.106527,0.0747528
0.0646654,0.394719,0.0795355,0.125251,0.0590501
0.0723836,0.260032,0.0761202,0.146125,0.0597651
0.0642001,0.0616645,0.0753148,0.150233,0.0392483
0.0390425,0.178604,0.0900329,0.12569,0.0834977
0.0593441,0.191887,0.0466489,0.106083,0.0936268
0.0540792,0.101176,0.0496794,0.241103,0.0417823
0.131646,0.0534472,0.0571493,0.0843493,0.0420745
0.0301736,0.0801342,0.0635035,0.0842827,0.090795
0.0400231,0.0383325,0.0608722,0.124187,0.103732
0.0811546,0.0724954,0.051793,0.0796628,0.0598629
0.0969841,0.0437875,0.0667732,0.107283,0.0511662
0.0311541,0.0500013,0.0466169,0.0688807,0.051139
0.0774318,0.0765711,0.0747886,0.106363,0.0494792
0.0213504,0.0984304,0.0440505,0.0972118,0.101905
0.0575794,0.0784246,0.0552294,0.069573,0.0684508
0.0498302,0.0326221,0.0419698,0.114965,0.0716266
0.0767577,0.113783,0.0857598,0.0610054,0.0593059
0.0744861,0.112715,0.0516786,0.0744133,0.0872488
0.0333104,0.0841126,0.0973978,0.0707222,0.0787432
0.0952787,0.124462,0.0642626,0.0704278,0.111661
0.0549634,0.171478,0.0767666,0.0479829,0.0619326
0.0323132,0.223015,0.0704961,0.12903,0.0740536
0.0530669,0.137728,0.0410536,0.113273,0.0369852
0.034005,0.169618,0.0456129,0.101431,0.108662
0.0821134,0.0748499,0.052884,0.0902145,0.0426774
0.0328994,0.0726393,0.139131,0.10284,0.0851452
0.0691984,0.0318978,0.0708236,0.0832681,0.0369963
0.0625581,0.0711423,0.0577259,0.0861574,0.0794882
0.181165,0.0653882,0.0437321,0.0212462,0.0587796
0.0719071,0.0608725,0.0659791,0.0792796,0.111757
0.0400319,0.0556728,0.0473376,0.0743778,0.100628
0.0744361,0.101114,0.108924,0.0930032,0.0537654
0.0643738,0.0611481,0.0866031,0.0777979,0.104687
0.0891052,0.102446,0.0580051,0.0895634,0.0923762
0.0801522,0.209998,0.0450197,0.0709248,0.0823178
0.0715309,0.265348,0.0548984,0.198837,0.0842417
0.0942603,0.129173,0.0605073,0.122714,0.0861026
0.05642,0.143683,0.0862787,0.0798645,0.0908968
0.159881,0.0529779,0.0572941,0.093508,0.0871783
0.162972,0.155498,0.133467,0.0407431,0.0410703
0.0412831,0.119499,0.0664973,0.159694,0.0679319
0.092718,0.0834813,0.0852527,0.0498101,0.0527869
0.0700042,0.10368,0.0812459,0.108133,0.0793705
0.0770585,0.079321,0.0815154,0.150329,0.143262
