label,x,y,z,dtseries_row_i,left_hemi,first_rdm_corr,replication_rdm_corr,y_squared
16.0,-15.230060776074728,-52.36098626454671,-0.4576025393791497,5988.008333333333,1.0,0.08466175388711816,0.04276544853407125,2741.6728825960495
17.0,-43.733691721655134,-73.62917920331049,5.367286203377073,15269.59217877095,1.0,0.2166119344912809,0.08404302286060014,5421.256030153209
18.0,-5.932428089471964,-87.38681641603128,1.1100365752593064,23225.333333333332,1.0,0.3078393184767506,0.2150232625596017,7636.455683329154
19.0,-24.04925467870007,-93.98310486257893,6.254873672168549,19539.479452054795,1.0,0.3775560437417257,0.26869796495181025,8832.823999610506
20.0,-11.156234890581613,-48.426432598068054,3.6690265821764267,2277.253012048193,1.0,0.11744995286706437,0.014403307922780184,2345.119374175228
21.0,-8.96290671825409,-75.91505430410574,8.732962735064396,23619.513513513513,1.0,0.27936437936569436,0.1147193745595924,5763.095469995323
22.0,-19.821517792615023,-63.31787425821478,5.876449674706567,21373.289772727272,1.0,0.17573486380399989,0.08692207609960798,4009.1532005790978
23.0,-36.86537127108187,-82.94568036053631,13.789619448378279,13706.87027027027,1.0,0.3431612974898529,0.19025107512878345,6879.98589047226
24.0,-12.63660347526138,-95.39241749531514,14.94545874724517,21111.762162162162,1.0,0.3730149566000747,0.2922103569747935,9099.713315600507
25.0,-4.178200954046005,-85.6025179838523,22.092408400315506,23224.891025641027,1.0,0.20920713951947667,0.0023925366775540834,7327.791085175755
26.0,-12.507377116303696,-71.39926026996814,20.256712010032253,24000.91447368421,1.0,0.19651308029864742,0.0958170671503368,5097.854367098651
27.0,-25.456125058002353,-83.4801508269695,20.355037914299817,12296.012422360249,1.0,0.40567984494397996,0.2511772433611577,6968.935582093578
28.0,-31.18561062180852,-81.0892402924687,26.675887946622918,12699.506024096385,1.0,0.2544024399811844,0.10202052106471961,6575.46489120973
29.0,-15.234247333598587,-86.3382940712215,31.74432304670226,10811.295597484277,1.0,0.38025654768746125,0.16944698769633304,7454.301023128721
30.0,-13.45808150551536,-77.36097828258167,34.41100359829989,13501.781818181818,1.0,0.16216556308532584,0.07272804369898003,5984.720960838073
31.0,-19.639435635672676,-73.99949439366658,43.49440234237247,10527.618055555555,1.0,0.5010456913544346,0.40178573014689634,5475.925170518291
32.0,-49.03084476177509,-11.972914416056414,1.3554784879832358,28575.491124260356,1.0,-0.013593080147121007,0.09933339413567148,143.3506796142115
33.0,-54.00358712288641,-23.15693170409049,7.468659780679211,20093.189516129034,1.0,0.07598754773975466,0.10273103847065924,536.2434859479113
