TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,61,55,7B-26B,23,1.0,0.0,2.0212507,3.053455352783203,5.170029163360596,2.141221284866333,31.0,36.0,8.881071,2.0212507,1,2.141221284866333,5.194676637649536,3.173425937649536,33.55,2
2,16,20,14C-17A-20C-27A,8,1.0,1.0,14.080495,15.104491233825684,18.203227996826172,3.0986008644104004,7.0,48.0,8.0766535,14.080495,1,3.0986008644104004,18.203092098236084,4.122597098236083,3.2,2
3,11,45,14B-21C-25C,6,1.0,2.0,26.318972,27.339597702026367,32.13679504394531,4.808102130889893,15.0,31.0,6.186621,26.318972,1,4.808102130889893,32.14769983291626,5.828727832916261,4.95,2
4,64,25,6A-21A,24,1.0,3.0,38.35941,39.37845230102539,44.370059967041016,,32.0,72.0,6.462967,38.35941,1,5.0,,6.0,16.0,2
5,4,25,6C-29B-30C,1,1.0,4.0,50.854557,51.8785285949707,53.303382873535156,1.4362752437591553,3.0,14.0,9.331391,50.854557,1,1.4362752437591553,53.31480383872986,2.4602468387298586,1.0,2
6,11,20,12C-17C-23C-28C,4,1.0,5.0,62.66086,63.676944732666016,66.81956481933594,3.1424190998077393,9.0,42.0,7.691067,62.66086,1,3.1424190998077393,66.81936383247375,4.158503832473755,2.2,2
7,64,50,1B-3B-4A,25,1.0,6.0,74.53959,75.56346130371094,78.80330657958984,3.250647783279419,40.0,73.0,8.211224,74.53959,1,3.250647783279419,78.81410908699036,4.274519086990352,32.0,2
8,58,45,11C-18C-25A,21,1.0,7.0,87.04869,88.07039642333984,91.45317840576172,3.382202386856079,19.0,26.0,7.627076,87.04869,1,3.382202386856079,91.45259881019592,4.403908810195929,26.1,2
9,18,25,14A-23A,9,1.0,8.0,99.11299,100.1334228515625,102.20346069335938,2.080928087234497,13.0,12.0,8.865061,99.11299,1,2.080928087234497,102.214350938797,3.1013609387970007,4.5,2
10,71,45,2B-16A,26,1.0,9.0,111.10857,112.1242446899414,115.30323028564453,3.1782474517822266,14.0,7.0,7.901652,111.10857,1,3.1782474517822266,115.30249214172363,4.1939221417236325,31.95,2
11,71,75,8B,28,1.0,10.0,123.229645,124.25283813476562,128.78663635253906,4.544878959655762,36.0,38.0,6.2976375,123.229645,1,4.544878959655762,128.7977170944214,5.568072094421382,53.25,2
