TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,0,0,0.0,0,1.0,0.0,2.0190508,,8.024588584899902,,,,5.578749,2.0190508,1,5.0,,6.0,0.0,1
2,71,55,5B-18A,27,1.0,1.0,13.62288,14.660344123840332,17.467267990112305,2.8197553157806396,60.0,71.0,8.39804,13.62288,1,2.8197553157806396,17.48009943962097,3.8572194396209714,39.05,1
3,36,70,3A-5C-10B,13,1.0,2.0,25.899843,26.921777725219727,30.98406982421875,4.073152542114258,29.0,45.0,7.333826,25.899843,1,4.073152542114258,30.994930267333984,5.095087267333984,25.2,1
4,0,0,0.0,0,1.0,3.0,38.34837,,44.359779357910156,,,,6.4241276,38.34837,1,5.0,,6.0,0.0,1
5,79,40,9B,30,1.0,4.0,50.806015,51.824462890625,55.184024810791016,3.372161865234375,71.0,78.0,8.091726,50.806015,1,3.372161865234375,55.196624755859375,4.390609755859373,31.6,1
6,0,0,0.0,0,1.0,5.0,63.30829,,69.30970764160156,,,,6.047076,63.30829,1,5.0,,6.0,0.0,1
7,39,60,9C-25B,15,1.0,6.0,75.376595,76.39646911621094,80.2840576171875,3.9000442028045654,27.0,24.0,7.334308,75.376595,1,3.9000442028045654,80.2965133190155,4.919918319015508,23.4,1
8,58,30,13C-30A,19,1.0,7.0,87.6466,88.66494750976562,91.55078887939453,2.896775722503662,42.0,51.0,7.973989,87.6466,1,2.896775722503662,91.56172323226929,3.9151232322692806,17.4,1
9,11,75,6B-18B-22C-24C-29A,7,1.0,8.0,99.55202,100.57118225097656,105.13401794433594,4.574186325073242,4.0,41.0,6.2257404,99.55202,1,4.574186325073242,105.1453685760498,5.593348576049806,8.25,1
10,11,45,14B-21C-25C,6,1.0,9.0,111.39596,112.41993713378906,117.41767883300781,5.008561134338379,6.0,33.0,6.006923,111.39596,1,5.008561134338379,117.42849826812744,6.032538268127439,4.95,1
11,36,30,3C-20A-22A,11,1.0,10.0,123.4576,124.47777557373047,127.76734161376953,3.3004212379455566,26.0,47.0,7.5421715,123.4576,1,3.3004212379455566,127.77819681167603,4.320596811676026,10.8,1
12,11,25,12A-27B-28B-30B,5,1.0,11.0,135.34044,136.3613739013672,139.66746520996094,3.317115545272827,2.0,45.0,7.900419,135.34044,1,3.317115545272827,139.67848944664001,4.338049446640014,2.75,1
13,58,40,10C-13A-19C-21B,20,1.0,12.0,147.60194,148.62100219726562,152.95083618164062,4.341052055358887,38.0,26.0,6.305228,147.60194,1,4.341052055358887,152.9620542526245,5.3601142526244985,23.2,1
14,79,65,8A,31,1.0,13.0,159.29103,160.3075408935547,163.68411254882812,3.37621808052063,69.0,55.0,7.5545897,159.29103,1,3.37621808052063,163.68375897407532,4.392728974075311,51.35,1
15,16,20,14C-17A-20C-27A,8,1.0,14.0,171.26874,172.2891082763672,175.3839874267578,3.1061480045318604,14.0,80.0,7.926175,171.26874,1,3.1061480045318604,175.39525628089905,4.12651628089904,3.2,1
16,61,45,10A-11A,22,1.0,15.0,183.34436,184.3577117919922,187.81748962402344,3.470733404159546,60.0,48.0,7.2881727,183.34436,1,3.470733404159546,187.82844519615173,4.484085196151739,27.45,1
17,61,55,7B-26B,23,1.0,16.0,195.13202,196.1509552001953,199.7171630859375,3.5660643577575684,56.0,64.0,7.5580597,195.13202,1,3.5660643577575684,199.71701955795288,4.5849995579528695,33.55,1
18,4,75,12B-20B-23B-27C-29C,3,1.0,17.0,207.30687,208.32382202148438,212.3673858642578,4.042949676513672,2.0,69.0,6.701917,207.30687,1,4.042949676513672,212.36677169799805,5.059901697998043,3.0,1
19,18,50,2C-16C-22B-28A,10,1.0,18.0,219.09335,220.1116485595703,222.90069580078125,2.799837112426758,13.0,28.0,7.774864,219.09335,1,2.799837112426758,222.91148567199707,3.8181356719970836,9.0,1
20,76,65,8C-19A-24B,29,1.0,19.0,230.71141,231.73602294921875,236.7008056640625,4.975751876831055,66.0,20.0,5.941652,230.71141,1,4.975751876831055,236.7117748260498,6.000364826049804,49.4,1
21,4,50,4C-17B,2,1.0,20.0,242.67917,243.70169067382812,246.73394775390625,3.0319759845733643,2.0,47.0,7.5874166,242.67917,1,3.0319759845733643,246.7336666584015,4.05449665840149,2.0,1
22,64,25,6A-21A,24,1.0,21.0,254.35573,255.3740692138672,259.1841125488281,3.8211536407470703,18.0,79.0,6.807987,254.35573,1,3.8211536407470703,259.19522285461426,4.839492854614264,16.0,1
23,11,20,12C-17C-23C-28C,4,1.0,22.0,266.02695,267.0435485839844,270.1174011230469,3.0847790241241455,5.0,49.0,8.014047,266.02695,1,3.0847790241241455,270.1283276081085,4.101377608108521,2.2,1
24,36,75,4B-5A-13B-16B,14,1.0,23.0,278.16168,279.1839599609375,282.7173767089844,3.5444796085357666,32.0,80.0,7.4270506,278.16168,1,3.5444796085357666,282.72843956947327,4.566759569473277,27.0,1
25,43,75,11B-19B-24A-26A,18,1.0,24.0,290.17627,291.1984558105469,294.0841979980469,2.8965964317321777,39.0,17.0,8.080943,290.17627,1,2.8965964317321777,294.09505224227905,3.9187822422790646,32.25,1
26,58,45,11C-18C-25A,21,1.0,25.0,302.20273,303.2225036621094,306.5673522949219,3.344461679458618,44.0,57.0,8.047181,302.20273,1,3.344461679458618,306.566965341568,4.364235341568019,26.1,1
27,39,65,1A-15A-26C,16,1.0,26.0,314.64355,315.6673278808594,318.2841796875,2.627640724182129,30.0,31.0,8.223715,314.64355,1,2.627640724182129,318.2949686050415,3.651418605041499,25.35,1
28,18,25,14A-23A,9,1.0,27.0,326.53915,327.5574951171875,330.7508239746094,3.2042815685272217,7.0,70.0,7.8474083,326.53915,1,3.2042815685272217,330.7617766857147,4.222626685714715,4.5,1
29,64,50,1B-3B-4A,25,1.0,28.0,338.63583,339.6546630859375,342.7342529296875,3.0905327796936035,34.0,12.0,7.869237,338.63583,1,3.0905327796936035,342.7451958656311,4.109365865631105,32.0,1
30,36,60,1C-7C-15C,12,1.0,29.0,350.63715,351.65350341796875,356.25091552734375,4.608278274536133,30.0,40.0,6.780949,350.63715,1,4.608278274536133,356.2617816925049,5.624631692504863,21.6,1
31,43,60,2A-7A-9A-15B,17,1.0,30.0,363.06552,364.08599853515625,368.2005310058594,4.113996505737305,39.0,12.0,6.9980316,363.06552,1,4.113996505737305,368.19999504089355,5.134475040893562,25.8,1
32,4,25,6C-29B-30C,1,1.0,31.0,375.23123,376.2511901855469,378.6340026855469,2.3820083141326904,2.0,1.0,8.91772,375.23123,1,2.3820083141326904,378.63319849967957,3.401968499679583,1.0,1
33,71,45,2B-16A,26,1.0,32.0,387.59012,388.608642578125,392.8842468261719,4.286625385284424,50.0,71.0,6.7763543,387.59012,1,4.286625385284424,392.8952679634094,5.305147963409411,31.95,1
34,71,75,8B,28,1.0,33.0,399.69473,400.7193603515625,405.3674621582031,4.658990383148193,69.0,26.0,5.9981074,399.69473,1,4.658990383148193,405.3783507347107,5.683620734710701,53.25,1
