TrialNumber,amount,prob,lottery_id,view_time,slider_time,rt,choice,mouse_start,view_ev_duration,eval_ev_duration,ev_duration,EV,run
1,39.0,60.0,15,3.006,4.022,4.492,10.0,37.0,1.016,4.494,5.51,23.4,1
2,79.0,65.0,31,15.029,16.037,4.813,17.0,70.0,1.008,4.814,5.822,51.35,1
3,4.0,25.0,1,27.045,28.056,2.881,0.0,6.0,1.011,2.882,3.893,1.0,1
4,39.0,65.0,16,39.068,40.071,,,36.0,1.003,5.012,6.015,25.35,1
5,0.0,0.0,32,51.099,52.101,5.0,0.0,0.0,1.002,5.01,6.012,0.0,1
6,0.0,0.0,33,63.125,64.129,5.0,0.0,0.0,1.004,5.009,6.013,0.0,1
7,76.0,65.0,29,75.153,76.162,4.144,35.0,28.0,1.009,4.144,5.1530000000000005,49.4,1
8,4.0,50.0,2,87.171,88.177,2.408,0.0,23.0,1.006,2.409,3.415,2.0,1
9,61.0,55.0,23,99.19100000000002,100.19200000000002,,,50.0,1.001,5.002,6.003,33.55,1
10,11.0,25.0,5,111.20600000000002,112.22,3.413,4.0,20.0,1.014,3.414,4.428,2.75,1
11,36.0,70.0,13,123.22400000000002,124.24000000000002,4.669,25.0,22.0,1.016,4.67,5.686,25.2,1
12,71.0,55.0,27,135.25600000000003,136.27200000000002,3.87,35.0,71.0,1.016,3.871,4.8870000000000005,39.05,1
13,43.0,75.0,18,147.28500000000005,148.288,4.245,32.0,54.0,1.003,4.246,5.2490000000000006,32.25,1
14,11.0,75.0,7,159.299,160.304,4.946,5.0,49.0,1.005,4.947,5.952,8.25,1
15,71.0,45.0,26,171.311,172.317,3.513,23.0,74.0,1.006,3.514,4.52,31.95,1
16,64.0,50.0,25,183.32800000000003,184.33600000000004,3.949,17.0,80.0,1.008,3.95,4.958,32.0,1
17,36.0,60.0,12,195.35,196.366,3.391,10.0,4.0,1.016,3.393,4.409,21.6,1
18,43.0,60.0,17,207.37,208.375,,,11.0,1.005,5.007,6.012,25.8,1
19,4.0,75.0,3,219.389,220.398,4.579,2.0,56.0,1.009,4.58,5.589,3.0,1
