TrialNumber,amount,prob,lottery_id,view_time,slider_time,rt,choice,mouse_start,view_ev_duration,eval_ev_duration,ev_duration,EV,run
1,36.0,30.0,11,3.012,4.015,,,28.0,1.003,5.005,6.008,10.8,1
2,64.0,50.0,25,15.028,16.044999999999998,2.987,18.0,20.0,1.017,2.988,4.005,32.0,1
3,61.0,55.0,23,27.065999999999995,28.067999999999994,3.177,28.0,71.0,1.002,3.178,4.18,33.55,1
4,36.0,75.0,14,39.08,40.094,3.205,21.0,29.0,1.014,3.207,4.221,27.0,1
5,79.0,65.0,31,51.103,52.108,4.073,25.0,48.0,1.005,4.075,5.08,51.35,1
6,71.0,55.0,27,63.120000000000005,64.125,4.678,19.0,22.0,1.005,4.679,5.684,39.05,1
7,43.0,75.0,18,75.12700000000001,76.13900000000001,4.241,25.0,16.0,1.012,4.242,5.254,32.25,1
8,11.0,75.0,7,87.15000000000002,88.15800000000002,,,39.0,1.008,5.002,6.01,8.25,1
9,58.0,40.0,20,99.17300000000002,100.187,4.276,13.0,4.0,1.014,4.277,5.291,23.2,1
10,4.0,50.0,2,111.189,112.204,2.94,0.0,8.0,1.015,2.941,3.956,2.0,1
11,58.0,45.0,21,123.22,124.237,,,61.0,1.017,5.008,6.025,26.1,1
12,18.0,50.0,10,135.249,136.251,3.021,6.0,66.0,1.002,3.022,4.024,9.0,1
13,4.0,75.0,3,147.257,148.269,2.894,2.0,47.0,1.012,2.894,3.906,3.0,1
14,58.0,30.0,19,159.282,160.285,3.883,14.0,32.0,1.003,3.884,4.887,17.4,1
15,79.0,40.0,30,171.29199999999997,172.29999999999998,3.692,22.0,49.0,1.008,3.694,4.702,31.6,1
16,71.0,75.0,28,183.305,184.316,3.531,29.0,51.0,1.011,3.532,4.543,53.25,1
17,4.0,25.0,1,195.322,196.329,2.051,0.0,38.0,1.007,2.051,3.058,1.0,1
18,0.0,0.0,32,207.333,208.346,5.0,0.0,0.0,1.013,5.012,6.025,0.0,1
19,36.0,60.0,12,219.369,220.378,2.775,21.0,8.0,1.009,2.776,3.785,21.6,1
20,43.0,60.0,17,231.383,232.395,2.725,24.0,22.0,1.012,2.727,3.739,25.8,1
21,11.0,20.0,4,243.407,244.417,3.08,3.0,14.0,1.01,3.081,4.091,2.2,1
22,0.0,0.0,33,255.432,256.434,5.0,0.0,0.0,1.002,5.0,6.002,0.0,1
23,76.0,65.0,29,267.451,268.453,3.65,32.0,40.0,1.002,3.65,4.652,49.4,1
24,39.0,60.0,15,279.45699999999994,280.45899999999995,3.365,28.0,25.0,1.002,3.366,4.368,23.4,1
25,36.0,70.0,13,291.47099999999995,292.48799999999994,4.126,17.0,59.0,1.017,4.127,5.144,25.2,1
26,11.0,25.0,5,303.497,304.504,4.144,2.0,32.0,1.007,4.145,5.151999999999999,2.75,1
27,61.0,45.0,22,315.5129999999999,316.5189999999999,4.21,22.0,20.0,1.006,4.211,5.2170000000000005,27.45,1
28,16.0,20.0,8,327.527,328.53599999999994,3.1,3.0,42.0,1.009,3.1,4.109,3.2,1
29,39.0,65.0,16,339.547,340.551,4.505,20.0,49.0,1.004,4.506,5.51,25.35,1
30,11.0,45.0,6,351.559,352.567,4.406,4.0,18.0,1.008,4.407,5.415,4.95,1
31,0.0,0.0,34,363.57,364.582,5.0,0.0,0.0,1.012,5.01,6.022,0.0,1
32,64.0,25.0,24,375.606,376.613,3.924,11.0,13.0,1.007,3.925,4.932,16.0,1
33,18.0,25.0,9,387.62,388.63,3.527,3.0,53.0,1.01,3.528,4.538,4.5,1
34,71.0,45.0,26,399.639,400.646,4.147,23.0,59.0,1.007,4.148,5.154999999999999,31.95,1
1,11.0,20.0,4,3.004,4.006,4.528,3.0,65.0,1.002,4.529,5.531,2.2,3
