,WTP_target,WTP_competitor,WTP_decoy
1,21.43065693430657,25.576642335766422,19.635036496350367
2,23.48529411764705,25.93478260869565,8.101449275362318
3,22.96350364963504,25.576642335766422,10.13138686131387
4,25.576642335766422,22.52173913043478,1.8962962962962964
5,22.52173913043478,32.11678832116788,22.96350364963504
6,13.5985401459854,8.257352941176471,0.9029850746268656
7,23.48529411764705,26.308823529411764,19.635036496350367
8,38.39855072463768,44.57664233576642,36.93478260869565
9,23.48529411764705,25.97037037037037,21.23357664233577
10,22.47826086956522,22.96350364963504,19.558823529411764
11,22.47826086956522,28.05072463768116,21.46323529411765
12,3.795620437956204,4.014705882352941,3.0
13,19.558823529411764,22.52173913043478,14.86861313868613
14,4.934306569343065,5.115942028985507,3.8905109489051095
15,21.43065693430657,23.48529411764705,19.635036496350367
16,25.93478260869565,22.52173913043478,8.101449275362318
17,3.8905109489051095,1.8962962962962964,3.0
18,32.11678832116788,8.257352941176471,21.46323529411765
19,36.93478260869565,28.05072463768116,19.558823529411764
20,10.13138686131387,4.014705882352941,3.8905109489051095
21,13.5985401459854,19.558823529411764,5.115942028985507
22,8.101449275362318,10.13138686131387,8.257352941176471
23,4.934306569343065,4.014705882352941,3.0
24,28.05072463768116,36.93478260869565,8.257352941176471
25,21.46323529411765,21.23357664233577,5.115942028985507
26,28.05072463768116,26.308823529411764,21.43065693430657
27,3.8905109489051095,3.795620437956204,4.014705882352941
