TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,choice,rt,time,random_jitter,end_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
29,64,25,6A-21A,24,1.0,28.0,338.04248,339.0673,20.0,3.37829,342.43467230000533,-0.003663998,342.4346618652344,338.04248,1,3.3782899379730225,342.4456,4.403107158203113,16.0,5
30,61,45,10A-11A,22,1.0,29.0,350.0792,351.09027,30.0,4.060211,355.15111890000117,-0.21605697,355.151123046875,350.0792,1,4.060211181640625,355.15048,5.071282177734361,27.45,5
31,18,50,2C-16C-22B-28A,10,1.0,30.0,361.90927,362.93552,9.0,2.828223,365.76775220000127,0.04110136,365.76776123046875,361.90927,1,2.8282229900360107,365.76373,3.8544629101562577,9.0,5
32,11,45,14B-21C-25C,6,1.0,31.0,374.0159,375.0399,6.0,4.6895337,379.7181370000035,-0.36907187,379.7181396484375,374.0159,1,4.689533710479736,379.72943,5.713531152343762,4.95,5
33,58,45,11C-18C-25A,21,1.0,32.0,385.69324,386.7175,37.0,,,-0.27873614,,385.69324,1,5.0,,6.0,26.1,5
34,36,70,3A-5C-10B,13,1.0,33.0,397.46927,398.49243,28.0,4.0918937,402.58460640000703,0.06591092,402.5845947265625,397.46927,1,4.091893672943115,402.58432,5.1150500683593805,25.2,5
1,0,0,0.0,0,1.0,0.0,2.011569,,,,--,0.17845178,,2.011569,1,5.0,,6.0,0.0,2
2,64,50,1B-3B-4A,25,1.0,1.0,14.201905,15.239853,33.0,3.2931821,18.507275,-0.4342313,18.507274627685547,14.201905,1,3.293182134628296,18.533035,4.3311302783203125,32.0,2
3,11,20,12C-17C-23C-28C,4,1.0,2.0,25.810783,26.823235,2.0,3.162084,29.974264,-0.48412558,29.97426414489746,25.810783,1,3.1620841026306152,29.98532,4.1745361375732415,2.2,2
4,43,75,11B-19B-24A-26A,18,1.0,3.0,37.355957,38.379444,31.0,3.172348,41.540485,-0.34280506,41.54048538208008,37.355957,1,3.1723480224609375,41.551792,4.195835144775394,32.25,2
5,0,0,0.0,0,1.0,4.0,49.06032,,,,--,-0.3237552,,49.06032,1,5.0,,6.0,0.0,2
