TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,36,75,4B-5A-13B-16B,14,1.0,0.0,2.017521,3.050079345703125,6.658872127532959,3.621647596359253,17.0,41.0,7.430362,2.017521,1,3.621647596359253,6.671726942062378,4.654205942062378,27.0,1
2,4,25,6C-29B-30C,1,1.0,1.0,14.119848,15.140820503234863,18.40897560119629,3.268293857574463,1.0,66.0,7.285412,14.119848,1,3.268293857574463,18.409114360809326,4.289266360809327,1.0,1
3,43,75,11B-19B-24A-26A,18,1.0,2.0,25.723543,26.7470703125,28.859176635742188,2.12312912940979,27.0,47.0,8.72744,25.723543,1,2.12312912940979,28.87019944190979,3.1466564419097907,32.25,1
4,39,65,1A-15A-26C,16,1.0,3.0,37.623287,38.6434211730957,42.65910720825195,4.026552677154541,18.0,75.0,7.4492526,37.623287,1,4.026552677154541,42.669973850250244,5.046686850250246,25.35,1
5,18,50,2C-16C-22B-28A,10,1.0,4.0,50.1361,51.15927505493164,53.74220657348633,2.582291841506958,8.0,59.0,8.515074,50.1361,1,2.582291841506958,53.7415668964386,3.6054668964385996,9.0,1
6,0,0,0.0,0,1.0,5.0,62.27792,,68.28944396972656,,,,6.0371346,62.27792,1,5.0,,6.0,0.0,1
7,4,75,12B-20B-23B-27C-29C,3,1.0,6.0,74.34335,75.36461639404297,77.5090560913086,2.145486354827881,3.0,23.0,8.604121,74.34335,1,2.145486354827881,77.51010274887085,3.1667527488708487,3.0,1
8,61,45,10A-11A,22,1.0,7.0,86.1527,87.1755142211914,91.02569580078125,3.8611598014831543,29.0,70.0,7.153316,86.1527,1,3.8611598014831543,91.03667402267456,4.883974022674565,27.45,1
9,43,60,2A-7A-9A-15B,17,1.0,8.0,98.21493,99.23551177978516,103.09243774414062,3.8676888942718506,22.0,61.0,7.0558667,98.21493,1,3.8676888942718506,103.103200674057,4.888270674057011,25.8,1
10,36,30,3C-20A-22A,11,1.0,9.0,110.181786,111.20404815673828,114.0423355102539,2.837723731994629,11.0,43.0,7.9784665,110.181786,1,2.837723731994629,114.04177188873291,3.8599858887329077,10.8,1
11,4,50,4C-17B,2,1.0,10.0,122.05104,123.07119750976562,124.97574615478516,1.9151941537857056,1.0,9.0,8.867471,122.05104,1,1.9151941537857056,124.98639166355133,2.93535166355133,2.0,1
12,11,25,12A-27B-28B-30B,5,1.0,11.0,133.87592,134.89134216308594,138.3258819580078,3.445387840270996,8.0,34.0,7.438138,133.87592,1,3.445387840270996,138.33673000335693,4.460810003356926,2.75,1
13,36,70,3A-5C-10B,13,1.0,12.0,145.79353,146.81565856933594,151.24339294433594,4.438673973083496,16.0,56.0,6.237869,145.79353,1,4.438673973083496,151.25433254241943,5.4608025424194295,25.2,1
14,16,20,14C-17A-20C-27A,8,1.0,13.0,157.51231,158.53224182128906,162.49252319335938,3.9600536823272705,7.0,59.0,7.3478274,157.51231,1,3.9600536823272705,162.49229550361633,4.979985503616319,3.2,1
15,36,60,1C-7C-15C,12,1.0,14.0,169.8728,170.89349365234375,174.12588500976562,3.243396759033203,18.0,79.0,7.9954395,169.8728,1,3.243396759033203,174.13689041137695,4.264090411376941,21.6,1
16,71,75,8B,28,1.0,15.0,182.15414,183.17367553710938,186.29258728027344,3.1299524307250977,40.0,28.0,8.25709,182.15414,1,3.1299524307250977,186.30362796783447,4.14948796783446,53.25,1
17,64,50,1B-3B-4A,25,1.0,16.0,194.58035,195.59848022460938,200.475830078125,4.888330459594727,30.0,64.0,5.6575236,194.58035,1,4.888330459594727,200.4868106842041,5.906460684204092,32.0,1
18,0,0,0.0,0,1.0,17.0,206.1632,,212.173095703125,,,,6.1568646,206.1632,1,5.0,,6.0,0.0,1
