TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,58,40,10C-13A-19C-21B,20,1.0,0.0,2.019323,3.044752359390259,8.035138130187988,,0.0,39.0,5.8568935,2.019323,1,5.0,,6.0,23.2,5
2,16,20,14C-17A-20C-27A,8,1.0,1.0,13.923418,14.94914436340332,16.701873779296875,1.7636512517929077,0.0,14.0,9.626833,13.923418,1,1.7636512517929077,16.712795615196228,2.789377615196228,3.2,5
3,79,65,8A,31,1.0,2.0,26.357164,27.382888793945312,30.2518310546875,2.879626512527466,23.0,1.0,8.136655,26.357164,1,2.879626512527466,30.26251530647278,3.9053513064727774,51.35,5
4,0,0,0.0,0,1.0,3.0,38.41237,,44.41707229614258,,,,6.0593987,38.41237,1,5.0,,6.0,0.0,5
5,18,25,14A-23A,9,1.0,4.0,50.499386,51.52500534057617,53.818363189697266,2.306105375289917,0.0,40.0,8.744224,50.499386,1,2.306105375289917,53.83111071586609,3.3317247158660876,4.5,5
6,4,50,4C-17B,2,1.0,5.0,62.596233,63.62229919433594,65.43514251708984,1.812278389930725,0.0,53.0,8.94725,62.596233,1,1.812278389930725,65.43457758426666,2.8383445842666646,2.0,5
7,36,70,3A-5C-10B,13,1.0,6.0,74.41546,75.42711639404297,78.28520202636719,2.8690171241760254,8.0,28.0,8.500521,74.41546,1,2.8690171241760254,78.296133518219,3.880673518218998,25.2,5
8,39,60,9C-25B,15,1.0,7.0,86.81521,87.82781982421875,91.41836547851562,3.601142168045044,10.0,0.0,7.5870485,86.81521,1,3.601142168045044,91.4289619922638,4.613751992263801,23.4,5
9,0,0,0.0,0,1.0,8.0,99.040215,,105.04010772705078,,,,6.490525,99.040215,1,5.0,,6.0,0.0,5
10,36,30,3C-20A-22A,11,1.0,9.0,111.54597,112.57117462158203,114.1684341430664,1.598416805267334,0.0,70.0,9.019676,111.54597,1,1.598416805267334,114.16959142684937,2.6236214268493683,10.8,5
11,36,60,1C-7C-15C,12,1.0,10.0,123.22546,124.23601531982422,128.4683074951172,4.231501579284668,9.0,51.0,7.0359187,123.22546,1,4.231501579284668,128.4675168991089,5.2420568991088885,21.6,5
12,61,45,10A-11A,22,1.0,11.0,135.52762,136.55068969726562,138.83535766601562,2.295241355895996,0.0,11.0,8.797173,135.52762,1,2.295241355895996,138.84593105316162,3.318311053161608,27.45,5
13,39,65,1A-15A-26C,16,1.0,12.0,147.66821,148.69326782226562,151.1352996826172,2.4531216621398926,4.0,5.0,8.564519,147.66821,1,2.4531216621398926,151.14638948440552,3.47817948440553,25.35,5
14,11,25,12A-27B-28B-30B,5,1.0,13.0,159.72968,160.75575256347656,161.98629760742188,1.2418322563171387,0.0,47.0,9.830828,159.72968,1,1.2418322563171387,161.9975848197937,2.2679048197936993,2.75,5
15,61,55,7B-26B,23,1.0,14.0,171.84525,172.8680877685547,175.2352294921875,2.3779516220092773,9.0,3.0,9.059566,171.84525,1,2.3779516220092773,175.24603939056396,3.400789390563972,33.55,5
16,76,65,8C-19A-24B,29,1.0,15.0,184.3331,185.34812927246094,188.2020263671875,2.8648722171783447,22.0,65.0,7.771576,184.3331,1,2.8648722171783447,188.21300148963928,3.8799014896392805,49.4,5
17,71,55,5B-18A,27,1.0,16.0,196.00275,197.0261993408203,199.01870727539062,2.0035104751586914,18.0,25.0,8.797087,196.00275,1,2.0035104751586914,199.029709815979,3.026959815979012,39.05,5
18,11,45,14B-21C-25C,6,1.0,17.0,207.853,208.87738037109375,209.95205688476562,1.0856446027755737,0.0,35.0,9.585376,207.853,1,1.0856446027755737,209.96302497386932,2.110024973869315,4.95,5
19,43,75,11B-19B-24A-26A,18,1.0,18.0,219.5688,220.5937042236328,224.61854553222656,4.024389266967773,18.0,59.0,6.6965027,219.5688,1,4.024389266967773,224.6180934906006,5.049293490600576,32.25,5
20,4,75,12B-20B-23B-27C-29C,3,1.0,19.0,231.34116,232.35397338867188,233.3019256591797,0.947220504283905,0.0,6.0,10.549385,231.34116,1,0.947220504283905,233.30119389295578,1.960033892955778,3.0,5
21,36,75,4B-5A-13B-16B,14,1.0,20.0,243.88393,244.89634704589844,248.61849975585938,3.721606492996216,10.0,64.0,6.956861,243.88393,1,3.721606492996216,248.61795353889465,4.734023538894661,27.0,5
22,64,50,1B-3B-4A,25,1.0,21.0,255.6115,256.6246032714844,259.5687561035156,2.955296039581299,3.0,24.0,8.380292,255.6115,1,2.955296039581299,259.5798993110657,3.9683993110656672,32.0,5
23,64,25,6A-21A,24,1.0,22.0,267.97546,268.9880676269531,270.38525390625,1.396716833114624,0.0,35.0,9.807468,267.97546,1,1.396716833114624,270.38478446006775,2.409324460067751,16.0,5
24,0,0,0.0,0,1.0,23.0,280.21545,,286.2272033691406,,,,5.641228,280.21545,1,5.0,,6.0,0.0,5
25,58,45,11C-18C-25A,21,1.0,24.0,291.88947,292.9120788574219,297.902099609375,,0.0,23.0,6.487874,291.88947,1,5.0,,6.0,26.1,5
26,18,50,2C-16C-22B-28A,10,1.0,25.0,304.42288,305.43499755859375,306.9020080566406,1.4672609567642212,0.0,76.0,9.628841,304.42288,1,1.4672609567642212,306.90225851535797,2.4793785153579506,9.0,5
27,71,75,8B,28,1.0,26.0,316.56512,317.591064453125,320.33551025390625,2.754976987838745,46.0,7.0,8.638685,316.56512,1,2.754976987838745,320.34604144096375,3.780921440963766,53.25,5
28,11,75,6B-18B-22C-24C-29A,7,1.0,27.0,329.0058,330.027099609375,332.96868896484375,2.9417381286621094,0.0,76.0,7.643004,329.0058,1,2.9417381286621094,332.9688377380371,3.9630377380370874,8.25,5
29,4,25,6C-29B-30C,1,1.0,28.0,340.6476,341.6711120605469,342.71868896484375,1.0472025871276855,0.0,34.0,10.279285,340.6476,1,1.0472025871276855,342.71831464767456,2.0707146476745493,1.0,5
30,79,40,9B,30,1.0,29.0,353.03568,354.05718994140625,357.3687438964844,3.3108086585998535,0.0,56.0,7.565189,353.03568,1,3.3108086585998535,357.3679986000061,4.33231860000609,31.6,5
31,58,30,13C-30A,19,1.0,30.0,364.96173,365.98638916015625,367.368896484375,1.3937256336212158,0.0,51.0,9.988251,364.96173,1,1.3937256336212158,367.38011479377747,2.418384793777477,17.4,5
32,43,60,2A-7A-9A-15B,17,1.0,31.0,377.38614,378.39862060546875,381.3019714355469,2.902536153793335,6.0,8.0,8.185168,377.38614,1,2.902536153793335,381.3011567592621,3.9150167592620733,25.8,5
33,71,45,2B-16A,26,1.0,32.0,389.5226,390.5437927246094,393.3357849121094,2.8025331497192383,1.0,77.0,8.617605,389.5226,1,2.8025331497192383,393.3463258743286,3.823725874328602,31.95,5
34,11,20,12C-17C-23C-28C,4,1.0,33.0,401.97745,402.9900207519531,404.3186950683594,1.328121304512024,0.0,51.0,9.847576,401.97745,1,1.328121304512024,404.31814205646515,2.3406920564651728,2.2,5
1,76,65,8C-19A-24B,29,1.0,0.0,2.0121422,3.0464093685150146,6.2898430824279785,3.2675983905792236,31.0,3.0,7.7758884,2.0121422,1,3.2675983905792236,6.314007759094238,4.301865559094239,49.4,3
2,4,25,6C-29B-30C,1,1.0,1.0,14.099692,15.11246109008789,16.423295974731445,1.3221019506454468,0.0,46.0,9.50196,14.099692,1,1.3221019506454468,16.434563040733337,2.334871040733338,1.0,3
3,64,25,6A-21A,24,1.0,2.0,25.95252,26.977466583251953,29.890077590942383,2.9237396717071533,7.0,38.0,7.799203,25.95252,1,2.9237396717071533,29.901206254959106,3.9486862549591066,16.0,3
4,36,75,4B-5A-13B-16B,14,1.0,3.0,37.719345,38.743255615234375,42.82309341430664,4.080051422119141,13.0,50.0,7.2366056,37.719345,1,4.080051422119141,42.823307037353516,5.103962037353519,27.0,3
5,43,60,2A-7A-9A-15B,17,1.0,4.0,50.084522,51.108856201171875,54.42351150512695,3.325779676437378,17.0,65.0,7.6673446,50.084522,1,3.325779676437378,54.43463587760925,4.350113877609253,25.8,3
6,39,60,9C-25B,15,1.0,5.0,62.118286,63.142696380615234,65.45658874511719,2.3139641284942627,9.0,45.0,8.873093,62.118286,1,2.3139641284942627,65.4566605091095,3.3383745091094994,23.4,3
7,0,0,0.0,0,1.0,6.0,74.35472,,80.35586547851562,,,,5.5167403,74.35472,1,5.0,,6.0,0.0,3
8,71,45,2B-16A,26,1.0,7.0,85.89044,86.90322875976562,88.9074935913086,2.0166187286376953,17.0,32.0,9.182892,85.89044,1,2.0166187286376953,88.91984748840332,3.029407488403322,31.95,3
9,11,25,12A-27B-28B-30B,5,1.0,8.0,98.117035,99.13713836669922,99.973388671875,0.835830807685852,0.0,15.0,9.961935,98.117035,1,0.835830807685852,99.97296917438507,1.8559341743850695,2.75,3
10,0,0,0.0,0,1.0,9.0,109.959656,,115.96820068359375,,,,5.8399515,109.959656,1,5.0,,6.0,0.0,3
11,11,75,6B-18B-22C-24C-29A,7,1.0,10.0,121.81726,122.844970703125,127.52352905273438,4.691237449645996,5.0,52.0,6.5653963,121.81726,1,4.691237449645996,127.536208152771,5.7189481527709916,8.25,3
12,36,30,3C-20A-22A,11,1.0,11.0,134.1263,135.15065002441406,140.1400604248047,,1.0,12.0,5.8459835,134.1263,1,5.0,,6.0,10.8,3
13,79,40,9B,30,1.0,12.0,146.022,147.0481414794922,150.15740966796875,3.1203720569610596,21.0,47.0,7.400544,146.022,1,3.1203720569610596,150.16851353645325,4.146513536453256,31.6,3
14,39,65,1A-15A-26C,16,1.0,13.0,157.59322,158.60562133789062,161.64024353027344,3.045647144317627,16.0,40.0,8.007279,157.59322,1,3.045647144317627,161.65126848220825,4.05804848220825,25.35,3
15,0,0,0.0,0,1.0,14.0,169.6767,,175.69131469726562,,,,5.6608415,169.6767,1,5.0,,6.0,0.0,3
16,18,50,2C-16C-22B-28A,10,1.0,15.0,181.37141,182.39691162109375,185.1403045654297,2.7549972534179688,7.0,43.0,7.835222,181.37141,1,2.7549972534179688,185.15190887451172,3.7804988745117214,9.0,3
17,58,40,10C-13A-19C-21B,20,1.0,16.0,193.00397,194.0286407470703,195.8401641845703,1.811491847038269,0.0,21.0,8.754793,193.00397,1,1.811491847038269,195.84013259410858,2.836162594108572,23.2,3
18,36,70,3A-5C-10B,13,1.0,17.0,204.62675,205.65011596679688,209.4069366455078,3.756117343902588,11.0,45.0,7.042674,204.62675,1,3.756117343902588,209.40623331069946,4.779483310699476,25.2,3
19,43,75,11B-19B-24A-26A,18,1.0,18.0,216.48431,217.50721740722656,222.50706481933594,,17.0,79.0,5.595338,216.48431,1,5.0,,6.0,32.25,3
20,18,25,14A-23A,9,1.0,19.0,228.13205,229.15536499023438,231.92385864257812,2.7793407440185547,0.0,61.0,7.9501452,228.13205,1,2.7793407440185547,231.93470573425293,3.8026557342529372,4.5,3
21,61,45,10A-11A,22,1.0,20.0,239.90181,240.92315673828125,244.0736083984375,3.1613094806671143,9.0,36.0,7.4060574,239.90181,1,3.1613094806671143,244.08446621894836,4.1826562189483525,27.45,3
22,36,60,1C-7C-15C,12,1.0,21.0,251.51212,252.5233154296875,257.52362060546875,,14.0,34.0,5.6792426,251.51212,1,5.0,,6.0,21.6,3
23,79,65,8A,31,1.0,22.0,263.23007,264.2433166503906,267.6404724121094,3.4081902503967285,26.0,10.0,7.6255145,263.23007,1,3.4081902503967285,267.65150690078735,4.4214369007873415,51.35,3
24,11,45,14B-21C-25C,6,1.0,23.0,275.29498,276.31500244140625,278.507080078125,2.2029614448547363,0.0,54.0,9.074005,275.29498,1,2.2029614448547363,278.517963886261,3.2229838862609768,4.95,3
25,11,20,12C-17C-23C-28C,4,1.0,24.0,287.60657,288.63214111328125,289.50714111328125,0.8858091831207275,0.0,6.0,9.707209,287.60657,1,0.8858091831207275,289.517950296402,1.911380296402001,2.2,3
26,71,55,5B-18A,27,1.0,25.0,299.23926,300.2648010253906,305.22381591796875,4.958320617675781,13.0,72.0,6.19954,299.23926,1,4.958320617675781,305.2231216430664,5.983861643066405,39.05,3
27,64,50,1B-3B-4A,25,1.0,26.0,311.4519,312.4750671386719,315.2901611328125,2.8147659301757812,8.0,49.0,8.437641,311.4519,1,2.8147659301757812,315.28983306884766,3.837933068847633,32.0,3
28,4,50,4C-17B,2,1.0,27.0,323.75714,324.7820739746094,325.8070983886719,1.0358635187149048,0.0,53.0,9.939161,323.75714,1,1.0358635187149048,325.8179374933243,2.060797493324287,2.0,3
29,58,45,11C-18C-25A,21,1.0,28.0,335.77692,336.8027038574219,340.1239318847656,3.3320977687835693,5.0,27.0,7.9930205,335.77692,1,3.3320977687835693,340.13480162620544,4.357881626205426,26.1,3
30,16,20,14C-17A-20C-27A,8,1.0,29.0,348.14993,349.1722412109375,350.5072326660156,1.3341395854949951,0.0,49.0,9.282911,348.14993,1,1.3341395854949951,350.5063807964325,2.3564507964325117,3.2,3
31,4,75,12B-20B-23B-27C-29C,3,1.0,30.0,359.8171,360.83233642578125,365.82379150390625,,0.0,69.0,5.86818,359.8171,1,5.0,,6.0,3.0,3
32,61,55,7B-26B,23,1.0,31.0,371.72876,372.75384521484375,376.7238464355469,3.9806365966796875,6.0,66.0,7.179813,371.72876,1,3.9806365966796875,376.73448181152344,5.005721811523415,33.55,3
33,58,30,13C-30A,19,1.0,32.0,383.94238,384.9672546386719,388.7904052734375,3.833972930908203,1.0,21.0,6.7642183,383.94238,1,3.833972930908203,388.8012275695801,4.858847569580064,17.4,3
34,71,75,8B,28,1.0,33.0,395.58472,396.6060485839844,400.0404968261719,3.445268154144287,52.0,59.0,7.8933873,395.58472,1,3.445268154144287,400.05131673812866,4.466596738128658,53.25,3
1,39,65,1A-15A-26C,16,1.0,0.0,2.015201,3.052860975265503,6.592778205871582,3.551910638809204,19.0,71.0,7.469644,2.015201,1,3.551910638809204,6.604771614074707,4.589570614074708,25.35,2
2,0,0,0.0,0,1.0,1.0,14.09263,,20.104618072509766,,,,5.5982795,14.09263,1,5.0,,6.0,0.0,2
3,61,55,7B-26B,23,1.0,2.0,25.716095,26.727514266967773,29.69286346435547,2.96551251411438,19.0,15.0,7.6120415,25.716095,1,2.96551251411438,29.693026781082153,3.976931781082154,33.55,2
4,64,25,6A-21A,24,1.0,3.0,37.330368,38.35484313964844,40.22629165649414,1.8822791576385498,11.0,33.0,8.86812,37.330368,1,1.8822791576385498,40.23712229728699,2.9067542972869873,16.0,2
5,4,75,12B-20B-23B-27C-29C,3,1.0,4.0,49.121834,50.1334114074707,54.64299392700195,4.520541667938232,2.0,58.0,6.6865644,49.121834,1,4.520541667938232,54.653953075408936,5.532119075408936,3.0,2
6,43,60,2A-7A-9A-15B,17,1.0,5.0,61.35561,62.378326416015625,63.95948028564453,1.5921144485473633,21.0,17.0,9.533565,61.35561,1,1.5921144485473633,63.97044086456299,2.6148308645629896,25.8,2
