TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,39,60,9C-25B,15,1.0,0.0,2.0130734,3.0505683422088623,6.343863010406494,3.3182764053344727,20.0,64.0,7.690297,2.0130734,1,3.3182764053344727,6.368844747543335,4.355771347543335,23.4,3
2,58,30,13C-30A,19,1.0,1.0,14.057995,15.083701133728027,17.827383041381836,2.7547965049743652,10.0,40.0,8.483204,14.057995,1,2.7547965049743652,17.838497638702393,3.7805026387023926,17.4,3
3,4,75,12B-20B-23B-27C-29C,3,1.0,2.0,26.335587,27.358116149902344,29.843948364257812,2.49685001373291,2.0,44.0,8.066497,26.335587,1,2.49685001373291,29.854966163635254,3.5193791636352536,3.0,3
4,4,25,6C-29B-30C,1,1.0,3.0,37.933346,38.94860076904297,42.12710189819336,3.1790196895599365,0.0,71.0,7.499343,37.933346,1,3.1790196895599365,42.127620458602905,4.194274458602905,1.0,3
5,61,55,7B-26B,23,1.0,4.0,49.64997,50.675148010253906,53.92734909057617,3.2633891105651855,21.0,45.0,7.378267,49.64997,1,3.2633891105651855,53.93853712081909,4.2885671208190885,33.55,3
6,18,25,14A-23A,9,1.0,5.0,61.337505,62.36040496826172,65.02729797363281,2.6778128147125244,1.0,30.0,8.741759,61.337505,1,2.6778128147125244,65.03821778297424,3.700712782974243,4.5,3
7,39,65,1A-15A-26C,16,1.0,6.0,73.80297,74.82848358154297,79.01163482666016,4.194040298461914,20.0,44.0,6.762792,73.80297,1,4.194040298461914,79.02252388000488,5.219553880004881,25.35,3
8,71,45,2B-16A,26,1.0,7.0,85.80235,86.82583618164062,90.46039581298828,3.6342389583587646,22.0,75.0,7.604816,85.80235,1,3.6342389583587646,90.46007513999939,4.6577251399993855,31.95,3
9,36,75,4B-5A-13B-16B,14,1.0,8.0,98.10194,99.12747955322266,102.59427642822266,3.4777729511260986,21.0,71.0,7.1812863,98.10194,1,3.4777729511260986,102.60525250434875,4.503312504348756,27.0,3
10,79,65,8A,31,1.0,9.0,109.8122,110.83739471435547,115.04412078857422,4.217715740203857,40.0,23.0,6.9012175,109.8122,1,4.217715740203857,115.05511045455933,5.242910454559322,51.35,3
11,71,75,8B,28,1.0,10.0,121.97188,122.99468994140625,127.02738189697266,4.043909549713135,44.0,58.0,7.131704,121.97188,1,4.043909549713135,127.03859949111938,5.066719491119386,53.25,3
12,43,75,11B-19B-24A-26A,18,1.0,11.0,134.18663,135.2025146484375,138.64401245117188,3.440969467163086,28.0,54.0,7.9282713,134.18663,1,3.440969467163086,138.6434841156006,4.456854115600578,32.25,3
