TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
1,71,45,2B-16A,26,1.0,0.0,2.0143974,3.04695987701416,6.770992755889893,3.7476441860198975,32.0,8.0,7.742324,2.0143974,1,3.7476441860198975,6.794604063034058,4.780206663034058,31.95,5
2,0,0,0.0,0,1.0,1.0,14.539557,,20.544355392456055,,,,6.133395,14.539557,1,5.0,,6.0,0.0,5
3,11,75,6B-18B-22C-24C-29A,7,1.0,2.0,26.701244,27.729001998901367,32.28765106201172,4.571328639984131,17.0,79.0,6.2014894,26.701244,1,4.571328639984131,32.3003306388855,5.599086638885499,8.25,5
4,71,55,5B-18A,27,1.0,3.0,38.512756,39.53715133666992,44.537742614746094,,44.0,47.0,5.786592,38.512756,1,5.0,,6.0,39.05,5
5,43,75,11B-19B-24A-26A,18,1.0,4.0,50.35506,51.37430191040039,54.92085647583008,3.5457942485809326,30.0,2.0,7.801434,50.35506,1,3.5457942485809326,54.92009615898132,4.5650361589813215,32.25,5
6,61,45,10A-11A,22,1.0,5.0,62.757008,63.78076171875,68.77079010009766,,32.0,67.0,5.886434,62.757008,1,5.0,,6.0,27.45,5
7,36,30,3C-20A-22A,11,1.0,6.0,74.68216,75.70523071289062,79.08777618408203,3.3934872150421143,19.0,23.0,8.029378,74.68216,1,3.3934872150421143,79.09871792793274,4.416557927932743,10.8,5
8,36,75,4B-5A-13B-16B,14,1.0,7.0,87.15,88.16822814941406,91.85430145263672,3.6968626976013184,28.0,42.0,6.8298764,87.15,1,3.6968626976013184,91.86509084701538,4.715090847015375,27.0,5
9,39,60,9C-25B,15,1.0,8.0,98.71757,99.73387908935547,104.20465850830078,4.481579303741455,25.0,43.0,6.813585,98.71757,1,4.481579303741455,104.21545839309692,5.497888393096929,23.4,5
10,18,50,2C-16C-22B-28A,10,1.0,9.0,111.0492,112.06816101074219,115.58761596679688,3.5304384231567383,13.0,38.0,7.4595933,111.0492,1,3.5304384231567383,115.59859943389893,4.549399433898927,9.0,5
11,64,25,6A-21A,24,1.0,10.0,123.07012,124.09272766113281,129.05426025390625,4.972058296203613,19.0,11.0,6.3472323,123.07012,1,4.972058296203613,129.06478595733643,5.994665957336423,16.0,5
