TrialNumber,amount,prob,lottery_id,view_time,slider_time,rt,choice,mouse_start,view_ev_duration,eval_ev_duration,ev_duration,EV,run
1,71.0,45.0,26,3.011,4.015000000000001,,,64.0,1.004,5.004,6.007999999999999,31.95,3
2,0.0,0.0,32,15.032,16.047,5.0,0.0,0.0,1.015,5.008,6.023,0.0,3
3,36.0,70.0,13,27.071,28.078,,,29.0,1.007,5.008,6.015,25.2,3
4,36.0,75.0,14,39.099,40.11,,,40.0,1.011,5.012,6.023,27.0,3
5,58.0,45.0,21,51.136,52.147000000000006,,,6.0,1.011,5.01,6.021,26.1,3
6,36.0,60.0,12,63.17,64.173,4.569,19.0,13.0,1.003,4.57,5.573,21.6,3
7,4.0,25.0,1,75.189,76.193,4.178,0.0,30.0,1.004,4.18,5.183999999999999,1.0,3
8,43.0,60.0,17,87.20599999999999,88.20899999999999,3.756,23.0,43.0,1.003,3.757,4.76,25.8,3
9,0.0,0.0,33,99.217,100.221,5.0,0.0,0.0,1.004,5.013,6.017,0.0,3
10,16.0,20.0,8,111.249,112.256,,,63.0,1.007,5.016,6.023,3.2,3
11,61.0,45.0,22,123.28900000000002,124.30500000000002,4.598,25.0,64.0,1.016,4.6,5.616,27.45,3
12,4.0,50.0,2,135.30900000000003,136.32000000000002,4.952,2.0,48.0,1.011,4.953,5.964,2.0,3
13,36.0,30.0,11,147.336,148.352,,,5.0,1.016,5.005,6.021,10.8,3
14,61.0,55.0,23,159.367,160.369,,,36.0,1.002,5.011,6.013,33.55,3
15,39.0,65.0,16,171.385,172.39999999999998,,,18.0,1.015,5.007,6.021999999999999,25.35,3
16,79.0,40.0,30,183.409,184.417,,,25.0,1.008,5.017,6.025,31.6,3
17,11.0,45.0,6,195.443,196.447,4.713,4.0,18.0,1.004,4.714,5.718,4.95,3
18,18.0,50.0,10,207.461,208.465,,,11.0,1.004,5.009,6.013,9.0,3
19,0.0,0.0,34,219.487,220.496,5.0,0.0,0.0,1.009,5.01,6.019,0.0,3
20,18.0,25.0,9,231.52,232.522,,,47.0,1.002,5.017,6.019,4.5,3
21,4.0,75.0,3,243.55,244.564,3.046,3.0,14.0,1.014,3.049,4.063,3.0,3
22,58.0,30.0,19,255.569,256.578,,,46.0,1.009,5.011,6.02,17.4,3
23,64.0,25.0,24,267.605,268.61,,,14.0,1.005,5.011,6.016,16.0,3
24,39.0,60.0,15,279.63700000000006,280.6410000000001,,,64.0,1.004,5.014,6.018000000000001,23.4,3
25,11.0,20.0,4,291.66800000000006,292.67400000000004,4.261,2.0,21.0,1.006,4.262,5.268,2.2,3
26,71.0,55.0,27,303.68300000000005,304.69000000000005,,,17.0,1.007,5.016,6.023,39.05,3
27,64.0,50.0,25,315.71400000000006,316.71700000000004,3.866,30.0,33.0,1.003,3.868,4.871,32.0,3
28,79.0,65.0,31,327.73,328.738,4.46,42.0,27.0,1.008,4.461,5.469,51.35,3
29,58.0,40.0,20,339.744,340.759,,,31.0,1.015,5.006,6.021,23.2,3
30,71.0,75.0,28,351.774,352.784,,,20.0,1.01,5.012,6.021999999999999,53.25,3
31,11.0,75.0,7,363.807,364.817,4.243,9.0,2.0,1.01,4.246,5.256,8.25,3
32,11.0,25.0,5,375.831,376.833,4.955,8.0,1.0,1.002,4.956,5.958,2.75,3
33,43.0,75.0,18,387.838,388.848,,,37.0,1.01,5.012,6.021999999999999,32.25,3
34,76.0,65.0,29,399.875,400.8809999999999,,,50.0,1.006,5.005,6.011,49.4,3
1,64.0,50.0,25,3.01,4.013,,,31.0,1.003,5.008,6.011,32.0,2
2,71.0,75.0,28,15.027,16.031000000000002,,,16.0,1.004,5.01,6.013999999999999,53.25,2
3,39.0,65.0,16,27.049000000000003,28.062000000000005,,,51.0,1.013,5.011,6.024,25.35,2
4,18.0,50.0,10,39.08500000000001,40.09600000000001,3.241,9.0,39.0,1.011,3.241,4.252,9.0,2
5,36.0,75.0,14,51.11200000000001,52.11800000000001,,,44.0,1.006,5.004,6.01,27.0,2
6,43.0,75.0,18,63.13100000000001,64.14,,,30.0,1.009,5.016,6.025,32.25,2
7,16.0,20.0,8,75.164,76.173,,,17.0,1.009,5.013,6.022,3.2,2
8,18.0,25.0,9,87.18700000000001,88.18900000000001,,,26.0,1.002,5.011,6.013,4.5,2
9,36.0,60.0,12,99.206,100.22,,,72.0,1.014,5.016,6.03,21.6,2
