subject_id,binary_id,trinary_id,target_choice,trinary_group,catch,decoy_choice,rt,amountA,probA,amountB,probB,EVA,EVB,avg_amounts,avg_probs,amountC,probC,EVC
6c06767d-0888-4cae-a531-fd9c338ac0a5,6.0,6.0,1,0,0.0,0.0,3208.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
6c06767d-0888-4cae-a531-fd9c338ac0a5,6.0,6.0,1,0,0.0,0.0,25955.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
6c06767d-0888-4cae-a531-fd9c338ac0a5,6.0,6.0,1,0,0.0,0.0,3917.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,6.0,6.0,1,0,0.0,0.0,2135.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,6.0,6.0,1,0,0.0,0.0,2336.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,6.0,6.0,1,0,0.0,0.0,2860.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,6.0,6.0,1,0,0.0,0.0,2000.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,6.0,6.0,1,0,0.0,0.0,3181.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,6.0,6.0,1,0,0.0,0.0,2535.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
514f5d99-a157-42d0-b9e5-0407d2049090,6.0,6.0,1,0,0.0,0.0,2330.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
