subject_id,binary_id,trinary_id,actual_choice,target_choice,trinary_group,catch,decoy_choice,competitor_choice,rt
6c06767d-0888-4cae-a531-fd9c338ac0a5,9.0,9.0,B,0,0,0.0,0,1,19162.0
6c06767d-0888-4cae-a531-fd9c338ac0a5,9.0,9.0,B,0,0,0.0,0,1,21122.0
6c06767d-0888-4cae-a531-fd9c338ac0a5,9.0,9.0,B,0,0,0.0,0,1,3962.0
e01d7969-97a7-4f3b-9d74-dc0748981af3,9.0,9.0,A,1,1,0.0,0,0,5340.0
e01d7969-97a7-4f3b-9d74-dc0748981af3,9.0,9.0,A,1,1,0.0,0,0,4532.0
e01d7969-97a7-4f3b-9d74-dc0748981af3,9.0,9.0,A,1,1,0.0,0,0,2036.0
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,9.0,9.0,B,0,0,0.0,0,1,5922.0
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,9.0,9.0,B,0,0,0.0,0,1,4395.0
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,9.0,9.0,B,0,0,0.0,0,1,4403.0
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,9.0,9.0,B,0,0,0.0,0,1,2312.0
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,9.0,9.0,A,1,0,0.0,0,0,3839.0
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,9.0,9.0,A,1,0,0.0,0,0,2798.0
5c08b639-fa5d-4e77-8594-9ab1660fa3c0,9.0,9.0,A,1,1,0.0,0,0,3538.0
5c08b639-fa5d-4e77-8594-9ab1660fa3c0,9.0,9.0,A,1,1,0.0,0,0,4228.0
5c08b639-fa5d-4e77-8594-9ab1660fa3c0,9.0,9.0,A,1,1,0.0,0,0,3365.0
a7dc5d5c-803e-4f39-8a22-d6b06eca0234,9.0,9.0,B,0,1,0.0,0,1,6225.0
a7dc5d5c-803e-4f39-8a22-d6b06eca0234,9.0,9.0,A,1,1,0.0,0,0,2389.0
a7dc5d5c-803e-4f39-8a22-d6b06eca0234,9.0,9.0,B,0,1,0.0,0,1,14314.0
514f5d99-a157-42d0-b9e5-0407d2049090,9.0,9.0,B,0,0,0.0,0,1,1225.0
514f5d99-a157-42d0-b9e5-0407d2049090,9.0,9.0,B,0,0,0.0,0,1,1976.0
514f5d99-a157-42d0-b9e5-0407d2049090,9.0,9.0,B,0,0,0.0,0,1,2948.0
aee18971-c24a-40ed-ad22-93779ab57973,9.0,9.0,A,1,1,0.0,0,0,2567.0
aee18971-c24a-40ed-ad22-93779ab57973,9.0,9.0,B,0,1,0.0,0,1,3074.0
aee18971-c24a-40ed-ad22-93779ab57973,9.0,9.0,A,1,1,0.0,0,0,2061.0
76a1ad7d-b5cb-4968-abdb-e4fbe5079a2c,9.0,9.0,A,1,1,0.0,0,0,8701.0
76a1ad7d-b5cb-4968-abdb-e4fbe5079a2c,9.0,9.0,B,0,1,0.0,0,1,4155.0
76a1ad7d-b5cb-4968-abdb-e4fbe5079a2c,9.0,9.0,B,0,1,0.0,0,1,6866.0
137f554f-99e4-4c27-b34c-a0d66681d6d0,9.0,9.0,B,0,0,0.0,0,1,11028.0
137f554f-99e4-4c27-b34c-a0d66681d6d0,9.0,9.0,A,1,0,0.0,0,0,51327.0
137f554f-99e4-4c27-b34c-a0d66681d6d0,9.0,9.0,B,0,0,0.0,0,1,2797.0
dfee4379-a815-456b-8011-1e095ba0fcdf,9.0,9.0,A,1,0,0.0,0,0,5099.0
dfee4379-a815-456b-8011-1e095ba0fcdf,9.0,9.0,A,1,0,0.0,0,0,8785.0
dfee4379-a815-456b-8011-1e095ba0fcdf,9.0,9.0,A,1,0,0.0,0,0,15764.0
e98db0fa-cbd1-4415-ab8b-41b6226373b8,9.0,9.0,B,0,0,0.0,0,1,4098.0
e98db0fa-cbd1-4415-ab8b-41b6226373b8,9.0,9.0,A,1,0,0.0,0,0,4044.0
e98db0fa-cbd1-4415-ab8b-41b6226373b8,9.0,9.0,B,0,0,0.0,0,1,7867.0
2d71d909-c794-45d2-b9f9-73e5bc957960,9.0,9.0,B,0,1,0.0,0,1,2876.0
2d71d909-c794-45d2-b9f9-73e5bc957960,9.0,9.0,A,1,1,0.0,0,0,3550.0
2d71d909-c794-45d2-b9f9-73e5bc957960,9.0,9.0,A,1,1,0.0,0,0,2539.0
593fa13f-2aeb-461c-9039-b5510e9a7b36,9.0,9.0,A,1,1,0.0,0,0,17779.0
593fa13f-2aeb-461c-9039-b5510e9a7b36,9.0,9.0,A,1,1,0.0,0,0,4171.0
593fa13f-2aeb-461c-9039-b5510e9a7b36,9.0,9.0,A,1,1,0.0,0,0,15740.0
db1c6c1b-8e99-41cf-9b98-c9c736aa8335,9.0,9.0,B,0,0,0.0,0,1,3240.0
db1c6c1b-8e99-41cf-9b98-c9c736aa8335,9.0,9.0,B,0,0,0.0,0,1,2961.0
db1c6c1b-8e99-41cf-9b98-c9c736aa8335,9.0,9.0,B,0,0,0.0,0,1,2501.0
d331077c-1fef-4125-8c76-713d77d3c50e,9.0,9.0,A,1,0,0.0,0,0,6646.0
