subject_id,binary_id,trinary_id,target_choice,trinary_group,catch
aee18971-c24a-40ed-ad22-93779ab57973,16.0,16.0,1,1,0.0
aee18971-c24a-40ed-ad22-93779ab57973,16.0,16.0,0,1,0.0
aee18971-c24a-40ed-ad22-93779ab57973,16.0,16.0,0,1,0.0
86117b72-b50c-4fb3-ba28-64a3ade786ac,16.0,16.0,0,0,0.0
86117b72-b50c-4fb3-ba28-64a3ade786ac,16.0,16.0,1,0,0.0
86117b72-b50c-4fb3-ba28-64a3ade786ac,16.0,16.0,0,0,0.0
dfee4379-a815-456b-8011-1e095ba0fcdf,16.0,16.0,0,0,0.0
dfee4379-a815-456b-8011-1e095ba0fcdf,16.0,16.0,0,0,0.0
dfee4379-a815-456b-8011-1e095ba0fcdf,16.0,16.0,0,0,0.0
41578bda-270a-4ced-a297-3451d0874fca,16.0,16.0,0,1,0.0
41578bda-270a-4ced-a297-3451d0874fca,16.0,16.0,1,1,0.0
41578bda-270a-4ced-a297-3451d0874fca,16.0,16.0,0,1,0.0
d0807655-65b7-4b1c-a4a9-d50d08913131,16.0,16.0,1,1,0.0
d0807655-65b7-4b1c-a4a9-d50d08913131,16.0,16.0,1,1,0.0
d0807655-65b7-4b1c-a4a9-d50d08913131,16.0,16.0,1,1,0.0
1a080826-2398-4f43-ab82-e5d0240eedcb,16.0,16.0,0,0,0.0
1a080826-2398-4f43-ab82-e5d0240eedcb,16.0,16.0,1,0,0.0
1a080826-2398-4f43-ab82-e5d0240eedcb,16.0,16.0,0,0,0.0
3975af8a-b2cb-4111-bdc5-9d989e64c4ac,16.0,16.0,0,1,0.0
3975af8a-b2cb-4111-bdc5-9d989e64c4ac,16.0,16.0,0,1,0.0
3975af8a-b2cb-4111-bdc5-9d989e64c4ac,16.0,16.0,0,1,0.0
5c08b639-fa5d-4e77-8594-9ab1660fa3c0,16.0,16.0,0,1,0.0
5c08b639-fa5d-4e77-8594-9ab1660fa3c0,16.0,16.0,0,1,0.0
5c08b639-fa5d-4e77-8594-9ab1660fa3c0,16.0,16.0,0,1,0.0
9b7ebcd5-2ebc-4338-a938-05af65044106,16.0,16.0,0,1,0.0
9b7ebcd5-2ebc-4338-a938-05af65044106,16.0,16.0,0,1,0.0
9b7ebcd5-2ebc-4338-a938-05af65044106,16.0,16.0,0,1,0.0
137f554f-99e4-4c27-b34c-a0d66681d6d0,16.0,16.0,1,0,0.0
137f554f-99e4-4c27-b34c-a0d66681d6d0,16.0,16.0,1,0,0.0
137f554f-99e4-4c27-b34c-a0d66681d6d0,16.0,16.0,1,0,0.0
9c08acd5-0655-4b76-899a-4b1b87c87648,16.0,16.0,1,0,0.0
9c08acd5-0655-4b76-899a-4b1b87c87648,16.0,16.0,1,0,0.0
9c08acd5-0655-4b76-899a-4b1b87c87648,16.0,16.0,0,0,0.0
7f24b687-4d3e-4756-bf2d-223cca5dcdb8,16.0,16.0,0,0,0.0
7f24b687-4d3e-4756-bf2d-223cca5dcdb8,16.0,16.0,0,0,0.0
7f24b687-4d3e-4756-bf2d-223cca5dcdb8,16.0,16.0,0,0,0.0
03cbde16-3b69-4c03-bac2-7359d2f67f94,16.0,16.0,0,0,0.0
03cbde16-3b69-4c03-bac2-7359d2f67f94,16.0,16.0,0,0,0.0
03cbde16-3b69-4c03-bac2-7359d2f67f94,16.0,16.0,0,0,0.0
aac2844d-7b66-416c-a659-bc5f1fe458a3,16.0,16.0,0,1,0.0
aac2844d-7b66-416c-a659-bc5f1fe458a3,16.0,16.0,0,1,0.0
aac2844d-7b66-416c-a659-bc5f1fe458a3,16.0,16.0,1,1,0.0
4b866b4b-b1c9-4174-b5ba-396d8e114625,16.0,16.0,0,0,0.0
4b866b4b-b1c9-4174-b5ba-396d8e114625,16.0,16.0,1,0,0.0
4b866b4b-b1c9-4174-b5ba-396d8e114625,16.0,16.0,0,0,0.0
5f64f9d2-9afc-4ce5-8201-31c26c727e85,16.0,16.0,1,1,0.0
5f64f9d2-9afc-4ce5-8201-31c26c727e85,16.0,16.0,1,1,0.0
5f64f9d2-9afc-4ce5-8201-31c26c727e85,16.0,16.0,0,1,0.0
7f07e2d3-9e78-458f-b93e-0fbedbd173fd,16.0,16.0,0,1,0.0
7f07e2d3-9e78-458f-b93e-0fbedbd173fd,16.0,16.0,0,1,0.0
7f07e2d3-9e78-458f-b93e-0fbedbd173fd,16.0,16.0,1,1,0.0
0515c162-d4c4-4d6d-88d6-80d2de1765c9,16.0,16.0,0,0,0.0
0515c162-d4c4-4d6d-88d6-80d2de1765c9,16.0,16.0,0,0,0.0
0515c162-d4c4-4d6d-88d6-80d2de1765c9,16.0,16.0,0,0,0.0
41dee2bf-44de-4b95-a0ce-cfd0e8024bf0,16.0,16.0,1,1,0.0
41dee2bf-44de-4b95-a0ce-cfd0e8024bf0,16.0,16.0,1,1,0.0
41dee2bf-44de-4b95-a0ce-cfd0e8024bf0,16.0,16.0,0,1,0.0
d97e4b04-a8c0-46f3-ab85-5d88f60c6985,16.0,16.0,0,1,0.0
d97e4b04-a8c0-46f3-ab85-5d88f60c6985,16.0,16.0,1,1,0.0
d97e4b04-a8c0-46f3-ab85-5d88f60c6985,16.0,16.0,0,1,0.0
c0eec679-0e2d-40b6-946a-bc307eeeb08a,16.0,16.0,0,0,0.0
c0eec679-0e2d-40b6-946a-bc307eeeb08a,16.0,16.0,1,0,0.0
c0eec679-0e2d-40b6-946a-bc307eeeb08a,16.0,16.0,0,0,0.0
1431fec5-c2d2-481c-9eea-142efd404d61,16.0,16.0,0,1,0.0
1431fec5-c2d2-481c-9eea-142efd404d61,16.0,16.0,0,1,0.0
1431fec5-c2d2-481c-9eea-142efd404d61,16.0,16.0,0,1,0.0
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,16.0,16.0,1,0,0.0
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,16.0,16.0,1,0,0.0
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,16.0,16.0,1,0,0.0
cb5ce584-a459-42d8-9906-a854aab80827,16.0,16.0,0,1,0.0
cb5ce584-a459-42d8-9906-a854aab80827,16.0,16.0,1,1,0.0
cb5ce584-a459-42d8-9906-a854aab80827,16.0,16.0,0,1,0.0
afbc429c-ea6f-444e-b924-866a4df3f8d4,16.0,16.0,1,0,0.0
afbc429c-ea6f-444e-b924-866a4df3f8d4,16.0,16.0,0,0,0.0
afbc429c-ea6f-444e-b924-866a4df3f8d4,16.0,16.0,1,0,0.0
0f6778e2-6340-4412-acd5-159d88da9370,16.0,16.0,0,1,0.0
0f6778e2-6340-4412-acd5-159d88da9370,16.0,16.0,0,1,0.0
0f6778e2-6340-4412-acd5-159d88da9370,16.0,16.0,0,1,0.0
342fb488-01a4-4ac9-9f56-15c74996aacf,16.0,16.0,1,0,0.0
342fb488-01a4-4ac9-9f56-15c74996aacf,16.0,16.0,1,0,0.0
342fb488-01a4-4ac9-9f56-15c74996aacf,16.0,16.0,0,0,0.0
c144990f-77ad-4991-bf25-42b36f502faf,16.0,16.0,0,1,0.0
c144990f-77ad-4991-bf25-42b36f502faf,16.0,16.0,1,1,0.0
c144990f-77ad-4991-bf25-42b36f502faf,16.0,16.0,0,1,0.0
d331077c-1fef-4125-8c76-713d77d3c50e,16.0,16.0,0,0,0.0
d331077c-1fef-4125-8c76-713d77d3c50e,16.0,16.0,0,0,0.0
d331077c-1fef-4125-8c76-713d77d3c50e,16.0,16.0,0,0,0.0
9f4864a0-f288-4233-97bb-7895ea53da8d,16.0,16.0,0,0,0.0
9f4864a0-f288-4233-97bb-7895ea53da8d,16.0,16.0,0,0,0.0
9f4864a0-f288-4233-97bb-7895ea53da8d,16.0,16.0,0,0,0.0
bb1a5a3c-9c02-4ee3-a5d9-9196d9e44d3e,16.0,16.0,1,1,0.0
bb1a5a3c-9c02-4ee3-a5d9-9196d9e44d3e,16.0,16.0,0,1,0.0
bb1a5a3c-9c02-4ee3-a5d9-9196d9e44d3e,16.0,16.0,1,1,0.0
593fa13f-2aeb-461c-9039-b5510e9a7b36,16.0,16.0,0,1,0.0
593fa13f-2aeb-461c-9039-b5510e9a7b36,16.0,16.0,0,1,0.0
593fa13f-2aeb-461c-9039-b5510e9a7b36,16.0,16.0,1,1,0.0
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,16.0,16.0,1,0,0.0
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,16.0,16.0,1,0,0.0
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,16.0,16.0,1,0,0.0
b03b0020-1dbb-46ce-9481-db3da5878eca,16.0,16.0,0,0,0.0
b03b0020-1dbb-46ce-9481-db3da5878eca,16.0,16.0,0,0,0.0
b03b0020-1dbb-46ce-9481-db3da5878eca,16.0,16.0,0,0,0.0
6fddb33e-a9eb-4910-832f-990280fae844,16.0,16.0,1,0,0.0
6fddb33e-a9eb-4910-832f-990280fae844,16.0,16.0,1,0,0.0
6fddb33e-a9eb-4910-832f-990280fae844,16.0,16.0,1,0,0.0
000a21dc-1f4d-4f9b-a337-ec28fddb1d57,16.0,16.0,0,1,0.0
000a21dc-1f4d-4f9b-a337-ec28fddb1d57,16.0,16.0,0,1,0.0
000a21dc-1f4d-4f9b-a337-ec28fddb1d57,16.0,16.0,0,1,0.0
bd7393dd-41f5-4a2d-b4ae-d4cb5afeea0e,16.0,16.0,0,1,0.0
bd7393dd-41f5-4a2d-b4ae-d4cb5afeea0e,16.0,16.0,0,1,0.0
bd7393dd-41f5-4a2d-b4ae-d4cb5afeea0e,16.0,16.0,0,1,0.0
eee6843a-0aed-46f2-8001-2a382bf702b6,16.0,16.0,0,1,0.0
eee6843a-0aed-46f2-8001-2a382bf702b6,16.0,16.0,1,1,0.0
eee6843a-0aed-46f2-8001-2a382bf702b6,16.0,16.0,0,1,0.0
2d71d909-c794-45d2-b9f9-73e5bc957960,16.0,16.0,0,1,0.0
2d71d909-c794-45d2-b9f9-73e5bc957960,16.0,16.0,0,1,0.0
2d71d909-c794-45d2-b9f9-73e5bc957960,16.0,16.0,0,1,0.0
8076971d-2494-452c-8104-9b6adec121a1,16.0,16.0,0,1,0.0
8076971d-2494-452c-8104-9b6adec121a1,16.0,16.0,0,1,0.0
8076971d-2494-452c-8104-9b6adec121a1,16.0,16.0,1,1,0.0
d1e00293-27c1-4c36-bc26-c1a719a35f3d,16.0,16.0,1,0,0.0
d1e00293-27c1-4c36-bc26-c1a719a35f3d,16.0,16.0,1,0,0.0
d1e00293-27c1-4c36-bc26-c1a719a35f3d,16.0,16.0,1,0,0.0
d8d4dec0-5008-4f83-8f65-fe5e80244341,16.0,16.0,0,1,0.0
d8d4dec0-5008-4f83-8f65-fe5e80244341,16.0,16.0,0,1,0.0
d8d4dec0-5008-4f83-8f65-fe5e80244341,16.0,16.0,0,1,0.0
efc2d14c-97b7-4589-bf8a-1208192b43a0,16.0,16.0,1,1,0.0
efc2d14c-97b7-4589-bf8a-1208192b43a0,16.0,16.0,0,1,0.0
efc2d14c-97b7-4589-bf8a-1208192b43a0,16.0,16.0,1,1,0.0
99f25d54-f976-44b7-b397-8339b9b6ac27,16.0,16.0,0,1,0.0
99f25d54-f976-44b7-b397-8339b9b6ac27,16.0,16.0,0,1,0.0
99f25d54-f976-44b7-b397-8339b9b6ac27,16.0,16.0,0,1,0.0
70786636-f4bf-474e-9144-0533ce8a48dd,16.0,16.0,1,0,0.0
70786636-f4bf-474e-9144-0533ce8a48dd,16.0,16.0,0,0,0.0
70786636-f4bf-474e-9144-0533ce8a48dd,16.0,16.0,1,0,0.0
b4b0c5b4-7aaf-4644-9b23-5d17397ca03c,16.0,16.0,1,0,0.0
b4b0c5b4-7aaf-4644-9b23-5d17397ca03c,16.0,16.0,1,0,0.0
b4b0c5b4-7aaf-4644-9b23-5d17397ca03c,16.0,16.0,1,0,0.0
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,16.0,16.0,1,0,0.0
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,16.0,16.0,1,0,0.0
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,16.0,16.0,1,0,0.0
514f5d99-a157-42d0-b9e5-0407d2049090,16.0,16.0,1,0,0.0
514f5d99-a157-42d0-b9e5-0407d2049090,16.0,16.0,1,0,0.0
514f5d99-a157-42d0-b9e5-0407d2049090,16.0,16.0,1,0,0.0
02bbfb96-af5c-4361-8c54-93ea8d3f38dc,16.0,16.0,1,1,0.0
02bbfb96-af5c-4361-8c54-93ea8d3f38dc,16.0,16.0,1,1,0.0
02bbfb96-af5c-4361-8c54-93ea8d3f38dc,16.0,16.0,1,1,0.0
e01d7969-97a7-4f3b-9d74-dc0748981af3,16.0,16.0,0,1,0.0
e01d7969-97a7-4f3b-9d74-dc0748981af3,16.0,16.0,0,1,0.0
e01d7969-97a7-4f3b-9d74-dc0748981af3,16.0,16.0,0,1,0.0
